name,affiliation,homepage,scholar_id,citations,h-index,earliest_paper
Stelios Asteriadis,Maastricht University,https://dke.maastrichtuniversity.nl/stelios.asteriadis,MzZME8sAAAAJ,1796.0,20.0,2005.0
Gerasimos Spanakis,Maastricht University,https://dke.maastrichtuniversity.nl/jerry.spanakis,LiUXYVgAAAAJ,535.0,14.0,2009.0
Siamak Mehrkanoon,Maastricht University,https://sites.google.com/view/siamak-mehrkanoon/homepage,sOSxU7sAAAAJ,991.0,20.0,2009.0
Joël M. H. Karel,Maastricht University,https://dke.maastrichtuniversity.nl/joel.karel,QDYgJMEAAAAJ,690.0,12.0,2004.0
Steven Kelk,Maastricht University,http://skelk.sdf-eu.org,Eoays_KFyQsC,1478.0,22.0,2002.0
Pieter Collins,Maastricht University,https://dke.maastrichtuniversity.nl/pieter.collins,0p5ZVqsAAAAJ,1766.0,22.0,1999.0
Katerina Stankova,Maastricht University,http://www.stankova.net,wYupkOAAAAAJ,590.0,14.0,2004.0
Gijs Schoenmakers,Maastricht University,https://dke.maastrichtuniversity.nl/gm.schoenmakers,OnuIOdgAAAAJ,284.0,9.0,2000.0
Jos Uiterwijk,Maastricht University,https://dke.maastrichtuniversity.nl/jos.uiterwijk,qK2Jwm0AAAAJ,3036.0,26.0,1982.0
Ronald L. Westra,Maastricht University,https://dke.maastrichtuniversity.nl/ronald.westra,aL1iCW4AAAAJ,882.0,13.0,1999.0
Nico Roos,Maastricht University,https://dke.maastrichtuniversity.nl/nico.roos,jvZueK0AAAAJ,1141.0,18.0,1987.0
Alexia Briasouli,Maastricht University,https://sites.google.com/view/alexiab,t7KC74oAAAAJ,1309.0,19.0,1999.0
Rachel Cavill,Maastricht University,https://www.maastrichtuniversity.nl/rachel.cavill,H56EnEYAAAAJ,2088.0,18.0,2005.0
Matús Mihalák,Maastricht University,https://dke.maastrichtuniversity.nl/matus.mihalak,MQH1BVEAAAAJ,1653.0,22.0,2003.0
Michel Dumontier,Maastricht University,https://www.maastrichtuniversity.nl/michel.dumontier,vyofzOcAAAAJ,15723.0,51.0,1998.0
Frank Thuijsman,Maastricht University,https://dke.maastrichtuniversity.nl/f.thuijsman/site,OxPUGmwAAAAJ,1263.0,16.0,1986.0
Cameron Browne,Maastricht University,http://cambolbro.com,e6dyku8AAAAJ,5233.0,19.0,1998.0
Dimitrios Rafailidis,Maastricht University,http://www.drafail.eu,0aMmyHgAAAAJ,1313.0,21.0,2008.0
Jan Paredis,Maastricht University,https://www.maastrichtuniversity.nl/j.paredis,hJqMjHYAAAAJ,1401.0,14.0,1988.0
Kurt Driessens,Maastricht University,https://www.maastrichtuniversity.nl/kurt.driessens,rlUZtakAAAAJ,2392.0,23.0,1998.0
Christof Seiler,Maastricht University,http://christofseiler.github.io,fxMt84EAAAAJ,543.0,14.0,2009.0
Pietro Bonizzi,Maastricht University,https://www.maastrichtuniversity.nl/pietro.bonizzi,Y-zKXgsAAAAJ,608.0,10.0,2007.0
Evgueni N. Smirnov,Maastricht University,https://www.maastrichtuniversity.nl/smirnov,zEfk244AAAAJ,408.0,11.0,1992.0
Ralf L. M. Peeters,Maastricht University,https://www.maastrichtuniversity.nl/ralf.peeters,4gv6c1sAAAAJ,1521.0,20.0,1991.0
Rico Möckel,Maastricht University,https://www.maastrichtuniversity.nl/rico.mockel,57dQcbgAAAAJ,1005.0,16.0,2005.0
Gerhard Weiss,Maastricht University,http://www.weiss-gerhard.info,3TofHnIAAAAJ,17011.0,34.0,1959.0
Mark H. M. Winands,Maastricht University,https://dke.maastrichtuniversity.nl/m.winands,5S6bWAwAAAAJ,2977.0,26.0,2000.0
