name,affiliation,homepage,scholar_id,citations,h-index,earliest_paper
Young Choon Lee,Macquarie University,http://web.science.mq.edu.au/~yclee,Kuno2i4AAAAJ,5485.0,29.0,1999.0
Deborah Richards,Macquarie University,http://web.science.mq.edu.au/~richards,p0BxAfAAAAAJ,4754.0,35.0,1989.0
Yan Wang,Macquarie University,http://web.science.mq.edu.au/~yanwang,3h6_oVEAAAAJ,4635.0,38.0,1999.0
Anthony M. Sloane,Macquarie University,https://researchers.mq.edu.au/en/persons/anthony-sloane,Rje58OMAAAAJ,3526.0,15.0,1991.0
Alireza Jolfaei,Macquarie University,https://researchers.mq.edu.au/en/persons/alireza-jolfaei,i9FJ-icAAAAJ,3028.0,28.0,2010.0
Michael Johnson,Macquarie University,http://web.science.mq.edu.au/~mike,wFYpEDAAAAAJ,5537.0,37.0,1951.0
Jian Yang,Macquarie University,http://web.science.mq.edu.au/~jian,r5jS8eYAAAAJ,5936.0,40.0,1991.0
Bernard Mans,Macquarie University,https://researchers.mq.edu.au/en/persons/bernard-mans,SAbvfFYAAAAJ,2171.0,28.0,1991.0
Mark Dras,Macquarie University,http://web.science.mq.edu.au/~madras,r1gJsmAAAAAJ,2773.0,31.0,1993.0
James Xi Zheng,Macquarie University,http://web.science.mq.edu.au/~jxzheng,SNfRGJoAAAAJ,2168.0,24.0,2013.0
Hassan Jameel Asghar,Macquarie University,https://researchers.mq.edu.au/en/persons/hassan-asghar,qAW2S9rkzfMC,1310.0,16.0,2004.0
Mark Johnson,Macquarie University,http://web.science.mq.edu.au/~mjohnson,Z_kok3sAAAAJ,20360.0,65.0,1984.0
Mehmet A. Orgun,Macquarie University,http://web.science.mq.edu.au/~mehmet,FpZlwKUAAAAJ,6270.0,39.0,1981.0
Dali Kaafar,Macquarie University,https://dali-kaafar.github.io,9DR87DQAAAAJ,5533.0,42.0,2004.0
Muhammad Ikram,Macquarie University,https://researchers.mq.edu.au/en/persons/muhammad-ikram,vkSaUFwAAAAJ,827.0,15.0,2008.0
Michael Hitchens,Macquarie University,https://researchers.mq.edu.au/en/persons/michael-hitchens,5-MmwxEAAAAJ,3488.0,32.0,1989.0
Stephen Smith,Macquarie University,https://researchers.mq.edu.au/en/persons/stephen-smith,ZfOBLxUAAAAJ,767.0,11.0,1984.0
Diego Mollá,Macquarie University,http://web.science.mq.edu.au/~diego,FZhJRQUAAAAJ,1895.0,21.0,1994.0
Peter A. Busch,Macquarie University,http://web.science.mq.edu.au/~busch,2GoS_DUAAAAJ,1346.0,17.0,1994.0
Zhu Sun,Macquarie University,https://researchers.mq.edu.au/en/persons/zhu-sun,kJy0fd8AAAAJ,918.0,16.0,2015.0
Yipeng Zhou,Macquarie University,https://researchers.mq.edu.au/en/persons/yipeng-zhou,uv95RgUAAAAJ,1594.0,20.0,2001.0
Jia Wu,Macquarie University,http://web.science.mq.edu.au/~jiawu/index.html,kbnFw94AAAAJ,5072.0,41.0,2008.0
Steve Cassidy,Macquarie University,http://web.science.mq.edu.au/~cassidy,uUa7GZsAAAAJ,1698.0,21.0,
Xuyun Zhang,Macquarie University,https://researchers.mq.edu.au/en/persons/xuyun-zhang,wbF6HL8AAAAJ,6203.0,42.0,2009.0
Guanfeng Liu,Macquarie University,http://web.science.mq.edu.au/~gliu,6P6EnQkAAAAJ,2538.0,26.0,2001.0
Malcolm Ryan,Macquarie University,https://researchers.mq.edu.au/en/persons/malcolm-ryan,zETJIuoAAAAJ,865.0,14.0,1996.0
Michael Sheng,Macquarie University,http://web.science.mq.edu.au/~qsheng,lwy2C5YAAAAJ,15986.0,57.0,1993.0
Amin Beheshti,Macquarie University,https://researchers.mq.edu.au/en/persons/amin-beheshti,Uw1OLAgAAAAJ,2211.0,27.0,2007.0
Tao Gu,Macquarie University,https://taogu.site,YfeWvwYAAAAJ,10764.0,44.0,2003.0
A. K. McIver,Macquarie University,https://researchers.mq.edu.au/en/persons/annabelle-mciver,9fvUO9QAAAAJ,3757.0,31.0,1987.0
