name,affiliation,homepage,scholar_id,citations,h-index,earliest_paper
Pavel Celeda,Masaryk University,https://www.muni.cz/en/people/206086,19TG5q8AAAAJ,2095.0,22.0,2003.0
Jozef Gruska,Masaryk University,https://www.muni.cz/en/people/3026,,,,
Ivana Cerna,Masaryk University,https://www.muni.cz/en/people/1419,ktCv0pkAAAAJ,2055.0,24.0,1988.0
Vaclav Prenosil,Masaryk University,https://www.muni.cz/en/people/169249,BPGmx7YAAAAJ,1259.0,22.0,1999.0
Jirí Zlatuska,Masaryk University,https://www.muni.cz/en/people/1777,,,,
Ludek Matyska,Masaryk University,https://www.muni.cz/en/people/1904,XA85OFQAAAAJ,1413.0,20.0,1982.0
Lubomír Popelínský,Masaryk University,https://www.muni.cz/en/people/1945,,,,
Eva Hladká,Masaryk University,https://www.muni.cz/en/people/2053,8cg5zgYAAAAJ,355.0,10.0,1988.0
Michal Kozubek,Masaryk University,https://www.muni.cz/en/people/3740,y-Vc8W4AAAAJ,4233.0,35.0,1993.0
Petr Sojka,Masaryk University,https://www.muni.cz/en/people/2378,9piza88AAAAJ,5557.0,19.0,1983.0
Michal Brandejs,Masaryk University,https://www.muni.cz/en/people/2116,,,,
Petr Holub,Masaryk University,https://www.muni.cz/en/people/3248,,,,
Jan Bouda,Masaryk University,https://www.muni.cz/en/people/3717,To23LQMAAAAJ,1306.0,11.0,2001.0
Jan Strejcek,Masaryk University,https://www.muni.cz/en/people/3366,2Bdz-iAAAAAJ,1057.0,18.0,2000.0
Vashek Matyas,Masaryk University,https://www.muni.cz/en/people/344,x6uv-rkAAAAJ,2266.0,19.0,
Pavel Rychlý,Masaryk University,https://www.muni.cz/en/people/3692,AQJK5pMAAAAJ,5661.0,24.0,1989.0
Fotis Liarokapis,Masaryk University,https://www.muni.cz/en/people/235197,snY7XXkAAAAJ,5273.0,36.0,1999.0
David Smahel,Masaryk University,https://www.muni.cz/en/people/3068,LKs73BQAAAAJ,5919.0,29.0,1997.0
Achim Blumensath,Masaryk University,https://www.muni.cz/en/people/237782,AycsmlQAAAAJ,968.0,14.0,2000.0
Lubos Brim,Masaryk University,https://www.muni.cz/en/people/197,-EvkffIAAAAJ,3671.0,34.0,1992.0
Antonín Kucera,Masaryk University,https://www.muni.cz/en/people/2508,HxIvytQAAAAJ,2689.0,29.0,1989.0
Jiri Barnat,Masaryk University,https://www.muni.cz/en/people/3496,Z9ZkOdcAAAAJ,3113.0,33.0,2001.0
Barbora Kozlíková,Masaryk University,https://www.muni.cz/en/people/60850,0hMZracAAAAJ,1986.0,16.0,2006.0
Jiri Sochor,Masaryk University,https://www.muni.cz/en/people/2446,kd3m5-4AAAAJ,2243.0,15.0,1989.0
Tomás Pitner,Masaryk University,https://www.muni.cz/en/people/94,bX-cpaoAAAAJ,1004.0,16.0,1996.0
Vojtech Rehák,Masaryk University,https://www.fi.muni.cz/~xrehak,ecYKcckAAAAJ,510.0,11.0,2002.0
Hana Rudová,Masaryk University,https://www.muni.cz/en/people/3840,wuykjtQAAAAJ,1780.0,22.0,1996.0
Petr Matula,Masaryk University,https://www.muni.cz/en/people/3019,_J1EjksAAAAJ,2207.0,20.0,2000.0
Ales Horák,Masaryk University,https://www.muni.cz/en/people/1648,lBJuYA8AAAAJ,1212.0,17.0,1997.0
Jan Obdrzálek,Masaryk University,https://www.muni.cz/en/people/1552,x9S-uaAAAAAJ,1350.0,21.0,1995.0
Petr Svenda,Masaryk University,https://crocs.fi.muni.cz/people/svenda,sAA8_ysAAAAJ,617.0,12.0,2004.0
Mojmír Kretínský,Masaryk University,https://www.muni.cz/en/people/631,CcXNE7YAAAAJ,485.0,12.0,1978.0
Petr Hlinený,Masaryk University,https://www.muni.cz/en/people/168881,6gR2tBkAAAAJ,2507.0,28.0,1989.0
Pavel Zezula,Masaryk University,https://www.muni.cz/en/people/47485,EHIdRAYAAAAJ,7501.0,33.0,1987.0
David Svoboda,Masaryk University,https://www.muni.cz/en/people/2824,PsOjZrUAAAAJ,1461.0,15.0,2001.0
Bara Buhnova,Masaryk University,https://www.muni.cz/en/people/39394,3J7jHK4AAAAJ,1984.0,20.0,2004.0
Tomás Brázdil,Masaryk University,https://www.muni.cz/en/people/4074,4Mp6OSYAAAAJ,1682.0,23.0,2002.0
Vlastislav Dohnal,Masaryk University,https://www.muni.cz/en/people/2952,Vmj26i4AAAAJ,1880.0,13.0,2000.0
Pavel Matula,Masaryk University,https://www.muni.cz/en/people/2927,_J1EjksAAAAJ,2247.0,20.0,2000.0
Daniel Král,Masaryk University,https://www.muni.cz/en/people/44742,crv1hRwAAAAJ,3695.0,31.0,2000.0
Karel Pala,Masaryk University,https://www.muni.cz/en/people/455,BMgQNWMAAAAJ,1361.0,16.0,1961.0
Radek Pelánek,Masaryk University,https://www.muni.cz/en/people/4297,Q5pgzoUAAAAJ,3114.0,30.0,2001.0
