name,affiliation,homepage,scholar_id,citations,h-index,earliest_paper
Vassilevska Williams,Massachusetts Institute of Technology,http://theory.stanford.edu/~virgi,Wph6P_IAAAAJ,5735.0,36.0,2001.0
Hal Abelson,Massachusetts Institute of Technology,http://groups.csail.mit.edu/mac/users/hal/hal.html,,,,
Jonathan Ragan-Kelley,Massachusetts Institute of Technology,https://people.eecs.berkeley.edu/~jrk,nBcay4oAAAAJ,4135.0,26.0,2001.0
Wojciech Matusik,Massachusetts Institute of Technology,http://people.csail.mit.edu/wojciech,wbIMbL8AAAAJ,21225.0,76.0,1999.0
Stefanie Mueller,Massachusetts Institute of Technology,https://www.csail.mit.edu/user/4778,ki5wlPEAAAAJ,1864.0,21.0,2009.0
Anant Agarwal,Massachusetts Institute of Technology,https://www.csail.mit.edu/user/723,E6XXUFcAAAAJ,24894.0,74.0,1981.0
Tomás Lozano-Pérez,Massachusetts Institute of Technology,http://people.csail.mit.edu/tlp,gQOKAggAAAAJ,30923.0,62.0,1973.0
Alan S. Willsky,Massachusetts Institute of Technology,http://ssg.mit.edu/~willsky,XYy_Nm4AAAAJ,54664.0,99.0,1971.0
Randall Davis,Massachusetts Institute of Technology,https://www.csail.mit.edu/user/805,G-HM2ikAAAAJ,21852.0,62.0,1975.0
Andrew Lo,Massachusetts Institute of Technology,http://alo.mit.edu,4M-iGXMAAAAJ,191.0,7.0,2014.0
Gregory W. Wornell,Massachusetts Institute of Technology,http://allegro.mit.edu/~gww,bSpGhYcAAAAJ,41854.0,66.0,1987.0
Tim Kraska,Massachusetts Institute of Technology,http://cs.brown.edu/~kraskat,biuxbRsAAAAJ,10483.0,51.0,2006.0
R. Ryan Williams,Massachusetts Institute of Technology,http://web.stanford.edu/~rrwill,Wp38QQYAAAAJ,7517.0,25.0,1993.0
Nir Shavit,Massachusetts Institute of Technology,http://people.csail.mit.edu/shanir,,,,
Erik D. Demaine,Massachusetts Institute of Technology,http://erikdemaine.org,6Ff2c8wAAAAJ,22979.0,74.0,
Daniel Sánchez,Massachusetts Institute of Technology,http://people.csail.mit.edu/sanchez,gzIKHjIAAAAJ,29417.0,59.0,1995.0
Daniela Rus,Massachusetts Institute of Technology,https://www.csail.mit.edu/user/876,910z20QAAAAJ,55818.0,125.0,1991.0
Caroline Uhler,Massachusetts Institute of Technology,https://www.carolineuhler.com,dIJFcaoAAAAJ,3244.0,29.0,2008.0
Saman P. Amarasinghe,Massachusetts Institute of Technology,http://people.csail.mit.edu/saman,cF6i_goAAAAJ,25181.0,71.0,1948.0
Ronitt Rubinfeld,Massachusetts Institute of Technology,http://people.csail.mit.edu/ronitt,pZhZndYAAAAJ,9225.0,45.0,1988.0
Martin C. Rinard,Massachusetts Institute of Technology,http://people.csail.mit.edu/rinard,hxlxVEUAAAAJ,20972.0,72.0,1984.0
Yury Polyanskiy,Massachusetts Institute of Technology,http://www.mit.edu/~ypol,,,,
Collin M. Stultz,Massachusetts Institute of Technology,https://imes.mit.edu/people/faculty/stultz-collin,,,,
Patrick H. Winston,Massachusetts Institute of Technology,http://people.csail.mit.edu/phw,,,,
Marzyeh Ghassemi,Massachusetts Institute of Technology,http://www.marzyehghassemi.com,9RyeFYwAAAAJ,4442.0,34.0,2006.0
V. Vinod,Massachusetts Institute of Technology,http://www.mit.edu/~vinodv,a8jIPIkAAAAJ,23715.0,60.0,2003.0
Tamara Broderick,Massachusetts Institute of Technology,http://www.tamarabroderick.com,dPX0wQcAAAAJ,2298.0,24.0,2004.0
Pablo A. Parrilo,Massachusetts Institute of Technology,http://www.mit.edu/~parrilo,s_IPfEYAAAAJ,24189.0,59.0,1994.0
Qing Hu,Massachusetts Institute of Technology,http://www.rle.mit.edu/thz/people/qing-hu,wYOf7YQAAAAJ,10498.0,59.0,1984.0
Jacob K. White,Massachusetts Institute of Technology,http://www.rle.mit.edu/cpg/people_faculty.htm,4lpSV-8AAAAJ,197.0,8.0,2015.0
Patrick Jaillet,Massachusetts Institute of Technology,http://web.mit.edu/jaillet/www,ND0FM6EAAAAJ,9816.0,48.0,1982.0
Marvin Minsky,Massachusetts Institute of Technology,http://web.media.mit.edu/~minsky,,,,
Fadel Adib,Massachusetts Institute of Technology,http://www.mit.edu/~fadel,OxKLBqwAAAAJ,4803.0,21.0,2010.0
Vivienne Sze,Massachusetts Institute of Technology,http://www.rle.mit.edu/eems,hNWGC5QAAAAJ,13888.0,45.0,2006.0
Luca Daniel,Massachusetts Institute of Technology,http://www.mit.edu/~dluca,JtPNrS8AAAAJ,10998.0,27.0,2007.0
Joel Voldman,Massachusetts Institute of Technology,http://www.rle.mit.edu/biomicro,,,,
John L. Wyatt,Massachusetts Institute of Technology,http://www.rle.mit.edu/bio-wyatt,Xzaz7iwAAAAJ,4.0,1.0,2013.0
Adam Chlipala,Massachusetts Institute of Technology,http://adam.chlipala.net,Imh0w3AAAAAJ,3672.0,29.0,2004.0
Asuman E. Ozdaglar,Massachusetts Institute of Technology,https://asu.mit.edu,GcuxcLYAAAAJ,28424.0,68.0,1999.0
Arvind,Massachusetts Institute of Technology,http://csg.csail.mit.edu/Users/arvind,P0hz-8UAAAAJ,43316.0,99.0,1955.0
Erich P. Ippen,Massachusetts Institute of Technology,http://web.mit.edu/physics/people/faculty/ippen_erich.html,5RfBYzcAAAAJ,50290.0,115.0,1966.0
Stefanie Jegelka,Massachusetts Institute of Technology,http://people.csail.mit.edu/stefje,gTWUZlsAAAAJ,9937.0,41.0,2003.0
Phillip Isola,Massachusetts Institute of Technology,http://web.mit.edu/phillipi,ROILf3EAAAAJ,43577.0,37.0,2007.0
Muriel Médard,Massachusetts Institute of Technology,http://www.rle.mit.edu/ncrc,6_oL_9IAAAAJ,36785.0,79.0,1990.0
Antonio Torralba,Massachusetts Institute of Technology,http://web.mit.edu/torralba/www,8cxDHS4AAAAJ,93276.0,124.0,1997.0
Ankur Moitra,Massachusetts Institute of Technology,http://people.csail.mit.edu/moitra,umFQktIAAAAJ,5612.0,37.0,1973.0
Jing Kong,Massachusetts Institute of Technology,http://www.rle.mit.edu/nmeg,w0iKa2kAAAAJ,86133.0,132.0,
John N. Tsitsiklis,Massachusetts Institute of Technology,http://www.mit.edu/~jnt/home.html,bWTPrLEAAAAJ,61298.0,93.0,
William T. Peake,Massachusetts Institute of Technology,http://www.rle.mit.edu/peake,,,,
Jae S. Lim,Massachusetts Institute of Technology,http://www.rle.mit.edu/people/directory/jae-lim,ClH0XTsAAAAJ,1282.0,18.0,1993.0
