name,affiliation,homepage,scholar_id,citations,h-index,earliest_paper
Jörg Kienzle,McGill University,http://www.cs.mcgill.ca/~joerg/Home/Jorgs_Home.html,INUL3eEAAAAJ,3061.0,27.0,1994.0
Reihaneh Rabbany,McGill University,http://www.reirab.com,Foh_c-QAAAAJ,826.0,13.0,2009.0
Kaleem Siddiqi,McGill University,http://www.cim.mcgill.ca/~siddiqi,DkTURUsAAAAJ,11524.0,47.0,1983.0
Michael S. Langer,McGill University,http://www.cim.mcgill.ca/~langer,NsYQCXsAAAAJ,1551.0,20.0,1992.0
Robert Robere,McGill University,https://www.cs.mcgill.ca/~robere,ss6bWnwAAAAJ,390.0,10.0,2012.0
Gregory Dudek,McGill University,http://www.cim.mcgill.ca/~dudek,BSORuFoAAAAJ,11572.0,49.0,1978.0
David Meger,McGill University,http://www.cim.mcgill.ca/~dmeger,gFwEytkAAAAJ,5463.0,21.0,1986.0
Xiao-Wen Chang,McGill University,http://cs.mcgill.ca/~chang,,,,
Xujie Si,McGill University,https://www.cs.mcgill.ca/~xsi,Ru-jrx4AAAAJ,364.0,10.0,2010.0
Nathan Friedman,McGill University,https://www.cs.mcgill.ca/academic/undergrad/advising,,,,
Clark Verbrugge,McGill University,http://www.sable.mcgill.ca/~clump,,,,
Mathieu Blanchette,McGill University,http://www.cs.mcgill.ca/~blanchem,8vXnOQsAAAAJ,13752.0,50.0,1957.0
Brigitte Pientka,McGill University,http://www.cs.mcgill.ca/~bpientka,SX7AzekAAAAJ,2081.0,23.0,1995.0
Jérôme Waldispühl,McGill University,http://www.cs.mcgill.ca/~jeromew,IVZp2gQAAAAJ,1691.0,21.0,2002.0
Derek Nowrouzezahrai,McGill University,http://www.cim.mcgill.ca/~derek,nCZ2PMcAAAAJ,3303.0,33.0,2005.0
Jackie Chi Kit Cheung,McGill University,http://cs.mcgill.ca/~jcheung,Um-wmYQAAAAJ,1700.0,23.0,2008.0
Martin P. Robillard,McGill University,http://www.cs.mcgill.ca/~martin,XlDo0wgAAAAJ,8482.0,48.0,1998.0
Bruce A. Reed,McGill University,http://cgm.cs.mcgill.ca/~breed,ki4fG10AAAAJ,23251.0,88.0,1966.0
Bettina Kemme,McGill University,http://www.cs.mcgill.ca/~kemme,vLbmweYAAAAJ,6222.0,35.0,1994.0
Denis Thérien,McGill University,http://cs.mcgill.ca/~denis,qCCbEpIAAAAJ,3631.0,28.0,1976.0
Prakash Panangaden,McGill University,http://www.cs.mcgill.ca/~prakash,IROzEKQAAAAJ,10119.0,46.0,1977.0
Adrian R. Vetta,McGill University,http://www.math.mcgill.ca/vetta,DJmwoRYAAAAJ,3980.0,23.0,2000.0
Derek Ruths,McGill University,http://www.derekruths.com,WZWeI0MAAAAJ,5401.0,32.0,2000.0
William L. Hamilton,McGill University,https://williamleif.github.io,T5tm9eQAAAAJ,16252.0,31.0,2002.0
Muthucumaru Maheswaran,McGill University,http://www.cs.mcgill.ca/~maheswar,1qbLa7YAAAAJ,10822.0,33.0,1994.0
Claude Crépeau,McGill University,http://www.cs.mcgill.ca/~crepeau,H0tgqO4AAAAJ,26701.0,43.0,1985.0
Hamed Hatami,McGill University,http://www.cs.mcgill.ca/~hatami,4WQnb8IAAAAJ,73.0,3.0,2013.0
Siva Reddy,McGill University,https://www.mcgill.ca/linguistics/siva-reddy-0,LZZAAtoAAAAJ,3286.0,21.0,2009.0
Luc Devroye,McGill University,http://luc.devroye.org,DC_7koIAAAAJ,28918.0,67.0,1972.0
Michael T. Hallett,McGill University,https://www.mcgill.ca/philosophy/contact/faculty/hallett,aSl0gXwAAAAJ,13815.0,60.0,1972.0
Paul G. Kry,McGill University,http://www.cs.mcgill.ca/~kry,Uro_AS0AAAAJ,2159.0,21.0,1993.0
