name,affiliation,homepage,scholar_id,citations,h-index,earliest_paper
Betty H. C. Cheng,Michigan State University,http://www.cse.msu.edu/~chengb,qABYFOIAAAAJ,13471.0,53.0,1989.0
Charles B. Owen,Michigan State University,http://www.cse.msu.edu/~cbowen,zBuDgD0AAAAJ,3937.0,31.0,1977.0
Borzoo Bonakdarpour,Michigan State University,http://www.cse.msu.edu/~borzoo,T_hw6kcAAAAJ,1827.0,25.0,2004.0
Sijia Liu,Michigan State University,https://www.egr.msu.edu/people/profile/liusiji5,C7dO_UgAAAAJ,3587.0,32.0,2012.0
Joshua E. Siegel,Michigan State University,http://www.siegelautomation.com,Y7530HwAAAAJ,1022.0,16.0,2011.0
Richard J. Enbody,Michigan State University,http://www.cse.msu.edu/~enbody,QR4VpsIAAAAJ,3224.0,27.0,1986.0
Yunhao Liu,Michigan State University,https://www.cse.msu.edu/~liuyunha,c5yUtPsAAAAJ,36190.0,88.0,2003.0
Zhichao Cao,Michigan State University,https://cse.msu.edu/~caozc,td3RSWYAAAAJ,913.0,17.0,2009.0
Yanni Sun,Michigan State University,https://www.egr.msu.edu/people/profile/yannisun,1wloHDIAAAAJ,6210.0,20.0,2005.0
Kristen Johnson,Michigan State University,https://www.egr.msu.edu/people/profile/kristenj,iHeTIZEAAAAJ,238.0,8.0,2001.0
Qiben Yan,Michigan State University,https://cse.msu.edu/~qyan,su4cfrIAAAAJ,1952.0,20.0,2010.0
Naresh Boddeti,Michigan State University,http://vishnu.boddeti.net,JKcrO9IAAAAJ,2348.0,27.0,2002.0
Mi Zhang,Michigan State University,http://www.egr.msu.edu/~mizhang,r3A90uAAAAAJ,5055.0,29.0,2009.0
Anil K. Jain,Michigan State University,https://www.cse.msu.edu/~jain,g-_ZXGsAAAAJ,238360.0,203.0,1999.0
Parisa Kordjamshidi,Michigan State University,https://www.cse.msu.edu/~kordjams,Ugo3NGgAAAAJ,949.0,15.0,2007.0
Matt W. Mutka,Michigan State University,https://www.cse.msu.edu/~mutka,wtUJnOcAAAAJ,9588.0,38.0,1987.0
Wolfgang Banzhaf,Michigan State University,http://research.msu.edu/tag/wolfgang-banzhaf,u-FjxEUAAAAJ,17989.0,61.0,1944.0
Wayne R. Dyksen,Michigan State University,http://www.cse.msu.edu/~dyksen,,,,
Philip K. McKinley,Michigan State University,http://www.cse.msu.edu/~mckinley,70oIOKIAAAAJ,9103.0,43.0,1961.0
Arend Hintze,Michigan State University,http://hintzelab.msu.edu,9OItN4cAAAAJ,2182.0,21.0,2006.0
Abdol-Hossein Esfahanian,Michigan State University,http://www.cse.msu.edu/~esfahani,,,,
Sandeep Kulkarni,Michigan State University,http://www.cse.msu.edu/~sandeep,9us9lu0AAAAJ,6832.0,40.0,1982.0
William F. Punch,Michigan State University,http://www.cse.msu.edu/~punch,U9HQ2qUAAAAJ,9951.0,50.0,1985.0
Pang-Ning Tan,Michigan State University,http://www.cse.msu.edu/~ptan,xNs4D2QAAAAJ,31138.0,54.0,1999.0
Alex Liu,Michigan State University,http://www.cse.msu.edu/~alexliu,qRjO51UAAAAJ,16280.0,62.0,1984.0
Li Xiao,Michigan State University,http://www.cse.msu.edu/~lxiao,,,,
Kevin Liu,Michigan State University,http://www.cse.msu.edu/~kjl,exrdRM0AAAAJ,1954.0,16.0,2008.0
Hasan Metin Aktulga,Michigan State University,http://www.cse.msu.edu/~hma,CfLHDYgAAAAJ,3900.0,20.0,2007.0
Eric Torng,Michigan State University,http://www.cse.msu.edu/~torng,FyeZL14AAAAJ,4170.0,29.0,1993.0
Laura K. Dillon,Michigan State University,http://www.cse.msu.edu/~ldillon,,,,
Jiliang Tang,Michigan State University,http://www.cse.msu.edu/~tangjili,WtzKMWAAAAAJ,21311.0,69.0,
Xiaoming Liu,Michigan State University,https://www.cse.msu.edu/~liuxm,2V2YwCMAAAAJ,974.0,16.0,1997.0
John (Juyang) Weng,Michigan State University,http://www.cse.msu.edu/~weng,HnQ2gqMAAAAJ,12085.0,48.0,1985.0
Arun Abraham Ross,Michigan State University,http://www.cse.msu.edu/~rossarun,7IiUQDkAAAAJ,37889.0,74.0,
Charles Ofria,Michigan State University,http://www.ofria.com,nYLuKDAAAAAJ,7676.0,34.0,1998.0
Yiying Tong,Michigan State University,http://www.cse.msu.edu/~ytong,2Dz330cAAAAJ,6054.0,35.0,2001.0
Guoliang Xing,Michigan State University,http://www.cse.msu.edu/~glxing,kI5JKs8AAAAJ,11056.0,49.0,2003.0
Jiayu Zhou,Michigan State University,http://0xmachine.com,yQKlLTQAAAAJ,5412.0,33.0,
