name,affiliation,homepage,scholar_id,citations,h-index,earliest_paper
Panos Giannopoulos,Middlesex University,http://www.eis.mdx.ac.uk/staffpages/panosgiannopoulos,d19xulYAAAAJ,657.0,14.0,2002.0
Carl Evans,Middlesex University,http://www.cs.mdx.ac.uk/people/carl-evans,,,,
Florian Kammueller,Middlesex University,http://www.cs.mdx.ac.uk/people/florian-kammueller,DaQ8dGMAAAAJ,1018.0,17.0,1995.0
Andrei Popescu,Middlesex University,http://andreipopescu.uk,nxOkXN0AAAAJ,1776.0,23.0,2002.0
Carlisle E. George,Middlesex University,http://www.eis.mdx.ac.uk/staffpages/cgeorge,,,,
Xiaohong Gao,Middlesex University,http://www.mitime.org,D4AqjAcAAAAJ,2070.0,22.0,1993.0
Christian R. Huyck,Middlesex University,http://www.cwa.mdx.ac.uk/chris/chrisroot.html,,,,
David Windridge,Middlesex University,http://www.cs.mdx.ac.uk/people/david-windridge,p0K-zIsAAAAJ,1806.0,19.0,1997.0
Mark Springett,Middlesex University,https://www.mdx.ac.uk/about-us/our-people/staff-directory/profile/springett-mark,rwQJxtUAAAAJ,567.0,11.0,1992.0
Bob Fields,Middlesex University,http://www.cs.mdx.ac.uk/people/bob-fields,DrLWtAYAAAAJ,2143.0,23.0,1988.0
Giovanni Quattrone,Middlesex University,https://www.mdx.ac.uk/about-us/our-people/staff-directory/profile/quattrone-giovanni,cN4fbBsAAAAJ,1643.0,21.0,1984.0
Irene Kotsia,Middlesex University,https://www.mdx.ac.uk/about-us/our-people/staff-directory/profile/kotsia-irene,RwDV2kAAAAAJ,4569.0,26.0,2003.0
Joanna Loveday,Middlesex University,https://www.mdx.ac.uk/about-us/our-people/staff-directory/profile/loveday-joanna,,,,
Ralph Moseley,Middlesex University,https://www.mdx.ac.uk/about-us/our-people/staff-directory/profile/moseley-ralph,,,,
Ioannis Panagakis,Middlesex University,https://www.mdx.ac.uk/about-us/our-people/staff-directory/profile/panagakis-yannis,z1bkjU8AAAAJ,2284.0,23.0,2008.0
Peter J. Passmore,Middlesex University,https://www.mdx.ac.uk/about-us/our-people/staff-directory/profile/passmore-peter,,,,
Clifford Sule,Middlesex University,https://www.mdx.ac.uk/about-us/our-people/staff-directory/profile/sule-clifford,WeHUq4YAAAAJ,14.0,2.0,2013.0
Pirkko H. Harvey,Middlesex University,https://www.mdx.ac.uk/about-us/our-people/staff-directory/profile/harvey-pirkko,,,,
Balbir Barn,Middlesex University,http://www.cs.mdx.ac.uk/people/balbir-barn,2Sw7gb4AAAAJ,1003.0,16.0,1987.0
Harjinder Rahanu,Middlesex University,https://www.mdx.ac.uk/about-us/our-people/staff-directory/profile/rahanu-harjinder,,,,
Kelly Androutsopoulos,Middlesex University,http://www.eis.mdx.ac.uk/staffpages/kellyandroutsopoulos,0VGY3MQAAAAJ,713.0,12.0,1999.0
Rajagopal Nagarajan,Middlesex University,http://www.cs.mdx.ac.uk/people/rajagopal_nagarajan/raja,SE6e-QMAAAAJ,1086.0,17.0,1987.0
Edward Currie,Middlesex University,http://www.cs.mdx.ac.uk/people/ed-currie,,,,
Serengul Smith,Middlesex University,http://www.cs.mdx.ac.uk/people/serengul-smith,GLKMjFMAAAAJ,739.0,12.0,1965.0
Leishi Zhang,Middlesex University,http://www.cs.mdx.ac.uk/people/leishi-zhang,_JtL900AAAAJ,1370.0,15.0,2005.0
Shahedur Rahman,Middlesex University,http://www.cs.mdx.ac.uk/people/shahedur-rahman,,,,
Xiao-Chun Cheng,Middlesex University,https://www.mdx.ac.uk/about-us/our-people/staff-directory/profile/cheng-xiaochun,0i9Ga8QAAAAJ,2450.0,25.0,1991.0
Juan Carlos Augusto,Middlesex University,https://www.jcaugusto.com,JD7vb2IAAAAJ,7724.0,39.0,1996.0
Roman Belavkin,Middlesex University,http://www.eis.mdx.ac.uk/staffpages/rvb,EYJhJ1oAAAAJ,704.0,13.0,2000.0
Andreas Albrecht,Middlesex University,https://www.mdx.ac.uk/about-us/our-people/staff-directory/profile/albrecht-andreas,,,,
Padma Daryanani,Middlesex University,http://www.cs.mdx.ac.uk/people/padma-daryanani,,,,
Martin J. Loomes,Middlesex University,http://www.cs.mdx.ac.uk/people/martin-loomes,,,,
Simon Attfield,Middlesex University,http://www.cs.mdx.ac.uk/people/simon-attfield,Uh9q5_MAAAAJ,1562.0,17.0,2003.0
Miltos Petridis,Middlesex University,http://www.cs.mdx.ac.uk/people/miltos-petridis,OYxJzq0AAAAJ,1099.0,18.0,1970.0
Jaap Boender,Middlesex University,http://www.cs.mdx.ac.uk/people/jaap-boender,hnbina4AAAAJ,466.0,9.0,2006.0
Gill Whitney,Middlesex University,https://www.mdx.ac.uk/about-us/our-people/staff-directory/profile/whitney-gill,,,,
George A. Dafoulas,Middlesex University,http://www.cs.mdx.ac.uk/people/george-dafoulas,,,,
Sukhvinder Hara,Middlesex University,https://www.mdx.ac.uk/about-us/our-people/staff-directory/profile/hara-sukhvinder,,,,
Irena Kolar,Middlesex University,http://www.cs.mdx.ac.uk/people/irena-kolar,,,,
Carl James-Reynolds,Middlesex University,https://www.mdx.ac.uk/about-us/our-people/staff-directory/profile/james-reynolds-carl,,,,
William Wong,Middlesex University,https://www.mdx.ac.uk/about-us/our-people/staff-directory/profile/wong-william,,,,
Franco Raimondi,Middlesex University,http://www.rmnd.net,Vt5JjM8AAAAJ,2917.0,26.0,2003.0
Nawaz Kahan,Middlesex University,https://www.mdx.ac.uk/about-us/our-people/staff-directory/profile/khan-nawaz,,,,
Suiping Zhou,Middlesex University,http://www.cs.mdx.ac.uk/people/suiping-zhou,zhbtLUQAAAAJ,1859.0,22.0,1995.0
