name,affiliation,homepage,scholar_id,citations,h-index,earliest_paper
D. J. Soudris,NTUA,https://microlab.ntua.gr/academics/dimitrios-soudris,lWuTmpEAAAAJ,5429.0,32.0,1988.0
Symeon Papavassiliou,NTUA,http://www.netmode.ntua.gr/papavass,qVvp2dEAAAAJ,7976.0,43.0,1992.0
Iakovos S. Venieris,NTUA,http://www.icbnet.ntua.gr/website/el/people/~ivenieris,Q0ylKvEAAAAJ,3335.0,27.0,1989.0
Konstantinos Karantzalos,NTUA,http://users.ntua.gr/karank,U6t7QpsAAAAJ,2969.0,28.0,2000.0
Harris E. Psillakis,NTUA,http://users.ntua.gr/hpsilakis,iwioPgUAAAAJ,491.0,12.0,2004.0
Athanasios D. Panagopoulos,NTUA,http://users.ntua.gr/thanpan,RGuFDFIAAAAJ,5742.0,34.0,1984.0
Gregoris Mentzas,NTUA,http://imu.ntua.gr/users/gmentzas,WdybrQYAAAAJ,7137.0,41.0,
Hercules Avramopoulos,NTUA,https://www.photonics.ntua.gr/people/prof-hercules-avramopoulos,hf2txgMAAAAJ,5725.0,37.0,1986.0
Konstantina S. Nikita,NTUA,http://www.biosim.ntua.gr/gr/people/knikita,4t9gJcUAAAAJ,9316.0,52.0,1986.0
Nikolaos Papaspyrou,NTUA,https://www.softlab.ntua.gr/~nickie,sB4E4lcAAAAJ,826.0,17.0,1991.0
Ioanna Roussaki,NTUA,http://people.cn.ntua.gr/ioanna/index.html,MIaDIWQAAAAJ,2092.0,22.0,2001.0
Giorgos B. Stamou,NTUA,http://www.image.ntua.gr/~gstam,R3y5dxMAAAAJ,4824.0,34.0,1970.0
Dionisios N. Pnevmatikatos,NTUA,http://www.cslab.ntua.gr/~pnevmati,TKtxe-UAAAAJ,3612.0,29.0,1990.0
Panagiotis Tsanakas,NTUA,http://www.cslab.ntua.gr/~panag,UdV8-qIAAAAJ,3220.0,20.0,1985.0
Nectarios Koziris,NTUA,http://www.cslab.ntua.gr/~nkoziris,wgwP96QAAAAJ,5435.0,31.0,1995.0
Andreas Stafylopatis,NTUA,http://www2.islab.ntua.gr/andreas,,,,
Dimitris A. Fotakis,NTUA,https://www.softlab.ntua.gr/~fotakis,zFDLf0UAAAAJ,2823.0,28.0,1995.0
Stefanos D. Kollias,NTUA,http://www.image.ece.ntua.gr/lab/stefanos,-h2va3cAAAAJ,12723.0,54.0,1983.0
Emmanouel A. Varvarigos,NTUA,http://hscnl.ece.ntua.gr/index.php/members/director,uynxtwsAAAAJ,7136.0,40.0,1990.0
Dimitra I. Kaklamani,NTUA,http://icbnet.ntua.gr/website/en/people/~dkaklamani,2tDrm6UAAAAJ,2515.0,24.0,1989.0
Haris Ch. Doukas,NTUA,https://www.ece.ntua.gr/en/staff/187,4TieQ1IAAAAJ,5149.0,38.0,2004.0
Panayotis G. Cottis,NTUA,https://www.ece.ntua.gr/en/staff/19,,,,
Petros Maragos,NTUA,http://cvsp.cs.ntua.gr/maragos,A2XydgGCY9gC,18693.0,62.0,1982.0
Aris Pagourtzis,NTUA,http://users.softlab.ntua.gr/~pagour,xh1BcAwAAAAJ,903.0,16.0,1997.0
George I. Goumas,NTUA,http://www.cslab.ntua.gr/~goumas,Cskc-awAAAAJ,1413.0,19.0,2000.0
Panagiotis Frangos,NTUA,https://www.ece.ntua.gr/gr/staff/48,i8miyV0AAAAJ,948.0,15.0,1985.0
Constantin Papaodysseus,NTUA,https://www.ece.ntua.gr/en/staff/72,,,,
Efstathios D. Sykas,NTUA,https://www.ece.ntua.gr/en/staff/36,,,,
Antonios Symvonis,NTUA,http://www.math.ntua.gr/~symvonis,EHH_0W8AAAAJ,1545.0,23.0,1990.0
Dora Varvarigou,NTUA,https://www.ece.ntua.gr/en/staff/60,kueSeb4AAAAJ,6840.0,40.0,1991.0
Dimitrios Askounis,NTUA,https://www.ece.ntua.gr/en/staff/75,GYIGP4MAAAAJ,2826.0,25.0,1994.0
Elias Koukoutsis,NTUA,https://www.ece.ntua.gr/en/staff/63,,,,
Ioannis Psarras,NTUA,https://www.ece.ntua.gr/en/staff/65,AMoT_2wAAAAJ,8767.0,51.0,1983.0
Alexandros Potamianos,NTUA,http://cvsp.cs.ntua.gr/potam,pBQViyUAAAAJ,7633.0,46.0,1993.0
George K. Matsopoulos,NTUA,https://www.ece.ntua.gr/en/staff/175,zKzcMW0AAAAJ,3234.0,30.0,1992.0
Demetrios-Dionysios Koutsouris,NTUA,http://www2.biomed.ntua.gr/%CE%B4%CE%B9%CE%B5%CF%85%CE%B8%CF%85%CE%BD%CF%84%CE%AE%CF%82,tTm7CCAAAAAJ,5969.0,36.0,1982.0
Miltiades E. Anagnostou,NTUA,http://mcwt.cn.ntua.gr/?q=el/content/miltiades-anagnostou,pvThzK0AAAAJ,1725.0,20.0,1984.0
Nikolas Mitrou,NTUA,http://mcwt.cn.ntua.gr/content/nikolaos-mitrou,wiq0MZ0AAAAJ,1320.0,16.0,1985.0
Petros S. Stefaneas,NTUA,http://www.math.ntua.gr/~petros/index.htm,ikmeLvwAAAAJ,747.0,11.0,1991.0
Costas S. Tzafestas,NTUA,http://users.softlab.ntua.gr/~ktzaf,lxC7IaoAAAAJ,2302.0,24.0,1993.0
Paul P. Sotiriadis,NTUA,https://www.ece.ntua.gr/en/staff/184,UtDXmH8AAAAJ,1923.0,21.0,2000.0
