name,affiliation,homepage,scholar_id,citations,h-index,earliest_paper
Tian Zhang,Nanjing University,https://cs.nju.edu.cn/zhangtian,1oipMX4AAAAJ,548.0,12.0,2005.0
Lijun Zhang,Nanjing University,http://cs.nju.edu.cn/zlj,DC5FEjoAAAAJ,3915.0,30.0,2006.0
Wei Wang,Nanjing University,http://cs.nju.edu.cn/wangwei,1y6wxQMAAAAJ,1140.0,13.0,2007.0
Yu Huang,Nanjing University,https://cs.nju.edu.cn/yuhuang,UWquqLIAAAAJ,139.0,7.0,2009.0
Yuan Yao,Nanjing University,https://cs.nju.edu.cn/yuanyao,vUvt8JYAAAAJ,2746.0,28.0,2009.0
Baoliu Ye,Nanjing University,https://cs.nju.edu.cn/yebl,BlbNI_sAAAAJ,1196.0,20.0,2004.0
Jinxi Zhao,Nanjing University,https://cs.nju.edu.cn/zhaojinxi,,,,
Yuming Zhou,Nanjing University,https://cs.nju.edu.cn/zhouyuming,,,,
Yu-Bin Yang,Nanjing University,https://cs.nju.edu.cn/yangyubin,kLOKBgUAAAAJ,576.0,14.0,1989.0
Baowen Xu,Nanjing University,https://cs.nju.edu.cn/xubaowen,,,,
Chun Cao,Nanjing University,https://ccao.cc/en,U08cMmAAAAAJ,790.0,14.0,2002.0
Furao Shen,Nanjing University,https://cs.nju.edu.cn/rinc/student/qty/index.html,bjSi-dIAAAAJ,2412.0,21.0,1996.0
Hongjin Liang,Nanjing University,https://cs.nju.edu.cn/hongjin,c-jKd-UAAAAJ,352.0,8.0,2010.0
Zhengxing Sun,Nanjing University,https://cs.nju.edu.cn/sunzhx,GZhOeeUAAAAJ,2677.0,24.0,
Lin Shang,Nanjing University,https://cs.nju.edu.cn/shanglin,BN25W0AAAAAJ,1847.0,21.0,2001.0
Jing Huo,Nanjing University,https://cs.nju.edu.cn/rl/people/huoj/index.htm,HKK1BdgAAAAJ,924.0,14.0,2012.0
Yue Li,Nanjing University,https://yuelee.bitbucket.io,i1f0dbkAAAAJ,487.0,13.0,2011.0
Wu-Jun Li,Nanjing University,https://cs.nju.edu.cn/lwj,NCCdqdcAAAAJ,5101.0,29.0,2006.0
Tong Lu,Nanjing University,https://cs.nju.edu.cn/lutong,,,,
Xuandong Li,Nanjing University,https://cs.nju.edu.cn/lixuandong,,,,
Jia Liu,Nanjing University,http://www.iselab.cn/faculty/JiaLiu,lL08VKYAAAAJ,8283.0,53.0,1995.0
Ming Li,Nanjing University,https://cs.nju.edu.cn/lim,djdBwxwAAAAJ,4392.0,20.0,2003.0
Jian-Xin Wu,Nanjing University,https://cs.nju.edu.cn/wujx,,,,
Chen Tian,Nanjing University,https://cs.nju.edu.cn/tianchen,OYNQpFYAAAAJ,4488.0,25.0,2006.0
Xinyu Feng,Nanjing University,https://cs.nju.edu.cn/xyfeng,SuTEZ6EAAAAJ,1864.0,23.0,2000.0
Zongzhang Zhang,Nanjing University,https://ai.nju.edu.cn/zhangzongzhang,,,,
Zhi-Hua Zhou,Nanjing University,https://cs.nju.edu.cn/zhouzh,rSVIHasAAAAJ,71128.0,113.0,1998.0
Yizheng Zhao,Nanjing University,https://ai.nju.edu.cn/zhaoyizheng,M3KkzOcAAAAJ,146.0,7.0,2015.0
Jian Lu,Nanjing University,http://cs.nju.edu.cn/58/2a/c2639a153642/page.htm,,,,
Kai Ming Ting,Nanjing University,https://ai.nju.edu.cn/KaiMingTing,9f3ZcbYAAAAJ,11153.0,41.0,1994.0
Cam-Tu Nguyen,Nanjing University,https://ai.nju.edu.cn/b8/32/c18540a440370/page.htm,qaSjJ4wAAAAJ,834.0,15.0,2005.0
Lei Xu,Nanjing University,http://cs.nju.edu.cn/xulei,,,,
Yuan Zhang,Nanjing University,http://cosec.nju.edu.cn/#index.php/members/yuan-zhang,ZBV1qlMAAAAJ,486.0,12.0,2009.0
Sheng Zhong,Nanjing University,http://cosec.nju.edu.cn/index.php/%E4%BB%B2%E7%9B%9B_Sheng_Zhong,EztoKEIAAAAJ,9545.0,32.0,2003.0
Shujian Huang,Nanjing University,http://nlp.nju.edu.cn/huangsj,HF3-E9kAAAAJ,2666.0,22.0,2007.0
Qing Gu,Nanjing University,https://www.facebook.com/public/Qing-Gu/city/Shanghai-China-106324046073002,4X1iP8IAAAAJ,12193.0,40.0,
Bing Mao,Nanjing University,https://www.usenix.org/conference/usenixsecurity17/speaker-or-organizer/bing-mao-nanjing-university,4HAkmwcAAAAJ,23115.0,45.0,1988.0
Chuyu Wang,Nanjing University,http://cs.nju.edu.cn/chuyu,yb3PUaoAAAAJ,441.0,12.0,2013.0
Lei Bu,Nanjing University,http://cs.nju.edu.cn/bulei,,,,
Changhai Nie,Nanjing University,http://gist.nju.edu.cn/~changhai,mRt6JHkAAAAJ,5196.0,37.0,2008.0
Xin-Yu Dai,Nanjing University,http://cs.nju.edu.cn/daixinyu,zpWB1CgAAAAJ,2230.0,22.0,2002.0
Wenzhong Li,Nanjing University,http://cs.nju.edu.cn/lwz,,,,
Lei Xie,Nanjing University,http://cs.nju.edu.cn/lxie,aZFCUpcAAAAJ,1593.0,22.0,2006.0
Linzhang Wang,Nanjing University,http://cs.nju.edu.cn/lzwang,3BoHCW8AAAAJ,1730.0,22.0,2004.0
Zhuzhong Qian,Nanjing University,http://cs.nju.edu.cn/qzz,,,,
Yinghuan Shi,Nanjing University,http://cs.nju.edu.cn/shiyh,m6BKDUMAAAAJ,2427.0,22.0,2009.0
Liang Wang,Nanjing University,http://cs.nju.edu.cn/wangliang,O6EwhtYAAAAJ,753.0,7.0,2009.0
Wei Wang,Nanjing University,http://cs.nju.edu.cn/wangwei,1y6wxQMAAAAJ,1140.0,13.0,2007.0
Xiaoliang Wang,Nanjing University,http://cs.nju.edu.cn/wangxiaoliang,OHkG-kUAAAAJ,671.0,14.0,2008.0
Jianxin Wu,Nanjing University,http://cs.nju.edu.cn/wujx,0JRtCV4AAAAJ,15581.0,52.0,2000.0
