name,affiliation,homepage,scholar_id,citations,h-index,earliest_paper
Jenq Kuen Lee,National Tsing Hua University,http://pllab.cs.nthu.edu.tw/~jklee,cIxlQU4AAAAJ,1658.0,19.0,1988.0
Chun-Yao Wang,National Tsing Hua University,http://nthucad.cs.nthu.edu.tw/~wcyao,xtN7584AAAAJ,686.0,14.0,2001.0
Cheng-Hsin Hsu,National Tsing Hua University,https://nmsl.cs.nthu.edu.tw/index.php/people?catid=77&id=68,6Hsfe8gAAAAJ,4156.0,34.0,2006.0
Shun-Ren Yang,National Tsing Hua University,http://www.cs.nthu.edu.tw/~sryang,,,,
Youn-Long Steve Lin,National Tsing Hua University,http://www.cs.nthu.edu.tw/~ylin,jYgzZWIAAAAJ,6502.0,36.0,1987.0
Biing-Feng Wang,National Tsing Hua University,http://clark.cs.nthu.edu.tw/advisor.php,,,,
Duan-Shin Lee,National Tsing Hua University,http://com-en.web.nthu.edu.tw/files/14-1034-12760%2Cr1469-1.php?Lang=en,,,,
Chih-Tsun Huang,National Tsing Hua University,http://nthucad.cs.nthu.edu.tw/~cthuang,,,,
Jang-Ping Sheu,National Tsing Hua University,http://hscc.cs.nthu.edu.tw/~sheujp,xlzYeMsAAAAJ,15649.0,45.0,1987.0
Hung-Kuo Chu,National Tsing Hua University,http://cgv.cs.nthu.edu.tw/hkchu,XM4QrScAAAAJ,1540.0,15.0,2005.0
Yi-Shin Chen,National Tsing Hua University,http://www.yishin.net,0pm_SDoAAAAJ,1071.0,18.0,1999.0
Pai H. Chou,National Tsing Hua University,http://epl.tw/people/phchou,r7I9N5cAAAAJ,5462.0,35.0,1992.0
Hung Min Sun,National Tsing Hua University,http://is.cs.nthu.edu.tw/wiki/doku.php?id=advisor:main,,,,
Jason S. Chang,National Tsing Hua University,http://www.nlplab.cc,8HaVIjQAAAAJ,2915.0,28.0,1958.0
Von-Wun Soo,National Tsing Hua University,http://ai.cs.nthu.edu.tw,,,,
Jyuo-Min Shyu,National Tsing Hua University,http://web-en.cs.nthu.edu.tw/files/13-1044-5696.php,,,,
Wai-Kei Mak,National Tsing Hua University,http://www.cs.nthu.edu.tw/~wkmak,82p3cicAAAAJ,1959.0,20.0,1996.0
Shang-Hong Lai,National Tsing Hua University,http://www.cs.nthu.edu.tw/~lai,LlybOXQAAAAJ,5810.0,38.0,1988.0
Shan-Hung Wu,National Tsing Hua University,http://www.cs.nthu.edu.tw/~shwu,Pw-5jKcAAAAJ,1177.0,20.0,1979.0
Ren-Song Tsay,National Tsing Hua University,http://logos.cs.nthu.edu.tw/index.php/our-boss,qqrPdy0AAAAJ,2224.0,19.0,1987.0
Shih-Chieh Chang,National Tsing Hua University,http://www.cs.nthu.edu.tw/~scchang,LXaFMMAAAAAJ,3482.0,32.0,1992.0
Jia-Shung Wang,National Tsing Hua University,http://vc.cs.nthu.edu.tw/home/vc_html/member/jswang_e.html,,,,
Ting-Ting Hwang,National Tsing Hua University,http://www.cs.nthu.edu.tw/~tingting,,,,
Ming-Jer Tsai,National Tsing Hua University,http://dclab.cs.nthu.edu.tw/~mjtsai,,,,
Long-Wen Chang,National Tsing Hua University,http://www.cs.nthu.edu.tw/~lchang,,,,
Chun-Yi Lee,National Tsing Hua University,http://cymaxwelllee.wixsite.com/elsa,5mYNdo0AAAAJ,497.0,10.0,2005.0
Hwann-Tzong Chen,National Tsing Hua University,http://www.cs.nthu.edu.tw/~htchen,,,,
Chung-Ta King,National Tsing Hua University,http://www.cs.nthu.edu.tw/~king,,,,
Chiou-Ting Hsu,National Tsing Hua University,http://www.cs.nthu.edu.tw/~cthsu/candy.html,K4woTsYAAAAJ,4713.0,28.0,1994.0
Wei-Kuan Shih,National Tsing Hua University,https://sites.google.com/site/rtlabnthu/project-definition,,,,
Hwa-Chun Lin,National Tsing Hua University,http://alpha5.cs.nthu.edu.tw/labweb/advisor.html,,,,
Wing-Kai Hon,National Tsing Hua University,http://www.cs.nthu.edu.tw/~wkhon,7bMQ4KAAAAAJ,2519.0,28.0,1986.0
Jung-Chun Kao,National Tsing Hua University,http://www.cs.nthu.edu.tw/~jungchuk,,,,
Ting-Chi Wang,National Tsing Hua University,http://www.cs.nthu.edu.tw/~tcwang,yZfRvvoAAAAJ,1770.0,22.0,1991.0
Nen-Fu Huang,National Tsing Hua University,http://www.cs.nthu.edu.tw/~nfhuang,8gf68DQAAAAJ,3317.0,27.0,1987.0
Chin-Lung Lu,National Tsing Hua University,http://www.cs.nthu.edu.tw/~cllu,,,,
Chih-Ya Shen,National Tsing Hua University,http://www.cs.nthu.edu.tw/~chihya,,,,
Che-Rung Lee,National Tsing Hua University,http://www.cs.nthu.edu.tw/~cherung,FoJPzwUAAAAJ,711.0,15.0,2000.0
Jerry Chou,National Tsing Hua University,https://lsalab.cs.nthu.edu.tw/home,5lJoLIEAAAAJ,809.0,14.0,2003.0
Chaur-Chin Chen,National Tsing Hua University,http://www.cs.nthu.edu.tw/~cchen,,,,
Chin-Yu Huang,National Tsing Hua University,http://www.cs.nthu.edu.tw/~cyhuang,ZdsQftgAAAAJ,7447.0,43.0,1959.0
Ching-Te Chiu,National Tsing Hua University,http://www.cs.nthu.edu.tw/~ctchiu,,,,
