name,affiliation,homepage,scholar_id,citations,h-index,earliest_paper
Chee Yong Chan,National University of Singapore,https://www.comp.nus.edu.sg/~chancy,mcz6T78AAAAJ,6255.0,32.0,1992.0
Ee-Chien Chang,National University of Singapore,https://www.comp.nus.edu.sg/~changec,qZavFBcAAAAJ,4941.0,35.0,1993.0
Wei-Ngan Chin,National University of Singapore,https://www.comp.nus.edu.sg/~chinwn,DO2x-J0AAAAJ,3179.0,28.0,1983.0
Martin Henz,National University of Singapore,https://www.comp.nus.edu.sg/~henz,zle1cCkAAAAJ,1312.0,17.0,1991.0
Colin Keng-Yan Tan,National University of Singapore,https://www.comp.nus.edu.sg/~ctank/pubs.htm,BM9NMrcAAAAJ,1297.0,15.0,2004.0
Arnab Bhattacharyya,National University of Singapore,https://www.comp.nus.edu.sg/~arnab,eECXWqUAAAAJ,1205.0,19.0,2005.0
Damith C. Rajapakse,National University of Singapore,https://www.comp.nus.edu.sg/~damithch,uxSljw0AAAAJ,373.0,7.0,2005.0
Bruno Bodin,National University of Singapore,https://www.comp.nus.edu.sg/~bruno,yySZFKoAAAAJ,705.0,14.0,2012.0
Shengdong Zhao,National University of Singapore,http://www.shengdongzhao.com,VfdLjCcAAAAJ,3560.0,32.0,2001.0
Harold Soh,National University of Singapore,https://haroldsoh.com,lkgd1BsAAAAJ,1770.0,26.0,2005.0
Frank Stephan,National University of Singapore,https://www.comp.nus.edu.sg/~fstephan,m32l0cMAAAAJ,17112.0,66.0,1952.0
Michael Scott Brown,National University of Singapore,https://www.comp.nus.edu.sg/~brown,,,,
Ben Leong,National University of Singapore,https://www.comp.nus.edu.sg/~bleong,kLMAXGgAAAAJ,5341.0,23.0,1997.0
Bryan Hooi,National University of Singapore,https://www.comp.nus.edu.sg/~bhooi,ErEL3bgAAAAJ,1992.0,22.0,2013.0
Xiaokui Xiao,National University of Singapore,http://www.comp.nus.edu.sg/~xiaoxk,BpgsGX0AAAAJ,14336.0,57.0,2005.0
Y. C. Tay,National University of Singapore,http://www.math.nus.edu.sg/~mattyc,qAalyGsAAAAJ,16176.0,25.0,1999.0
Jialin Li,National University of Singapore,https://homes.cs.washington.edu/~lijl,,,,
Jin Song Dong,National University of Singapore,https://www.comp.nus.edu.sg/~dongjs,tuLa1AsAAAAJ,9832.0,47.0,1993.0
Mun Choon Chan,National University of Singapore,https://www.comp.nus.edu.sg/~chanmc,QVeujWMAAAAJ,5297.0,35.0,1995.0
See-Kiong Ng,National University of Singapore,http://datam.i2r.a-star.edu.sg/~skng,_wsommYAAAAJ,5549.0,35.0,1991.0
Tulika Mitra,National University of Singapore,http://www.comp.nus.edu.sg/~tulika,ajeWJ4UAAAAJ,9114.0,46.0,1997.0
Gary S. H. Tan,National University of Singapore,http://www.comp.nus.edu.sg/~gtan,3XI4ptoAAAAJ,1380.0,21.0,1990.0
Wynne Hsu,National University of Singapore,http://www.comp.nus.edu.sg/~whsu,ljyBjv8AAAAJ,17682.0,60.0,1992.0
Diptarka Chakraborty,National University of Singapore,https://sites.google.com/view/diptarka,luSyn1AAAAAJ,247.0,7.0,2014.0
Sun-Teck Tan,National University of Singapore,http://www.comp.nus.edu.sg/about/depts/cs/faculty,,,,
Anthony K. H. Tung,National University of Singapore,http://www.comp.nus.edu.sg/~atung,HPYVJacAAAAJ,10917.0,54.0,1998.0
Anand Bhojan,National University of Singapore,http://www.comp.nus.edu.sg/~bhojan,FDxsgEgAAAAJ,356.0,10.0,2004.0
Tat-Seng Chua,National University of Singapore,http://www.comp.nus.edu.sg/~chuats,Z9DWCBEAAAAJ,44341.0,99.0,1984.0
David Hsu,National University of Singapore,http://www.comp.nus.edu.sg/~dyhsu,LhnU_joAAAAJ,45998.0,29.0,1989.0
Seth Gilbert,National University of Singapore,http://www.comp.nus.edu.sg/~gilbert,bKN3mSsAAAAJ,6701.0,35.0,2002.0
Beng Chin Ooi,National University of Singapore,http://www.comp.nus.edu.sg/~ooibc,9560QjYAAAAJ,26144.0,85.0,1987.0
Bingsheng He,National University of Singapore,http://www.comp.nus.edu.sg/~hebs,RogYLKYAAAAJ,11229.0,54.0,2004.0
Bryan Kian Hsiang Low,National University of Singapore,http://www.comp.nus.edu.sg/~lowkh/research.html,2P-Q09UAAAAJ,2678.0,32.0,2002.0
Mohan S. Kankanhalli,National University of Singapore,http://www.comp.nus.edu.sg/~mohan,6Lx_eowAAAAJ,17175.0,65.0,1988.0
Brian Y. Lim,National University of Singapore,http://www.brianlim.net,_bza0AoAAAAJ,2712.0,18.0,2004.0
Wei Tsang Ooi,National University of Singapore,http://www.comp.nus.edu.sg/~ooiwt,nFP2ldkAAAAJ,2885.0,29.0,
Tiow Seng Tan,National University of Singapore,http://www.comp.nus.edu.sg/~tants,lQJFHbIAAAAJ,2358.0,19.0,1987.0
Yong Meng Teo,National University of Singapore,http://www.comp.nus.edu.sg/~teoym,,,,
Siau-Cheng Khoo,National University of Singapore,http://msba.nus.edu/our-schools/7-faculty,jjcAIkQAAAAJ,3468.0,28.0,1991.0
Abhik Roychoudhury,National University of Singapore,https://www.comp.nus.edu.sg/~abhik,UxFWSJIAAAAJ,9691.0,54.0,1995.0
Roland H. C. Yap,National University of Singapore,https://www.comp.nus.edu.sg/~ryap,lbeiP9wAAAAJ,4136.0,32.0,1987.0
Umang Mathur,National University of Singapore,https://www.comp.nus.edu.sg/~umathur,6rB8UjgAAAAJ,195.0,8.0,2014.0
Jonathan Scarlett,National University of Singapore,https://www.comp.nus.edu.sg/~scarlett,a4D08aQAAAAJ,2081.0,25.0,2011.0
Aquinas Hobor,National University of Singapore,https://www.comp.nus.edu.sg/~hobor,-SbM8VcAAAAJ,3501.0,18.0,2008.0
Divesh Aggarwal,National University of Singapore,https://sites.google.com/site/diveshhomepage,H6sfzfwAAAAJ,1249.0,17.0,2005.0
Hugh Anderson,National University of Singapore,https://www.comp.nus.edu.sg/~hugh,tReFhKEAAAAJ,82.0,4.0,2010.0
Li-Shiuan Peh,National University of Singapore,http://people.csail.mit.edu/peh,H-l2HbsAAAAJ,19753.0,62.0,1996.0
Weng-Fai Wong,National University of Singapore,https://www.comp.nus.edu.sg/~wongwf,SL1cTsIAAAAJ,4280.0,34.0,1986.0
Sanjay Jain,National University of Singapore,https://www.comp.nus.edu.sg/~sanjay,PYOH-4kAAAAJ,12366.0,40.0,1961.0
Djordje Jevdjic,National University of Singapore,https://www.comp.nus.edu.sg/~jevdjic,CPdp6OoAAAAJ,2176.0,14.0,2011.0
Roger Zimmermann,National University of Singapore,https://www.comp.nus.edu.sg/~rogerz/roger.html,IDREwXEAAAAJ,8352.0,49.0,1995.0
Kian-Lee Tan,National University of Singapore,https://www.comp.nus.edu.sg/~tankl,,,,
Richard T. B. Ma,National University of Singapore,https://www.comp.nus.edu.sg/~tbma,gdyYJz4AAAAJ,2883.0,27.0,2000.0
Reza Shokri,National University of Singapore,https://www.comp.nus.edu.sg/~reza,udlZXXcAAAAJ,9146.0,34.0,2009.0
Trevor E. Carlson,National University of Singapore,https://www.comp.nus.edu.sg/~tcarlson,bUK5DP4AAAAJ,2200.0,19.0,2008.0
Tsuhan Chen,National University of Singapore,http://www.nus.edu.sg/about/management/chen-tsuhan,syCMBRIAAAAJ,22830.0,71.0,1991.0
Gim Hee Lee,National University of Singapore,https://sites.google.com/site/gimheelee,7hNKrPsAAAAJ,5088.0,35.0,2005.0
Ilya Sergey,National University of Singapore,https://www.yale-nus.edu.sg/about/faculty/ilya-sergey,oCIeffUAAAAJ,2110.0,24.0,2009.0
Stéphane Bressan,National University of Singapore,https://www.comp.nus.edu.sg/~steph,,,,
Mong-Li Lee,National University of Singapore,https://www.comp.nus.edu.sg/~leeml,_xFTK8wAAAAJ,11814.0,58.0,1991.0
Tok Wang Ling,National University of Singapore,http://www.comp.nus.edu.sg/~lingtw,UftrQocAAAAJ,6648.0,39.0,1978.0
Olivier Danvy,National University of Singapore,https://www.yale-nus.edu.sg/faculty/olivier-danvy/,OZJGoVoAAAAJ,6773.0,42.0,1970.0
Limsoon Wong,National University of Singapore,https://www.comp.nus.edu.sg/~wongls,Inqu8SkAAAAJ,16742.0,62.0,1990.0
Terence Sim,National University of Singapore,https://www.comp.nus.edu.sg/~tsim,AdEsZwsAAAAJ,8395.0,34.0,1997.0
Rahul Jain,National University of Singapore,https://www.comp.nus.edu.sg/~rahul,sq1To-IAAAAJ,5184.0,38.0,1975.0
Haifeng Yu,National University of Singapore,https://www.comp.nus.edu.sg/~yuhf,IDxePZ0AAAAJ,4847.0,36.0,2002.0
Warut Suksompong,National University of Singapore,https://www.comp.nus.edu.sg/~warut,Tb1prqkAAAAJ,795.0,17.0,2014.0
Prateek Saxena,National University of Singapore,https://www.comp.nus.edu.sg/~prateeks,7YoDkzsAAAAJ,11468.0,43.0,2007.0
Min-Yen Kan,National University of Singapore,https://www.comp.nus.edu.sg/~kanmy,aNVcd3EAAAAJ,12554.0,57.0,1996.0
Ken Wing-Kin Sung,National University of Singapore,https://www.comp.nus.edu.sg/~ksung,KaCbE9MAAAAJ,29950.0,68.0,1993.0
Hon Wai Leong,National University of Singapore,https://www.comp.nus.edu.sg/~leonghw,FR0F_OsAAAAJ,2873.0,28.0,1983.0
Teck Khim Ng,National University of Singapore,https://www.comp.nus.edu.sg/~ngtk,,,,
Wee Sun Lee,National University of Singapore,https://www.comp.nus.edu.sg/~leews,8PCrLgwAAAAJ,15045.0,51.0,1995.0
