name,affiliation,homepage,scholar_id,citations,h-index,earliest_paper
Lunjin Lu,Oakland University,http://www.secs.oakland.edu/~l2lu,3a1NXCwAAAAJ,591.0,13.0,1992.0
Nilesh Patel,Oakland University,https://oakland.edu/secs/directory/patel,,,,
Erik M. Fredericks,Oakland University,https://oakland.edu/secs/directory/fredericks,wpdiGa0AAAAJ,591.0,11.0,2012.0
Huirong Fu,Oakland University,http://www.secs.oakland.edu/~fu,a-jXdzkAAAAJ,2472.0,24.0,2000.0
Hua Ming,Oakland University,http://www.secs.oakland.edu/~ming/publications,,,,
Guangzhi Qu,Oakland University,http://www.secs.oakland.edu/~gqu,Etw6t2kAAAAJ,1279.0,17.0,2001.0
Anyi Liu,Oakland University,http://secs.oakland.edu/~anyiliu,KfveCmIAAAAJ,758.0,9.0,2005.0
Dae-Kyoo Kim,Oakland University,https://oakland.edu/secs/directory/kim,IR_UyOgAAAAJ,2363.0,26.0,2002.0
Mohammad-Reza Siadat,Oakland University,https://oakland.edu/secs/directory/siadat,,,,
Khalid Mahmood,Oakland University,https://oakland.edu/secs/directory/mahmood,,,,
Ishwar K. Sethi,Oakland University,https://oakland.edu/secs/directory/sethi,IlOVZVwAAAAJ,7654.0,39.0,1976.0
Gautam B. Singh,Oakland University,http://secs.oakland.edu/~singh/Homepage/About_Me.html,,,,
Mehdi Bagherzadeh,Oakland University,https://oakland.edu/secs/directory/bagherzadeh,wIM3Ry4AAAAJ,429.0,12.0,2008.0
