name,affiliation,homepage,scholar_id,citations,h-index,earliest_paper
Shailey Minocha,Open University UK,http://stem.open.ac.uk/people/sm577,,,,
Anton Dil,Open University UK,http://stem.open.ac.uk/people/ad2472,,,,
Clem Herman,Open University UK,http://stem.open.ac.uk/people/ch2264,mGioHJoAAAAJ,581.0,12.0,1998.0
Chitra Balakrishna,Open University UK,http://stem.open.ac.uk/people/cb32322,VxuURT8AAAAJ,418.0,7.0,2007.0
Tony Hirst,Open University UK,http://stem.open.ac.uk/people/ajh59,,,,
Blaine A. Price,Open University UK,http://stem.open.ac.uk/people/bp5,txHHqGQAAAAJ,4209.0,30.0,1991.0
Bashar Ahmad Nuseibeh,Open University UK,http://stem.open.ac.uk/people/ban25,aUQ8O9gAAAAJ,17401.0,62.0,1991.0
Thein Than Tun,Open University UK,http://stem.open.ac.uk/people/ttt23-0,Sg6iTHsAAAAJ,1079.0,20.0,2001.0
Christopher Douce,Open University UK,http://stem.open.ac.uk/people/crd96,,,,
Adrian S. Poulton,Open University UK,http://stem.open.ac.uk/people/asp2,,,,
Andrea Zisman,Open University UK,http://stem.open.ac.uk/people/az2276,,,,
Dawei Song,Open University UK,http://stem.open.ac.uk/people/ds7946,PCTA8yAAAAAJ,4665.0,34.0,1999.0
Arosha K. Bandara,Open University UK,http://stem.open.ac.uk/people/akb235,eYWisq0AAAAJ,3147.0,29.0,2002.0
Allan Jones,Open University UK,http://stem.open.ac.uk/people/acj5#tab2,,,,
Yijun Yu,Open University UK,http://stem.open.ac.uk/people/yy66,E5Z63aUAAAAJ,5231.0,37.0,1998.0
Janet Hughes,Open University UK,http://stem.open.ac.uk/people/jh33848,4wx88JEAAAAJ,438.0,10.0,2002.0
Amel Bennaceur,Open University UK,http://stem.open.ac.uk/people/ab33792,rViNPo0AAAAJ,739.0,14.0,2006.0
Kam Cheung Patrick Wong,Open University UK,http://stem.open.ac.uk/people/kcpw2,Yn-euNYAAAAJ,687.0,14.0,1986.0
David Bowers,Open University UK,http://stem.open.ac.uk/people/dsb69,RG_i8q4AAAAJ,309.0,6.0,1978.0
Alistair Willis,Open University UK,http://stem.open.ac.uk/people/agw96,,,,
Mark Hall,Open University UK,http://stem.open.ac.uk/people/mmh352,4f_t86EAAAAJ,1312.0,18.0,2004.0
Jane Bromley,Open University UK,http://stem.open.ac.uk/people/jmb995,W2pvAfEAAAAJ,4156.0,13.0,1985.0
Magnus Ramage,Open University UK,http://stem.open.ac.uk/people/mr888,6mwF50AAAAAJ,1344.0,15.0,1981.0
Helen Donelan,Open University UK,http://stem.open.ac.uk/people/hmd83,WPUcbZgAAAAJ,788.0,11.0,1999.0
Helen C. Sharp,Open University UK,http://stem.open.ac.uk/people/hcs2,GyqJT1UAAAAJ,20825.0,50.0,1970.0
Robin C. Laney,Open University UK,http://stem.open.ac.uk/people/rcl46,10qds5IAAAAJ,2478.0,23.0,2002.0
Paul Piwek,Open University UK,http://stem.open.ac.uk/people/pp2464,F88czLMAAAAJ,1808.0,22.0,1994.0
Janet van der Linden,Open University UK,http://stem.open.ac.uk/people/jasdl2,DPwfEgYAAAAJ,1365.0,20.0,2001.0
Patricia Charlton,Open University UK,http://stem.open.ac.uk/people/pmc466,NI4tPNcAAAAJ,1408.0,18.0,1992.0
Daniel Gooch,Open University UK,http://stem.open.ac.uk/people/dg7692,pqnBZVYAAAAJ,1074.0,18.0,2009.0
Neil Smith,Open University UK,http://stem.open.ac.uk/people/ns938#tab2,,,,
Mark Slaymaker,Open University UK,http://stem.open.ac.uk/people/ms28868,,,,
Simon Holland,Open University UK,http://stem.open.ac.uk/people/sh2,3n1tkgwAAAAJ,18045.0,22.0,
Laurence Dooley,Open University UK,http://stem.open.ac.uk/people/lsd3#tab2,,,,
Soraya Kouadri Mostéfaoui,Open University UK,http://stem.open.ac.uk/people/skm234,,,,
Leonor Barroca,Open University UK,http://stem.open.ac.uk/people/lmb3,hQXBcDoAAAAJ,1444.0,19.0,1983.0
Karen Kear,Open University UK,http://stem.open.ac.uk/people/klk2,bZQZwDwAAAAJ,1715.0,20.0,1998.0
Kevin Waugh,Open University UK,http://stem.open.ac.uk/people/kgw9,l5ryKEkAAAAJ,1956.0,19.0,1990.0
Jon G. Hall,Open University UK,http://stem.open.ac.uk/people/jgh23,Zd3QZkaH0hYJ,2573.0,24.0,1958.0
Michel Wermelinger,Open University UK,http://stem.open.ac.uk/people/mw4687,ESvfE58AAAAJ,3961.0,32.0,1970.0
Lucia Rapanotti,Open University UK,http://stem.open.ac.uk/people/lr38,,,,
Clara Mancini,Open University UK,http://stem.open.ac.uk/people/cm476,,,,
