name,affiliation,homepage,scholar_id,citations,h-index,earliest_paper
Vasant G. Honavar,Pennsylvania State University,https://www.eecs.psu.edu/departments/directory-detail-g.aspx?q=vuh11/vuh14,pD_y458AAAAJ,17321.0,60.0,
Nan Zhang,Pennsylvania State University,https://faculty.ist.psu.edu/nan,TnytfhkAAAAJ,32903.0,84.0,1996.0
Rebecca J. Passonneau,Pennsylvania State University,https://www.eecs.psu.edu/departments/directory-detail-g.aspx?q=rjp49,jb9VOp0AAAAJ,8223.0,40.0,1987.0
Xiang Zhang,Pennsylvania State University,https://faculty.ist.psu.edu/xzz89,,,,
Huijuan Xu,Pennsylvania State University,https://www.eecs.psu.edu/departments/directory-detail-g.aspx?q=hkx5063,eml8HfQAAAAJ,3238.0,15.0,2012.0
Chita R. Das,Pennsylvania State University,http://www.cse.psu.edu/hpcl/people.html,2kXsgI4AAAAJ,13701.0,59.0,1961.0
Xiaolei Huang,Pennsylvania State University,https://faculty.ist.psu.edu/suh972,iTtzc1UAAAAJ,14461.0,41.0,2002.0
Webb C. Miller,Pennsylvania State University,http://bio.psu.edu/directory/wcm2,k9T3V7EAAAAJ,246442.0,100.0,
Shomir Wilson,Pennsylvania State University,https://shomir.net,0GHjBSUAAAAJ,1751.0,20.0,2007.0
Swaroop Ghosh,Pennsylvania State University,http://personal.psu.edu/~szg212,RJ1JOgMAAAAJ,2873.0,27.0,2003.0
Piotr Berman,Pennsylvania State University,https://profiles.psu.edu/profiles/display/112545,,,,
Abutalib Aghayev,Pennsylvania State University,https://agayev.github.io,Kfb6IZ4AAAAJ,377.0,8.0,2013.0
Rui Zhang,Pennsylvania State University,https://ryanzhumich.github.io,8GCLiUwAAAAJ,1721.0,15.0,2016.0
Aasheesh Kolli,Pennsylvania State University,https://aasheeshkolli.com,UcfzOQYAAAAJ,1435.0,17.0,2005.0
Suhang Wang,Pennsylvania State University,https://faculty.ist.psu.edu/szw494,cdT_WMMAAAAJ,9572.0,42.0,2013.0
Timothy Zhu,Pennsylvania State University,https://sites.psu.edu/timothyz,EhCg54EAAAAJ,773.0,10.0,2012.0
C. Lee Giles,Pennsylvania State University,https://clgiles.ist.psu.edu,sAkg9T8AAAAJ,53475.0,111.0,
Dan Kifer,Pennsylvania State University,http://www.cse.psu.edu/~duk17,7PQN6r4AAAAJ,2735.0,24.0,1989.0
Zhenhui Li,Pennsylvania State University,https://faculty.ist.psu.edu/jessieli,r0nnyGYAAAAJ,7587.0,41.0,2002.0
Hadi Hosseini,Pennsylvania State University,https://faculty.ist.psu.edu/hadi,bnvEtsMAAAAJ,340.0,10.0,2009.0
Zihan Zhou,Pennsylvania State University,https://faculty.ist.psu.edu/zzhou/Home.html,vEcgp3AAAAAJ,3720.0,23.0,2008.0
Debarati Das,Pennsylvania State University,https://www.eecs.psu.edu/departments/directory-detail-g.aspx?q=dxd5606,TLmblv0AAAAJ,92.0,3.0,2017.0
Arzoo Katiyar,Pennsylvania State University,https://sites.google.com/site/arzook99/home,a20VZPQAAAAJ,627.0,7.0,2013.0
Paul Medvedev,Pennsylvania State University,http://bmb.psu.edu/directory/pzm11,Gwd6p_8AAAAJ,4235.0,27.0,2001.0
Thomas F. La Porta,Pennsylvania State University,http://www.cse.psu.edu/~tfl12,t-FPWNgAAAAJ,17841.0,65.0,1991.0
Jack M. Carroll,Pennsylvania State University,https://jcarroll.ist.psu.edu,7Mg8JZMAAAAJ,49214.0,99.0,
Dong Xie,Pennsylvania State University,https://sites.psu.edu/dongx,qha_hPIAAAAJ,530.0,9.0,2016.0
Jinghui Chen,Pennsylvania State University,https://jinghuichen.github.io,mKia7Y4AAAAJ,1156.0,14.0,2015.0
Jack Sampson,Pennsylvania State University,http://www.cse.psu.edu/~jms1257,fSQCT0YAAAAJ,3794.0,29.0,2004.0
Dinghao Wu,Pennsylvania State University,https://faculty.ist.psu.edu/wu,Vxaxv10AAAAJ,3928.0,35.0,1995.0
Danfeng Zhang,Pennsylvania State University,http://www.cse.psu.edu/~dbz5017,rUZN-zQAAAAJ,1843.0,18.0,2007.0
Mingfu Shao,Pennsylvania State University,https://sites.psu.edu/mxs2589/about-pi,m1IeAdcAAAAJ,365.0,11.0,2011.0
Ting He,Pennsylvania State University,https://www.eecs.psu.edu/departments/directory-detail-g.aspx?q=tzh58,g9yS74gAAAAJ,5318.0,34.0,2004.0
Syed Rafiul Hussain,Pennsylvania State University,https://syed-rafiul-hussain.github.io,mgjniiwAAAAJ,695.0,12.0,2007.0
Hong Hu,Pennsylvania State University,https://huhong789.github.io,3aaJwkoAAAAJ,970.0,12.0,2013.0
Martin Fürer,Pennsylvania State University,http://www.cse.psu.edu/~fhs,Pf49QrwAAAAJ,3176.0,23.0,1976.0
Antonio Blanca,Pennsylvania State University,http://www.cse.psu.edu/~azb1015,tl6ib-MAAAAJ,226.0,9.0,2011.0
Anand Sivasubramaniam,Pennsylvania State University,http://www.cse.psu.edu/~axs53,JWXlepgAAAAJ,15199.0,64.0,1990.0
Mahmut T. Kandemir,Pennsylvania State University,http://www.cse.psu.edu/~mtk2,j67v24EAAAAJ,25460.0,75.0,1994.0
Kamesh Madduri,Pennsylvania State University,http://www.cse.psu.edu/~kxm85,bYI7VMwAAAAJ,4287.0,34.0,2004.0
Patrick D. McDaniel,Pennsylvania State University,http://www.patrickmcdaniel.org,AMGqrI0AAAAJ,42306.0,79.0,1976.0
Guohong Cao,Pennsylvania State University,http://www.cse.psu.edu/~gxc27,zD5ZfacAAAAJ,25033.0,82.0,1997.0
George Kesidis,Pennsylvania State University,http://www.cse.psu.edu/~gik2,g-WedwYAAAAJ,8005.0,44.0,1990.0
John Hannan,Pennsylvania State University,http://www.eecs.psu.edu/departments/faculty-staff-list.aspx,HAfOGdsAAAAJ,13807.0,46.0,1971.0
Lee D. Coraor,Pennsylvania State University,http://www.eecs.psu.edu/departments/faculty-staff-list.aspx,,,,
Linhai Song,Pennsylvania State University,https://ist.psu.edu/directory/faculty/lus401,RVQMz2sAAAAJ,1399.0,14.0,2009.0
John J. Metzner,Pennsylvania State University,https://ed.psu.edu/directory,,,,
Peng Liu,Pennsylvania State University,https://s2.ist.psu.edu/pliu,qVOHi9cAAAAJ,12221.0,54.0,1978.0
Xinyu Xing,Pennsylvania State University,https://ist.psu.edu/directory/faculty/uxx16,,,,
Mary Jane Irwin,Pennsylvania State University,http://www.cse.psu.edu/~mji,4Mj-BjwAAAAJ,18526.0,69.0,
Ting Wang,Pennsylvania State University,https://ist.psu.edu/directory/tbw5359,cwcBTegAAAAJ,3327.0,27.0,2006.0
Gang Tan,Pennsylvania State University,http://www.cse.psu.edu/~gxt29,JP0dqTEAAAAJ,3907.0,33.0,2000.0
Trent Jaeger,Pennsylvania State University,http://www.cse.psu.edu/~trj1,,,,
Bhuvan Urgaonkar,Pennsylvania State University,http://www.cse.psu.edu/~buu1,ZoI6hPwAAAAJ,8613.0,39.0,2001.0
Mehrdad Mahdavi,Pennsylvania State University,http://www.cse.psu.edu/~mzm616,HzxnwocAAAAJ,6698.0,31.0,2007.0
Sean Hallgren,Pennsylvania State University,http://www.cse.psu.edu/~sjh26,,,,
Chunhao Wang,Pennsylvania State University,https://www.chunhaowang.com,SvSSCbkAAAAJ,246.0,7.0,2010.0
Robert T. Collins,Pennsylvania State University,http://www.cse.psu.edu/~rtc12,2Bc3UN4AAAAJ,17199.0,52.0,1986.0
Narayanan Vijaykrishnan,Pennsylvania State University,http://www.cse.psu.edu/~vxn9,UyeTBeoAAAAJ,26507.0,83.0,1983.0
Wang-Chien Lee,Pennsylvania State University,http://www.cse.psu.edu/~wul2,9OdHL5wAAAAJ,17658.0,71.0,1992.0
Dongwon Lee,Pennsylvania State University,http://pike.psu.edu/dongwon,MzL-WnEAAAAJ,9445.0,51.0,1983.0
Mahanth Gowda,Pennsylvania State University,http://www.cse.psu.edu/~mkg31,R-fOpm4AAAAJ,581.0,11.0,2009.0
Yanxi Liu,Pennsylvania State University,http://www.cse.psu.edu/~yul11,qYcG-q0AAAAJ,8727.0,47.0,1985.0
