name,affiliation,homepage,scholar_id,citations,h-index,earliest_paper
Barbara Pernici,Politecnico di Milano,http://home.deib.polimi.it/pernici,r-f9TQEAAAAJ,12367.0,51.0,1981.0
Matteo Pradella,Politecnico di Milano,http://home.deib.polimi.it/pradella,JXmHbfoAAAAJ,1605.0,24.0,1998.0
Nicoletta Di Blas,Politecnico di Milano,http://home.deib.polimi.it/diblas,Qa9fmQsAAAAJ,1730.0,22.0,2001.0
Matteo G. Rossi,Politecnico di Milano,http://home.deib.polimi.it/rossi,X6wFirUAAAAJ,1849.0,26.0,2005.0
Manuel Roveri,Politecnico di Milano,http://home.deib.polimi.it/roveri,j2NbakMAAAAJ,3666.0,27.0,2003.0
Marcello Restelli,Politecnico di Milano,http://home.deib.polimi.it/restelli,xdgxRiEAAAAJ,3314.0,30.0,1993.0
Francesco Musumeci,Politecnico di Milano,http://home.deib.polimi.it/musumeci,RsM0KB0AAAAJ,2141.0,23.0,2010.0
Alessandro E. C. Redondi,Politecnico di Milano,http://home.deib.polimi.it/redondi,8ka5NmUAAAAJ,1628.0,22.0,2009.0
Luca Mottola,Politecnico di Milano,http://home.deib.polimi.it/mottola/index.html,VkFc88EAAAAJ,6587.0,41.0,2004.0
Mauro Negri,Politecnico di Milano,http://home.deib.polimi.it/negri,tcsOBwwAAAAJ,11647.0,56.0,1964.0
Giuseppe Pelagatti,Politecnico di Milano,http://home.deib.polimi.it/pelagatt,,,,
Achille Pattavina,Politecnico di Milano,http://home.deib.polimi.it/pattavina,,,,
Stefano Zanero,Politecnico di Milano,http://home.deib.polimi.it/zanero,O2ndaqAAAAAJ,4624.0,34.0,2002.0
Nicola Gatti,Politecnico di Milano,http://home.deib.polimi.it/ngatti,j-HrYREAAAAJ,3472.0,31.0,1988.0
Angelo C. Morzenti,Politecnico di Milano,http://home.deib.polimi.it/morzenti,,,,
Luca O. Breviglieri,Politecnico di Milano,https://www.deib.polimi.it/eng/people/details/110272,,,,
Gerardo Pelosi,Politecnico di Milano,http://home.deib.polimi.it/pelosi,Rlp-N_gAAAAJ,2529.0,28.0,2005.0
Antonio R. Miele,Politecnico di Milano,http://home.deib.polimi.it/miele,CPGr-IUAAAAJ,1536.0,21.0,2004.0
Vittorio Zaccaria,Politecnico di Milano,http://home.deib.polimi.it/zaccaria,SUflUEUAAAAJ,2387.0,26.0,2000.0
Elisa Quintarelli,Politecnico di Milano,http://home.deib.polimi.it/quintare,QpbUFRsAAAAJ,2005.0,22.0,1998.0
Carlo Brandolese,Politecnico di Milano,http://home.deib.polimi.it/brandolese,NyplYssAAAAJ,948.0,17.0,1995.0
Florian Daniel,Politecnico di Milano,http://home.deib.polimi.it/daniel,wF6n9-0AAAAJ,88160.0,73.0,1993.0
Emanuele Della Valle,Politecnico di Milano,http://home.deib.polimi.it/dellavalle,56lK2dUAAAAJ,5009.0,35.0,
Andrea Bonarini,Politecnico di Milano,http://home.deib.polimi.it/bonarini,WgxMfwMAAAAJ,4131.0,35.0,1985.0
Alessandro Campi,Politecnico di Milano,http://home.deib.polimi.it/campi,,,,
Giacomo Boracchi,Politecnico di Milano,http://home.deib.polimi.it/boracchi,lBa_mnYAAAAJ,2399.0,25.0,2007.0
Flaminio Borgonovo,Politecnico di Milano,http://home.deib.polimi.it/borgonov,,,,
Daniele Braga,Politecnico di Milano,http://home.deib.polimi.it/braga,yIEvxuoAAAAJ,1489.0,21.0,2000.0
Cristiana Bolchini,Politecnico di Milano,http://home.deib.polimi.it/bolchini,H-B2cGkAAAAJ,3450.0,30.0,1993.0
Stefano Bregni,Politecnico di Milano,http://home.deib.polimi.it/bregni,,,,
Francesco Bruschi,Politecnico di Milano,http://home.deib.polimi.it/bruschi,,,,
Vincenzo Caglioti,Politecnico di Milano,http://home.deib.polimi.it/caglioti,,,,
Marco Colombetti,Politecnico di Milano,http://home.deib.polimi.it/colombet,piEqyCsAAAAJ,4314.0,32.0,1976.0
Antonio Capone,Politecnico di Milano,http://home.deib.polimi.it/capone,KS1VFqgAAAAJ,18791.0,70.0,1976.0
Cinzia Cappiello,Politecnico di Milano,http://home.deib.polimi.it/cappiell,,,,
Stefano Ceri,Politecnico di Milano,http://home.deib.polimi.it/ceri,aiulJmIAAAAJ,32946.0,80.0,
Matteo Cesana,Politecnico di Milano,http://home.deib.polimi.it/cesana,bdR2l-sAAAAJ,5039.0,35.0,2001.0
Sara Comai,Politecnico di Milano,http://home.deib.polimi.it/comai,,,,
Paolo Cremonesi,Politecnico di Milano,http://home.deib.polimi.it/cremonesi,dTSOPCMAAAAJ,6126.0,35.0,1993.0
Gianpolo Cugola,Politecnico di Milano,http://home.deib.polimi.it/cugola,bLmEkPsAAAAJ,6628.0,36.0,1995.0
Luciano Baresi,Politecnico di Milano,http://home.deib.polimi.it/baresi,xvzzSFgAAAAJ,11257.0,54.0,1993.0
Luca Barletta,Politecnico di Milano,http://home.deib.polimi.it/barletta,vu_mjR0AAAAJ,1165.0,19.0,2008.0
Giuseppe Pozzi,Politecnico di Milano,http://home.deib.polimi.it/pozzi,J50uueMAAAAJ,3116.0,23.0,1981.0
Pierluigi Plebani,Politecnico di Milano,http://home.deib.polimi.it/plebani,FUdUWB4AAAAJ,2456.0,23.0,2001.0
Chiara Francalanci,Politecnico di Milano,http://home.deib.polimi.it/francala,,,,
Dino Mandrioli,Politecnico di Milano,http://home.deib.polimi.it/mandriol,,,,
Danilo Ardagna,Politecnico di Milano,http://home.deib.polimi.it/ardagna,2S6m-oYAAAAJ,6174.0,35.0,
Alfonso Fuggetta,Politecnico di Milano,http://home.deib.polimi.it/fuggetta,ZJXTUa8AAAAJ,9188.0,34.0,1985.0
Francesco Amigoni,Politecnico di Milano,http://home.deib.polimi.it/amigoni,qsOtJtsAAAAJ,3731.0,31.0,1987.0
Marco Brambilla,Politecnico di Milano,http://home.deib.polimi.it/mbrambil,YQV_ChkAAAAJ,7151.0,39.0,2002.0
Maristella Matera,Politecnico di Milano,http://home.deib.polimi.it/matera,NScXYC0AAAAJ,5264.0,34.0,1995.0
Marco Masseroli,Politecnico di Milano,http://home.deib.polimi.it/masseroli,IDkIyTcAAAAJ,3059.0,26.0,1990.0
Davide Martinenghi,Politecnico di Milano,http://home.deib.polimi.it/martinen,E0QQoIMAAAAJ,1663.0,25.0,1998.0
Piero Fraternali,Politecnico di Milano,http://home.deib.polimi.it/fraterna,IhFm8bIAAAAJ,10629.0,45.0,1989.0
Alessandro Margara,Politecnico di Milano,http://home.deib.polimi.it/margara,evbpVlMAAAAJ,3137.0,25.0,2009.0
Guido A. Maier,Politecnico di Milano,http://home.deib.polimi.it/maier,PLEkIaAAAAAJ,5037.0,36.0,1975.0
Paolo Giacomazzi,Politecnico di Milano,http://home.deib.polimi.it/giacomaz,,,,
Sam J. Guinea Montalvo,Politecnico di Milano,http://home.deib.polimi.it/guinea,lTO9PK4AAAAJ,3301.0,29.0,2004.0
Marco Gribaudo,Politecnico di Milano,http://home.deib.polimi.it/gribaudo,ZlnvxioAAAAJ,228.0,8.0,2000.0
Gianluca Palermo,Politecnico di Milano,http://home.deib.polimi.it/gpalermo,A5GSaaoAAAAJ,6006.0,42.0,1975.0
Maria Grazia Fugini,Politecnico di Milano,http://fugini.faculty.polimi.it/?lang=en,xiSJFg4AAAAJ,3877.0,28.0,1983.0
Franca Garzotto,Politecnico di Milano,http://home.deib.polimi.it/garzotto,P6uIlrAAAAAJ,6858.0,38.0,1985.0
Daniele Loiacono,Politecnico di Milano,http://home.deib.polimi.it/loiacono,zBT0nh0AAAAJ,2127.0,24.0,2004.0
Matteo Matteucci,Politecnico di Milano,http://home.deib.polimi.it/matteucc,PdbEg5YAAAAJ,6562.0,41.0,1999.0
Cristina Silvano,Politecnico di Milano,http://home.deib.polimi.it/silvano,ykSqGOMAAAAJ,4730.0,40.0,1991.0
Pier Luca Lanzi,Politecnico di Milano,http://home.deib.polimi.it/lanzi,APNDyx0AAAAJ,7797.0,50.0,1970.0
