name,affiliation,homepage,scholar_id,citations,h-index,earliest_paper
Daniel Jiménez-González,Polytechnic University of Catalonia,http://personals.ac.upc.edu/djimenez,CGH1KpQAAAAJ,990.0,17.0,1999.0
Albert Cabellos,Polytechnic University of Catalonia,http://personals.ac.upc.edu/acabello,G5f_Mp8AAAAJ,4815.0,37.0,2002.0
Joan-Manuel Parcerisa,Polytechnic University of Catalonia,http://personals.ac.upc.edu/jmanel,S6AXVlAAAAAJ,1023.0,15.0,1996.0
Antonio Juan Hormigo,Polytechnic University of Catalonia,http://www.upc.edu/?set_language=en,,,,
Eva Rodriguez,Polytechnic University of Catalonia,http://www.crcsi.com.au/about/our-people/eva-rodriguez-rodriguez,6-ZbUAoAAAAJ,1110.0,17.0,1970.0
Miguel Valero-García,Polytechnic University of Catalonia,http://epsc.upc.edu/projectes/usuaris/miguel.valero,,,,
Maria Luisa Gil Gomez,Polytechnic University of Catalonia,http://directori.upc.edu/directori/dadesPersona.jsp?id=1000177,,,,
Rubén Tous,Polytechnic University of Catalonia,http://personals.ac.upc.edu/rtous,eSkDKsAAAAAJ,650.0,13.0,2002.0
Manel Medina,Polytechnic University of Catalonia,http://personals.ac.upc.edu/medina,,,,
Jordi Garcia Almiñana,Polytechnic University of Catalonia,http://personals.ac.upc.edu/jordig,S76yu0YAAAAJ,16989.0,51.0,1992.0
Jordi Garcia,Polytechnic University of Catalonia,https://www.facebook.com/public/Jordi-Garcia/school/Polytechnic-University-of-Catalonia-109077209117931,S76yu0YAAAAJ,16989.0,51.0,1992.0
Jordi Domingo-Pascual,Polytechnic University of Catalonia,http://personals.ac.upc.edu/jordid,sPD_L5YAAAAJ,1647.0,19.0,1988.0
Josep Ramon Morros,Polytechnic University of Catalonia,https://imatge.upc.edu/web/people/josep-ramon-morros,Eh5V620AAAAJ,695.0,13.0,1995.0
Llorenç Cerdà,Polytechnic University of Catalonia,http://dsg.ac.upc.edu/llorenc,LwfxWokAAAAJ,1274.0,21.0,1994.0
Pablo Bofill Soliguer,Polytechnic University of Catalonia,http://www.vogue.com/13402912/melissa-losada-pablo-bofill-dhuart-wedding-cadaques-spain,,,,
Marta Jiménez,Polytechnic University of Catalonia,https://www.facebook.com/public/Marta-Jim%C3%A9nez-Delgado,7Ik08XAAAAAJ,454.0,10.0,1986.0
Manel Guerrero Zapata,Polytechnic University of Catalonia,http://personals.ac.upc.edu/guerrero/my_cv.html,eFe60BoAAAAJ,3569.0,18.0,1999.0
Cristina Barrado,Polytechnic University of Catalonia,http://personals.ac.upc.edu/cristina,iMdLjBgAAAAJ,1481.0,18.0,1993.0
Philippe Salembier,Polytechnic University of Catalonia,https://imatge.upc.edu/web/people/philippe-salembier,TUPVuG0AAAAJ,10663.0,38.0,1988.0
