name,affiliation,homepage,scholar_id,citations,h-index,earliest_paper
Clive G. Parini,Queen Mary University of London,http://eecs.qmul.ac.uk/profiles/pariniclive.html,ni5SynYAAAAJ,10378.0,45.0,1974.0
Anne S. Hsu,Queen Mary University of London,http://www.eecs.qmul.ac.uk/~ahsu,2dCb2U0AAAAJ,2474.0,22.0,2001.0
Peter Cowling,Queen Mary University of London,http://eecs.qmul.ac.uk/profiles/cowlingpeter.html,ijFwdzsAAAAJ,9630.0,44.0,1995.0
Dan Stowell,Queen Mary University of London,http://c4dm.eecs.qmul.ac.uk/people/dans.html,BXu3q_wAAAAJ,3147.0,25.0,2006.0
Charalampos Saitis,Queen Mary University of London,http://eecs.qmul.ac.uk/profiles/saitischaralampos.html,XnHVRqYAAAAJ,569.0,15.0,2008.0
Atm Alam,Queen Mary University of London,http://eecs.qmul.ac.uk/profiles/alamatm.html,oQtDPoYAAAAJ,235.0,8.0,2007.0
Shalom Lappin,Queen Mary University of London,http://eecs.qmul.ac.uk/profiles/lappinshalom.html,aE66FAYAAAAJ,5960.0,36.0,1976.0
Gianni Antichi,Queen Mary University of London,http://eecs.qmul.ac.uk/profiles/antichigianni.html,3VedTqcAAAAJ,1723.0,23.0,2007.0
Pat Healey,Queen Mary University of London,http://www.eecs.qmul.ac.uk/profiles/healeypat.html,5cjOswYAAAAJ,4009.0,33.0,1991.0
Nick Bryan-Kinns,Queen Mary University of London,http://www.eecs.qmul.ac.uk/~nickbk,YK0-nYAAAAAJ,2537.0,29.0,1999.0
Steve Uhlig,Queen Mary University of London,http://www.eecs.qmul.ac.uk/~steve,AdXZCToAAAAJ,12706.0,45.0,2000.0
Diego Perez Liebana,Queen Mary University of London,http://www.diego-perez.net,bMLr-zgAAAAJ,5708.0,30.0,2008.0
Huy Phan,Queen Mary University of London,https://pquochuy.github.io,RegoACcAAAAJ,1959.0,23.0,2009.0
Simon Colton,Queen Mary University of London,http://eecs.qmul.ac.uk/profiles/coltonsimon.html,L6GPVfcAAAAJ,8192.0,37.0,1997.0
Simon M. Lucas,Queen Mary University of London,http://csee.essex.ac.uk/acstaff/sml,Jz8DDVAAAAAJ,10860.0,46.0,1987.0
Marcus Pearce,Queen Mary University of London,http://webprojects.eecs.qmul.ac.uk/marcusp,UImWMekAAAAJ,5402.0,39.0,2000.0
Massimo Poesio,Queen Mary University of London,http://gameai.eecs.qmul.ac.uk/team_member/massimo-poesio,89aa1X0AAAAJ,12118.0,56.0,1987.0
Mathieu Barthet,Queen Mary University of London,http://www.eecs.qmul.ac.uk/profiles/barthetmathieu.html,dhK-pgYAAAAJ,1363.0,20.0,2005.0
Simon Dixon,Queen Mary University of London,http://www.eecs.qmul.ac.uk/~simond,9GvyqXEAAAAJ,10184.0,50.0,1990.0
György Fazekas,Queen Mary University of London,http://www.eecs.qmul.ac.uk/~gyorgyf,ucCX0ecAAAAJ,3163.0,25.0,2007.0
Shaogang Gong,Queen Mary University of London,http://www.eecs.qmul.ac.uk/~sgg,Nhi0I8cAAAAJ,38549.0,100.0,1988.0
Andrew PcPherson,Queen Mary University of London,http://www.eecs.qmul.ac.uk/~andrewm,9Je-3c4AAAAJ,1895.0,25.0,2009.0
Elaine Chew,Queen Mary University of London,http://www.eecs.qmul.ac.uk/~eniale,,,,
Xiaodong Chen,Queen Mary University of London,http://www.eecs.qmul.ac.uk/~dong,sL0-bZ4AAAAJ,6817.0,36.0,
Ioannis Patras,Queen Mary University of London,http://www.eecs.qmul.ac.uk/~ioannisp,OBYLxRkAAAAJ,9685.0,40.0,1996.0
Ebroul Izquierdo,Queen Mary University of London,http://mmv.eecs.qmul.ac.uk/Ebroul,cyiYJhMAAAAJ,6284.0,39.0,1992.0
Hao Yang,Queen Mary University of London,http://www.eecs.qmul.ac.uk/~yang,W6hvCOAAAAAJ,17413.0,64.0,1997.0
Emmanouil Benetos,Queen Mary University of London,http://www.eecs.qmul.ac.uk/~emmanouilb,Wg49oI4AAAAJ,4850.0,34.0,2005.0
Miles E. Hansard,Queen Mary University of London,https://www.eecs.qmul.ac.uk/~milesh,u72ezG8AAAAJ,1256.0,15.0,1998.0
Gareth Tyson,Queen Mary University of London,http://www.eecs.qmul.ac.uk/~tysong,91hmRA0AAAAJ,3568.0,31.0,2006.0
Matthew Purver,Queen Mary University of London,http://www.eecs.qmul.ac.uk/~mpurver,RlNm1d4AAAAJ,5480.0,40.0,2000.0
Martin Neil,Queen Mary University of London,http://www.eecs.qmul.ac.uk/~martin,NMtxaUIAAAAJ,9471.0,44.0,1990.0
Norman E. Fenton,Queen Mary University of London,https://www.eecs.qmul.ac.uk/~norman,0APV5ScAAAAJ,23094.0,62.0,1981.0
Mark B. Sandler,Queen Mary University of London,http://www.eecs.qmul.ac.uk/people/view/3114/prof-mark-sandler,W-gexv0AAAAJ,14561.0,52.0,1983.0
Andrea Cavallaro,Queen Mary University of London,http://www.eecs.qmul.ac.uk/~andrea,KZmcljoAAAAJ,10787.0,52.0,1995.0
Josh Reiss,Queen Mary University of London,http://www.eecs.qmul.ac.uk/~josh,fVlS_EgAAAAJ,5179.0,37.0,1997.0
