name,affiliation,homepage,scholar_id,citations,h-index,earliest_paper
Troy Bruggemann,Queensland University of Technology,https://research.qut.edu.au/qcr/people/troy-bruggemann,WcumWs8AAAAJ,348.0,9.0,
Thierry Peynot,Queensland University of Technology,https://research.qut.edu.au/qcr/people/thierry-peynot,S47ydIgAAAAJ,1072.0,17.0,2003.0
Chris Lehnert,Queensland University of Technology,https://research.qut.edu.au/qcr/Our%20people/chris-lehnert,PN4ITysAAAAJ,871.0,14.0,2010.0
Jonathan M. Roberts,Queensland University of Technology,https://research.qut.edu.au/qcr/people/jonathan-roberts,1e_R-xoAAAAJ,4070.0,31.0,1991.0
Matthew Dunbabin,Queensland University of Technology,https://research.qut.edu.au/qcr/people/matthew-dunbabin,qbJA1hYAAAAJ,4520.0,30.0,2000.0
Christina Kazantzidou,Queensland University of Technology,https://research.qut.edu.au/qcr/Our%20people/christina-kazantzidou,,,,
Jason Ford,Queensland University of Technology,https://research.qut.edu.au/qcr/people/jason-ford,,,,
Michael J. Milford,Queensland University of Technology,https://research.qut.edu.au/qcr/people/michael-milford,TDSmCKgAAAAJ,10140.0,42.0,2002.0
Niko Sünderhauf,Queensland University of Technology,https://research.qut.edu.au/qcr/people/niko-suenderhauf,WnKjfFEAAAAJ,7523.0,39.0,2005.0
Luis Mejías,Queensland University of Technology,https://research.qut.edu.au/qcr/people/luis-mejias-alvarez,MDWCSOQAAAAJ,2809.0,30.0,2005.0
Peter Corke,Queensland University of Technology,https://research.qut.edu.au/qcr/people/peter-corke,wnePPc4AAAAJ,33796.0,80.0,1989.0
Frederic Maire,Queensland University of Technology,https://research.qut.edu.au/qcr/Our%20people/frederic-maire,YUzVddsAAAAJ,1764.0,22.0,
Aaron McFadyen,Queensland University of Technology,https://research.qut.edu.au/qcr/people/aaron-mcfadyen,vXjZnIkAAAAJ,524.0,14.0,2012.0
Luis Felipe Gonzalez,Queensland University of Technology,https://research.qut.edu.au/qcr/people/felipe-gonzalez,c_5ewxYAAAAJ,4473.0,35.0,1976.0
Tobias Fischer,Queensland University of Technology,https://research.qut.edu.au/qcr/people/tobias-fischer,eq46ylAAAAAJ,1561.0,14.0,2014.0
Will Browne,Queensland University of Technology,https://research.qut.edu.au/qcr/people/will-browne,syWBlr8AAAAJ,4754.0,26.0,1992.0
Jasmin James,Queensland University of Technology,https://research.qut.edu.au/qcr/people/jasmin-martin,j4cWEVIAAAAJ,69.0,4.0,2015.0
Feras Dayoub,Queensland University of Technology,https://research.qut.edu.au/qcr/Our%20people/feras-dayoub,Lzs8CuEAAAAJ,3143.0,21.0,2008.0
Felipe Gonzalez,Queensland University of Technology,https://research.qut.edu.au/qcr/Our%20people/felipe-gonzalez,c_5ewxYAAAAJ,4473.0,35.0,1976.0
