name,affiliation,homepage,scholar_id,citations,h-index,earliest_paper
Michael J. Wozny,Rensselaer Polytechnic Institute,https://ecse.rpi.edu/index.php/15-profile/118-profile-wozny-michael-j,,,,
Sergei Nirenburg,Rensselaer Polytechnic Institute,http://www.cogsci.rpi.edu/pl/faculty-staff-cogsci/nirenburg,08W2rQIAAAAJ,7914.0,43.0,1980.0
W. Randolph Franklin,Rensselaer Polytechnic Institute,https://www.ecse.rpi.edu/Homepages/wrf/pmwiki,YFX36Q8AAAAJ,2810.0,28.0,1973.0
David Isaacson,Rensselaer Polytechnic Institute,http://www.rpi.edu/~isaacd,f14WDhsAAAAJ,10380.0,47.0,1976.0
Ana L. Milanova,Rensselaer Polytechnic Institute,http://www.cs.rpi.edu/~milanova,PsGxHG0AAAAJ,2107.0,20.0,2000.0
Wayne D. Gray,Rensselaer Polytechnic Institute,http://www.rpi.edu/~grayw,,,,
James A. Hendler,Rensselaer Polytechnic Institute,http://www.cs.rpi.edu/~hendler,JNPbTdIAAAAJ,69929.0,92.0,1978.0
Fran Berman,Rensselaer Polytechnic Institute,http://www.cs.rpi.edu/~bermaf,HzqQ2wYAAAAJ,10002.0,43.0,1977.0
David L. Spooner,Rensselaer Polytechnic Institute,http://faculty.rpi.edu/node/34623,,,,
Sibel Adali,Rensselaer Polytechnic Institute,http://www.cs.rpi.edu/~sibel/SibelAdali/Sibel_Adali.html,Jk3gxBEAAAAJ,4031.0,28.0,1984.0
Chris Bystroff,Rensselaer Polytechnic Institute,http://www.bioinfo.rpi.edu/bystrc,ZHK-ewYAAAAJ,4573.0,33.0,1989.0
Malik Magdon-Ismail,Rensselaer Polytechnic Institute,http://www.cs.rpi.edu/~magdon,,,,
Ron Eglash,Rensselaer Polytechnic Institute,http://www.rpi.edu/~eglash/eglash.htm,gNUtbNUAAAAJ,3511.0,27.0,1984.0
Stacy Patterson,Rensselaer Polytechnic Institute,http://www.cs.rpi.edu/~pattes3,7b_ipvgAAAAJ,1807.0,19.0,2005.0
Mohammed J. Zaki,Rensselaer Polytechnic Institute,http://www.cs.rpi.edu/~zaki,UmwJklEAAAAJ,31354.0,75.0,
Carlos Varela,Rensselaer Polytechnic Institute,http://www.cs.rpi.edu/~cvarela,HrYB6B8AAAAJ,4085.0,38.0,1998.0
Mukkai Krishnamoorthy,Rensselaer Polytechnic Institute,http://www.cs.rpi.edu/~moorthy,3XYmsKQAAAAJ,3948.0,28.0,1968.0
Mark K. Goldberg,Rensselaer Polytechnic Institute,http://www.cs.rpi.edu/~goldberg,,,,
Charles Stewart,Rensselaer Polytechnic Institute,http://www.cs.rpi.edu/~stewart,7egtxu0AAAAJ,6430.0,36.0,
Lirong Xia,Rensselaer Polytechnic Institute,http://www.cs.rpi.edu/~xial,C19mgCgAAAAJ,3882.0,34.0,2003.0
Elliot Anshelevich,Rensselaer Polytechnic Institute,http://www.cs.rpi.edu/~eanshel,Qp5971IAAAAJ,2669.0,22.0,2000.0
Boleslaw K. Szymanski,Rensselaer Polytechnic Institute,http://www.cs.rpi.edu/~szymansk,2OJOZTUAAAAJ,19793.0,67.0,1963.0
Carlos A. Varela,Rensselaer Polytechnic Institute,http://www.cs.rpi.edu/~cvarela,2jD9mYEAAAAJ,314.0,9.0,2003.0
Barbara Cutler,Rensselaer Polytechnic Institute,http://www.cs.rpi.edu/~cutler,G0btX8YAAAAJ,1673.0,16.0,1999.0
Selmer Bringsjord,Rensselaer Polytechnic Institute,http://www.cogsci.rpi.edu/pl/faculty-staff-cogsci/selmer-bringsjord,,,,
Christopher D. Carothers,Rensselaer Polytechnic Institute,http://www.cs.rpi.edu/~chrisc,PQakxO4AAAAJ,4690.0,34.0,1994.0
Martin Hardwick,Rensselaer Polytechnic Institute,http://faculty.rpi.edu/node/35982,,,,
