name,affiliation,homepage,scholar_id,citations,h-index,earliest_paper
Ashok Narayanan Veeraraghavan,Rice University,https://www.ece.rice.edu/~av21,tI-oUmsAAAAJ,9998.0,51.0,2004.0
Keith D. Cooper,Rice University,https://www.cs.rice.edu/~keith,ubiUvvgAAAAJ,8960.0,45.0,1982.0
Scott Rixner,Rice University,https://www.cs.rice.edu/~rixner,MvxSD2AAAAAJ,7923.0,37.0,1995.0
Xia Hu,Rice University,https://profiles.rice.edu/faculty/xia-ben-hu,pcCS60IAAAAJ,14650.0,50.0,2009.0
Anastasios Kyrillidis,Rice University,http://akyrillidis.github.io,TEGzkZMAAAAJ,1776.0,23.0,2010.0
Arlei Lopes da Silva,Rice University,https://profiles.rice.edu/faculty/arlei-silva,atGtis4AAAAJ,837.0,10.0,1974.0
Edward W. Knightly,Rice University,http://knightly.rice.edu,-0vALDMAAAAJ,18598.0,70.0,1993.0
Ron Goldman,Rice University,https://www.cs.rice.edu/~rng,,,,
Anshumali Shrivastava,Rice University,https://www.cs.rice.edu/~as143,SGT23RAAAAAJ,2255.0,25.0,2011.0
Konstantinos Mamouras,Rice University,https://mamouras.web.rice.edu,ZvY6VHsAAAAJ,513.0,12.0,2009.0
Peter J. Varman,Rice University,http://varman.rice.edu,c56AFDoAAAAJ,2934.0,29.0,1980.0
Joe Cavallaro,Rice University,http://cavallaro.rice.edu,yi-l0zkAAAAJ,8836.0,47.0,1985.0
Kaiyu Hang,Rice University,https://hangkaiyu.github.io/index.html,GrgH1lQAAAAJ,803.0,17.0,2010.0
Richard G. Baraniuk,Rice University,http://richb.rice.edu,N-BBA20AAAAJ,70183.0,116.0,1988.0
Luay Nakhleh,Rice University,https://www.cs.rice.edu/~nakhleh,46HLWf8AAAAJ,6989.0,49.0,1993.0
Guha Balakrishnan,Rice University,https://profiles.rice.edu/faculty/guha-balakrishnan,CsEOFL8AAAAJ,2992.0,14.0,2010.0
Joe D. Warren,Rice University,https://www.cs.rice.edu/~jwarren,PVvU3TsAAAAJ,1451.0,24.0,1968.0
Devika Subramanian,Rice University,https://www.cs.rice.edu/~devika,7eC3KMkAAAAJ,4489.0,30.0,1968.0
Lydia E. Kavraki,Rice University,http://www.cs.rice.edu/~kavraki,Q6pxNZYAAAAJ,32754.0,77.0,1993.0
Chris Jermaine,Rice University,https://www.cs.rice.edu/~cmj4,D2P2B0MAAAAJ,4326.0,31.0,1999.0
Krishna V. Palem,Rice University,http://www.cs.rice.edu/~kvp1,TW6dnZUAAAAJ,4703.0,38.0,1985.0
John M. Mellor-Crummey,Rice University,http://www.cs.rice.edu/~johnmc,wX0XpxMAAAAJ,12638.0,52.0,
Robert Cartwright,Rice University,https://www.cs.rice.edu/~cork/index.shtml,TtJeqqoAAAAJ,3089.0,29.0,1976.0
Vicente Ordonez,Rice University,https://profiles.rice.edu/faculty/vicente-ordonez-roman,TtA_j4YAAAAJ,10489.0,25.0,2009.0
David B. Johnson,Rice University,https://www.cs.rice.edu/~dbj,,,,
Todd J. Treangen,Rice University,https://sites.google.com/view/treangen/home,N5irv88AAAAJ,18221.0,27.0,2006.0
Ang Chen,Rice University,https://www.cs.rice.edu/~angchen,8Y4dDxkAAAAJ,925.0,17.0,2011.0
Dan S. Wallach,Rice University,https://www.cs.rice.edu/~dwallach,oM25EQkAAAAJ,13935.0,53.0,1976.0
Alan L. Cox,Rice University,https://www.cs.rice.edu/~alc,z28ApZkAAAAJ,12482.0,53.0,1987.0
Nathan Dautenhahn,Rice University,http://nathandautenhahn.com,zKVnPigAAAAJ,848.0,11.0,2005.0
Akane Sano,Rice University,http://akane.sano.web.rice.edu,cNLW5O4AAAAJ,4486.0,35.0,2002.0
Moshe Y. Vardi,Rice University,http://www.cs.rice.edu/~vardi,DQaARsgAAAAJ,54096.0,112.0,
T. S. Eugene Ng,Rice University,https://www.cs.rice.edu/~eugeneng,P07ZE9sAAAAJ,9361.0,36.0,1996.0
