name,affiliation,homepage,scholar_id,citations,h-index,earliest_paper
Flavio Chierichetti,Sapienza University of Rome,http://www.chierichetti.name,MGXRuXYAAAAJ,2819.0,25.0,2007.0
Nicola Galesi,Sapienza University of Rome,http://wwwusers.di.uniroma1.it/~galesi,0Ch05b4AAAAJ,1267.0,20.0,1996.0
Daniele Gorla,Sapienza University of Rome,http://wwwusers.di.uniroma1.it/~gorla,IlZGc-EAAAAJ,1115.0,19.0,2002.0
Alessandro Mei,Sapienza University of Rome,http://wwwusers.di.uniroma1.it/~mei,eCiUVHcAAAAJ,4633.0,32.0,1997.0
Daniele Venturi,Sapienza University of Rome,http://danieleventuri.altervista.org,dCsqhREAAAAJ,2049.0,24.0,2009.0
Maurizio Lenzerini,Sapienza University of Rome,http://www.diag.uniroma1.it/lenzerini,EYxaICEAAAAJ,28940.0,82.0,1981.0
Daniele Pannone,Sapienza University of Rome,https://sites.google.com/uniroma1.it/danielepannone,jgM1VZoAAAAJ,336.0,11.0,2016.0
Claudio Di Ciccio,Sapienza University of Rome,http://diciccio.net,OBwQoWsAAAAJ,2833.0,30.0,2009.0
Ivano Salvo,Sapienza University of Rome,http://wwwusers.di.uniroma1.it/~salvo,YwCGzIcAAAAJ,614.0,15.0,1998.0
Paul Wollan,Sapienza University of Rome,http://wwwusers.di.uniroma1.it/~wollan,SMocDQwAAAAJ,1330.0,21.0,2005.0
Annalisa Massini,Sapienza University of Rome,https://twiki.di.uniroma1.it/twiki/view/Users/AnnalisaMassini,u2H7ZqsAAAAJ,720.0,16.0,
Valsamis Ntouskos,Sapienza University of Rome,http://www.diag.uniroma1.it/users/valsamis%20ntouskos,pgCLEjQAAAAJ,322.0,10.0,2007.0
Umberto Nanni,Sapienza University of Rome,http://www.diag.uniroma1.it/users/umberto%20nanni,aJKaghoAAAAJ,2186.0,25.0,1987.0
Tiziana Catarci,Sapienza University of Rome,http://www.diag.uniroma1.it/users/tiziana%20catarci,K2jKdVMAAAAJ,6625.0,39.0,1983.0
Roberto Navigli,Sapienza University of Rome,http://wwwusers.di.uniroma1.it/~navigli,BsgVJ-EAAAAJ,19877.0,64.0,2002.0
Giuseppe Pirrò,Sapienza University of Rome,http://wwwusers.di.uniroma1.it/~pirro,3zY1VlIAAAAJ,1659.0,21.0,2006.0
Pietro Cenciarelli,Sapienza University of Rome,http://wwwusers.di.uniroma1.it/~cencia,,,,
Lorenzo Carlucci,Sapienza University of Rome,http://wwwusers.di.uniroma1.it/~carlucci,ELz2WEoAAAAJ,304.0,10.0,2003.0
Andrea Sterbini,Sapienza University of Rome,https://twiki.di.uniroma1.it/twiki/view/Users/AndreaSterbini,W0PMB90AAAAJ,706.0,16.0,1992.0
Fabio Pellacini,Sapienza University of Rome,http://pellacini.di.uniroma1.it,GzOeTm0AAAAJ,4069.0,35.0,1998.0
Paolo Bottoni,Sapienza University of Rome,https://www.di.uniroma1.it/it/docenti/bottoni-paolo,OPNZrR8AAAAJ,2525.0,25.0,1989.0
Gian Carlo Bongiovanni,Sapienza University of Rome,https://sites.google.com/a/di.uniroma1.it/bongiovanni,ZZUIEqgAAAAJ,967.0,16.0,1975.0
Silvia Bonomi,Sapienza University of Rome,https://bonomi.diag.uniroma1.it,s-szb04AAAAJ,706.0,15.0,2006.0
Emanuele Panizzi,Sapienza University of Rome,https://www.di.uniroma1.it/it/docenti/panizzi-emanuele,Wba1UhIAAAAJ,1082.0,14.0,1993.0
Luca Iocchi,Sapienza University of Rome,https://sites.google.com/a/dis.uniroma1.it/iocchi/home,KHhijC0AAAAJ,6375.0,45.0,1996.0
Emanuela Fachini,Sapienza University of Rome,http://wwwusers.di.uniroma1.it/~fachini,,,,
Salvatore Pontarelli,Sapienza University of Rome,https://www.di.uniroma1.it/it/docenti/pontarelli-salvatore,iTWBxPMAAAAJ,2693.0,28.0,2001.0
Maria De Marsico,Sapienza University of Rome,https://sites.google.com/a/di.uniroma1.it/maria-de-marsico,xbpAoD8AAAAJ,3932.0,28.0,1997.0
Roberto Beraldi,Sapienza University of Rome,http://www.diag.uniroma1.it/users/roberto%20beraldi,WaJQ4-wAAAAJ,1942.0,22.0,1992.0
Gianni Franceschini,Sapienza University of Rome,http://groups.di.unipi.it/~francesc,,,,
Marina Moscarini,Sapienza University of Rome,https://www.di.uniroma1.it/it/docenti/moscarini,FS63g6AAAAAJ,1032.0,17.0,1976.0
Marco Temperini,Sapienza University of Rome,http://www.diag.uniroma1.it/marte,OVXidIgAAAAJ,1415.0,21.0,1990.0
Maurizio Mancini,Sapienza University of Rome,http://www.mauriziomancini.org,RJLyh1wAAAAJ,2812.0,25.0,2001.0
Tiziana Calamoneri,Sapienza University of Rome,http://wwwusers.di.uniroma1.it/~calamo,,,,
Gabriele Tolomei,Sapienza University of Rome,https://www.di.uniroma1.it/~tolomei,Y2R2DXEAAAAJ,1021.0,17.0,2005.0
Roberto Baldoni,Sapienza University of Rome,http://www.diag.uniroma1.it/users/roberto%20baldoni,82tR6VoAAAAJ,8177.0,47.0,1994.0
Francesco Parisi-Presicce,Sapienza University of Rome,http://wwwusers.di.uniroma1.it/~parisi,,,,
Adolfo Piperno,Sapienza University of Rome,http://pallini.di.uniroma1.it/Personal.html,,,,
Fabio Patrizi,Sapienza University of Rome,http://www.diag.uniroma1.it/patrizi,eJmKNE8AAAAJ,1832.0,23.0,1986.0
Daniele Nardi,Sapienza University of Rome,http://www.diag.uniroma1.it/nardi,xZwripcAAAAJ,24800.0,55.0,1979.0
Andrea Marrella,Sapienza University of Rome,http://www.diag.uniroma1.it/marrella,8zZvFawAAAAJ,2011.0,25.0,2007.0
Angelo Monti,Sapienza University of Rome,https://www.di.uniroma1.it/it/docenti/monti,p45s8L0AAAAJ,1483.0,18.0,1990.0
Igor Melatti,Sapienza University of Rome,http://wwwusers.di.uniroma1.it/~melatti,mehmJloAAAAJ,1087.0,21.0,2003.0
Christian Napoli,Sapienza University of Rome,https://sites.google.com/diag.uniroma1.it/napoli,NS1JOAUAAAAJ,8304.0,46.0,2002.0
Paola Velardi,Sapienza University of Rome,https://sites.google.com/a/di.uniroma1.it/paolavelardi,yf0g6zkAAAAJ,6929.0,37.0,1983.0
Fabio Galasso,Sapienza University of Rome,https://fgalasso.bitbucket.io,2gSuGBEAAAAJ,1430.0,18.0,2003.0
Novella Bartolini,Sapienza University of Rome,https://sites.google.com/view/novellabartolini,,,,
Camil Demetrescu,Sapienza University of Rome,http://www.diag.uniroma1.it/demetres,uqX964EAAAAJ,3263.0,28.0,1997.0
Fiora Pirri,Sapienza University of Rome,http://www.diag.uniroma1.it/pirri,VkYspW0AAAAJ,2782.0,26.0,1989.0
Giuseppe De Giacomo,Sapienza University of Rome,http://www.diag.uniroma1.it/degiacomo,Sfo4K0oAAAAJ,23089.0,76.0,1986.0
Enrico Tronci,Sapienza University of Rome,https://sites.google.com/di.uniroma1.it/enrico-tronci/home,DQwPkskAAAAJ,1859.0,26.0,1987.0
Luigi V. Mancini,Sapienza University of Rome,https://sites.google.com/di.uniroma1.it/mancini,4ZkNiZYAAAAJ,7891.0,43.0,1986.0
Alessandro Panconesi,Sapienza University of Rome,http://www.di.uniroma1.it/a/di.uniroma1.it/panco,kzYoaFYAAAAJ,6389.0,40.0,1987.0
Luigi Cinque,Sapienza University of Rome,http://visionlab.di.uniroma1.it/content/luigi-cinque,,,,
Iacopo Masi,Sapienza University of Rome,http://iacopomasi.github.io,t4zrDEAAAAAJ,3629.0,22.0,2010.0
Fabrizio Silvestri,Sapienza University of Rome,https://sites.google.com/diag.uniroma1.it/fabriziosilvestri,pi985dQAAAAJ,5556.0,40.0,2002.0
Roberto Capobianco,Sapienza University of Rome,http://robertocapobianco.com,6VJaD6EAAAAJ,313.0,9.0,2013.0
Ioannis Chatzigiannakis,Sapienza University of Rome,http://ichatz.me/index.php/Site/Home,btwQihYAAAAJ,4921.0,42.0,2000.0
Walter Quattrociocchi,Sapienza University of Rome,https://sites.google.com/view/walterquattrociocchi,_OCIc6UAAAAJ,10439.0,37.0,2007.0
Chiara Petrioli,Sapienza University of Rome,http://senseslab.di.uniroma1.it,urH-SksAAAAJ,7833.0,47.0,1997.0
Riccardo Rosati,Sapienza University of Rome,http://www.diag.uniroma1.it/rosati,4HPbOwwAAAAJ,13662.0,57.0,1984.0
Alberto Marchetti-Spaccamela,Sapienza University of Rome,http://www.diag.uniroma1.it/users/alberto%20marchetti-spaccamela,xITAf6EAAAAJ,8630.0,45.0,1979.0
Danilo Avola,Sapienza University of Rome,http://visionlab.di.uniroma1.it/node/9,9R03Bl0AAAAJ,1195.0,19.0,2006.0
Domenico Lembo,Sapienza University of Rome,http://www.diag.uniroma1.it/lembo,wW0kz-cAAAAJ,8076.0,37.0,
Giorgio Grisetti,Sapienza University of Rome,https://sites.google.com/dis.uniroma1.it/grisetti,yD-SFG4AAAAJ,14107.0,41.0,2002.0
Massimo Mecella,Sapienza University of Rome,http://www.diag.uniroma1.it/users/massimo%20mecella,x844E6sAAAAJ,6953.0,38.0,1999.0
