name,affiliation,homepage,scholar_id,citations,h-index,earliest_paper
Dongxiao Yu,Shandong University,http://www.cs.sdu.edu.cn/info/1091/2639.htm,hiQxuHYAAAAJ,1924.0,24.0,1972.0
Jianhua Yin,Shandong University,http://www.cs.sdu.edu.cn/info/1091/2349.htm,,,,
Lei Ju,Shandong University,https://faculty.sdu.edu.cn/julei/en/index.htm,7DZXXBQAAAAJ,1595.0,19.0,2007.0
Ruihua Zhang,Shandong University,http://www.cs.sdu.edu.cn/info/1091/2352.htm,,,,
Daming Zhu,Shandong University,http://www.cs.sdu.edu.cn/info/1091/2355.htm,,,,
Xingqiang Yang,Shandong University,http://www.cs.sdu.edu.cn/info/1091/2358.htm,,,,
Feng Li,Shandong University,https://funglee.github.io,lJ-jik0AAAAJ,594.0,15.0,2009.0
Zimeng Zhou,Shandong University,https://faculty.sdu.edu.cn/zhouzimeng1/en/index.htm,r5EK8wMAAAAJ,37.0,5.0,2014.0
Zhumin Chen,Shandong University,http://www.cs.sdu.edu.cn/info/1112/2725.htm,,,,
Fan Zhong,Shandong University,https://cvfzhong.github.io,,,,
Heji Zhao,Shandong University,http://www.cs.sdu.edu.cn/info/1091/2351.htm,,,,
Xuemeng Song,Shandong University,https://xuemengsong.github.io,29gP4okAAAAJ,1480.0,22.0,2014.0
Huazhong Zhang,Shandong University,http://www.cs.sdu.edu.cn/info/1091/2356.htm,,,,
Haodi Feng,Shandong University,http://www.cs.sdu.edu.cn/info/1112/2723.htm,,,,
Xiaohui Yu,Shandong University,http://www.cs.sdu.edu.cn/info/1091/2357.htm,TZ91yu8AAAAJ,3790.0,26.0,2000.0
Lin Lv,Shandong University,http://www.cs.sdu.edu.cn/info/1089/2333.htm,,,,
Zhaoyan Shen,Shandong University,http://www.cs.sdu.edu.cn/info/1090/2945.htm,9my0HgIAAAAJ,340.0,10.0,2014.0
Liqiang Nie,Shandong University,http://ir.sdu.edu.cn/~liqiangnie/index.html,yywVMhUAAAAJ,14618.0,54.0,2010.0
Yunhai Wang,Shandong University,http://www.yunhaiwang.net,ngPMK7QAAAAJ,1293.0,20.0,2008.0
Jiong Guo,Shandong University,http://www.cs.sdu.edu.cn/info/1088/2327.htm,4rjuV8YAAAAJ,4723.0,39.0,1991.0
Zhaochun Ren,Shandong University,http://ir.sdu.edu.cn/~zhaochunren,fPcIPt0AAAAJ,3489.0,30.0,2010.0
Wei Zhang,Shandong University,https://sduzhangwei.github.io,uJ65n8MAAAAJ,23.0,4.0,2017.0
Changhe Tu,Shandong University,http://irc.cs.sdu.edu.cn/~chtu/index.html,,,,
Jianlong Wu,Shandong University,https://jlwu1992.github.io,XGeEH-IAAAAJ,1185.0,13.0,2015.0
Shi-Qing Xin,Shandong University,https://www.xinshiqing.com,_JaG6OwAAAAJ,1388.0,20.0,2007.0
Mengying Zhao,Shandong University,http://www.cs.sdu.edu.cn/info/1091/2348.htm,TK6B0FsAAAAJ,1004.0,17.0,2012.0
Haitao Jiang,Shandong University,http://www.cs.sdu.edu.cn/info/1089/2334.htm,,,,
Zhiping Jia,Shandong University,http://www.cs.sdu.edu.cn/info/1089/2337.htm,,,,
Zhiguo Wan,Shandong University,http://www.cs.sdu.edu.cn/info/1090/2339.htm,8D7Vh20AAAAJ,3225.0,25.0,2004.0
Zhaohui Peng,Shandong University,http://www.cs.sdu.edu.cn/info/1090/2342.htm,,,,
Jun Ma,Shandong University,http://www.cs.sdu.edu.cn/info/1090/2346.htm,4_i4ni4AAAAJ,6267.0,50.0,1989.0
Xiaojun Cai,Shandong University,http://www.cs.sdu.edu.cn/info/1088/2325.htm,,,,
Junfeng Luan,Shandong University,http://www.cs.sdu.edu.cn/info/1089/2332.htm,,,,
