name,affiliation,homepage,scholar_id,citations,h-index,earliest_paper
Qifeng Liao,ShanghaiTech University,https://sist.shanghaitech.edu.cn/sist_en/2020/0814/c7582a54836/page.htm,9XKE7FYAAAAJ,249.0,9.0,2010.0
Ning Cai,ShanghaiTech University,https://sist.shanghaitech.edu.cn/2020/0707/c7499a53906/page.htm,,,,
Sören Schwertfeger,ShanghaiTech University,https://robotics.shanghaitech.edu.cn/people/soeren,Y2olJ9kAAAAJ,1301.0,18.0,2005.0
Rui Fan,ShanghaiTech University,https://sist.shanghaitech.edu.cn/sist_en/2020/0814/c7582a54758/page.htm,,,,
Laurent Kneip,ShanghaiTech University,https://laurentkneip.com,lTmh1e0AAAAJ,3830.0,28.0,2007.0
Yuanming Shi,ShanghaiTech University,https://faculty.sist.shanghaitech.edu.cn/faculty/shiym/home.html,362l5HAAAAAJ,3968.0,29.0,2012.0
Lu Sun,ShanghaiTech University,https://lusun912.github.io,TOwN47oAAAAJ,120.0,8.0,2015.0
Ziyu Shao,ShanghaiTech University,https://faculty.sist.shanghaitech.edu.cn/faculty/shaozy,04mPO4wAAAAJ,815.0,13.0,2009.0
Jie Lu,ShanghaiTech University,https://faculty.sist.shanghaitech.edu.cn/faculty/lujie,JwwhMh0AAAAJ,225.0,9.0,2015.0
Youlong Wu,ShanghaiTech University,https://faculty.sist.shanghaitech.edu.cn/faculty/wyl/,aL1CARIAAAAJ,94.0,5.0,2010.0
Jie Zheng,ShanghaiTech University,https://shanghaitechzhengjielab.github.io/Zhenglab.github.io/index.htm,evC66XkAAAAJ,2201.0,24.0,2004.0
Yuyao Zhang,ShanghaiTech University,https://sist.shanghaitech.edu.cn/sist_en/2020/0814/c7582a54827/page.htm,gIE0JTAAAAAJ,718.0,14.0,2012.0
Jingzhu He,ShanghaiTech University,https://jhe16.github.io/,wPs78uIAAAAJ,74.0,5.0,2018.0
Jingya Wang,ShanghaiTech University,https://sist.shanghaitech.edu.cn/2020/0707/c7499a58578/page.htm,vmvJV_IAAAAJ,798.0,8.0,2016.0
Hao Wang,ShanghaiTech University,https://sist.shanghaitech.edu.cn/sist_en/2020/0814/c7582a54864/page.htm,FLf8S1QAAAAJ,116.0,6.0,2010.0
Jiahua Jiang,ShanghaiTech University,https://sist.shanghaitech.edu.cn/sist_en/2020/0707/c7582a58299/page.htm,ZHLDtbsAAAAJ,61.0,4.0,2016.0
Haipeng Zhang,ShanghaiTech University,https://sist.shanghaitech.edu.cn/sist_en/2020/0814/c7582a54830/page.htm,377DmKgAAAAJ,223.0,6.0,2012.0
Yong Zhou,ShanghaiTech University,https://faculty.sist.shanghaitech.edu.cn/faculty/zhouyong/Index.html,8bpAwKcAAAAJ,1388.0,23.0,2009.0
