name,affiliation,homepage,scholar_id,citations,h-index,earliest_paper
Hamid Zarrabi-Zadeh,Sharif University of Technology,http://sharif.edu/~zarrabi,c1VC8nYAAAAJ,468.0,14.0,2003.0
Ali Reza Ejlali,Sharif University of Technology,http://sharif.edu/~ejlali,H7G8s68AAAAJ,2405.0,28.0,2002.0
Abolfazl S. Motahari,Sharif University of Technology,http://ce.sharif.edu/faculty/abolfazl-motahari,rJ-biB0AAAAJ,4142.0,25.0,2004.0
Rasool Jalili,Sharif University of Technology,http://ce.sharif.edu/faculty/rasool-jalili,MGC-bj8AAAAJ,1737.0,21.0,2001.0
Seyed Hassan Mirian,Sharif University of Technology,http://ce.sharif.edu/~mirian,Stld52AAAAAJ,321.0,9.0,1995.0
Hossein Sameti,Sharif University of Technology,http://sina.sharif.ir/~sameti,ebEhWZwAAAAJ,1546.0,18.0,1994.0
Gholamreza Ghassem-Sani,Sharif University of Technology,http://sina.sharif.ac.ir/~sani,1mw-zmsAAAAJ,319.0,11.0,1991.0
Mohammad Ghodsi,Sharif University of Technology,http://sharif.ir/~ghodsi,70Rmp1oAAAAJ,1410.0,17.0,1988.0
Amir Hossein Jahangir,Sharif University of Technology,http://sina.sharif.ac.ir/~jahangir,QIeBZroAAAAJ,621.0,14.0,2003.0
Shohreh Kasaei,Sharif University of Technology,http://sharif.ir/~skasaei,mvx4PvgAAAAJ,3627.0,28.0,1996.0
Jafar Habibi,Sharif University of Technology,http://sharif.ir/~jhabibi,fKvyreEAAAAJ,2657.0,26.0,2000.0
Mahdi Jafari Siavoshani,Sharif University of Technology,http://mahdi.jafari.siavoshani.ir,O1iciXoAAAAJ,1026.0,13.0,1989.0
Mohammad Ali Abam,Sharif University of Technology,http://sharif.ir/~abam,xuNJ-d8AAAAJ,446.0,13.0,1996.0
Hamid Beigy,Sharif University of Technology,http://sharif.edu/~beigy,0NiKG0EAAAAJ,2928.0,28.0,1995.0
Seyed Ghassem Miremadi,Sharif University of Technology,http://sina.sharif.ac.ir/~miremadi,LjQ5PFYAAAAJ,3553.0,31.0,1992.0
Ali A. Nazari Shirehjini,Sharif University of Technology,http://ce.sharif.edu/faculty/aliasghar-nazari,USZyRusAAAAJ,923.0,16.0,2003.0
Raman Ramsin,Sharif University of Technology,http://sharif.edu/~ramsin,12Az6pUAAAAJ,1077.0,18.0,2004.0
Mehdi Kharrazi,Sharif University of Technology,http://sharif.edu/~kharrazi,6wFTqr8AAAAJ,2285.0,16.0,2003.0
Abbas Heydarnoori,Sharif University of Technology,http://sharif.edu/~heydarnoori,s5vgK3kAAAAJ,1473.0,13.0,2001.0
Hamid R. Rabiee,Sharif University of Technology,http://sharif.edu/~rabiee,rKDtrNgAAAAJ,5429.0,30.0,1993.0
Mansour Jamzad,Sharif University of Technology,http://sharif.edu/~jamzad,oKz2WAkAAAAJ,2043.0,23.0,1986.0
Mohammad-Taghi Manzuri Shalmani,Sharif University of Technology,http://sharif.edu/~manzuri,NXYyxTMAAAAJ,2235.0,23.0,1993.0
Ghazanfar Asadi,Sharif University of Technology,http://sharif.edu/~asadi,fgNWK9YAAAAJ,2236.0,26.0,2002.0
Siavash Bayat Sarmadi,Sharif University of Technology,http://sharif.edu/~sbayat,Gv6KyR0AAAAJ,719.0,16.0,2002.0
Mohammad Izadi,Sharif University of Technology,http://sharif.edu/~izadi,8Oew09wCfkcC,480.0,8.0,2008.0
Ali Movaghar,Sharif University of Technology,http://sharif.edu/~movaghar,BXNelwwAAAAJ,5315.0,32.0,1982.0
Shaahin Hessabi,Sharif University of Technology,http://sharif.edu/~hessabi,upXLWZEAAAAJ,1416.0,21.0,1995.0
A. M. A. Hemmatyar,Sharif University of Technology,http://sharif.edu/~hemmatyar,wob0AskAAAAJ,266.0,8.0,2006.0
Maziar Goudarzi,Sharif University of Technology,http://sharif.edu/~goudarzi,qAJqk9IAAAAJ,946.0,17.0,2003.0
Somayyeh Koohi,Sharif University of Technology,http://sharif.edu/~koohi,64uL9QoAAAAJ,514.0,12.0,2007.0
Seyed Ebrahim Abtahi,Sharif University of Technology,http://sharif.edu/~abtahi,,,,
Morteza Amini,Sharif University of Technology,http://sharif.edu/~amini,Rsmx5DYAAAAJ,916.0,15.0,1993.0
Mahdieh Soleymani,Sharif University of Technology,http://sharif.edu/~soleymani,,,,
