name,affiliation,homepage,scholar_id,citations,h-index,earliest_paper
Mohamed Hefeeda,Simon Fraser University,http://www.cs.sfu.ca/~mhefeeda,0pu-90QAAAAJ,5835.0,33.0,1996.0
Tao Wang,Simon Fraser University,https://www.sfu.ca/computing/people/faculty/tao-wang.html,6r3AEG8AAAAJ,1364.0,9.0,2012.0
Max W. Libbrecht,Simon Fraser University,https://www.sfu.ca/computing/people/faculty/maxlibbrecht11.html,O4SMk-sAAAAJ,17848.0,14.0,2006.0
Kay C. Wiese,Simon Fraser University,https://www.sfu.ca/computing/people/faculty/kaywiese.html,155UuRYAAAAJ,947.0,19.0,1996.0
Oliver Schulte,Simon Fraser University,http://www.cs.sfu.ca/~oschulte,,,,
Alaa R. Alameldeen,Simon Fraser University,https://www.sfu.ca/computing/people/faculty/alaa-alameldeen.html,D3voHY0AAAAJ,6802.0,29.0,2000.0
Ramesh Krishnamurti,Simon Fraser University,https://www.sfu.ca/computing/people/faculty/RameshKrishnamurti.html,TqKkwlAAAAAJ,1486.0,17.0,1987.0
Greg Mori,Simon Fraser University,http://www.cs.sfu.ca/~mori,Bl9FSL0AAAAJ,16571.0,57.0,1997.0
Igor Shinkar,Simon Fraser University,https://www.cs.sfu.ca/~ishinkar,NL4V2GMAAAAJ,314.0,12.0,1997.0
Hang Ma,Simon Fraser University,https://www.cs.sfu.ca/~hangma,KJbsVl8AAAAJ,1867.0,23.0,2012.0
Jiannan Wang,Simon Fraser University,http://www.cs.sfu.ca,fKV65XQAAAAJ,4459.0,30.0,2009.0
Eugene Fiume,Simon Fraser University,https://www.sfu.ca/computing/people/faculty/eugenefiume.html,FHwvVmkAAAAJ,5800.0,35.0,1982.0
Steven Y. Ko,Simon Fraser University,https://www.sfu.ca/computing/people/faculty/steven-ko.html,SsRxrX4AAAAJ,1929.0,21.0,1996.0
Mo Chen,Simon Fraser University,https://www.sfu.ca/computing/people/faculty/mochen1111.html,4372x88AAAAJ,11723.0,52.0,1975.0
Yuepeng Wang,Simon Fraser University,https://www.cs.sfu.ca/~yuepeng,SMln4gEAAAAJ,564.0,9.0,2013.0
Ali Mahdavi-Amiri,Simon Fraser University,https://www.sfu.ca/~amahdavi,M9eTADwAAAAJ,490.0,12.0,2011.0
Thomas C. Shermer,Simon Fraser University,http://www.cs.sfu.ca/~shermer,,,,
Tianzheng Wang,Simon Fraser University,http://www.cs.sfu.ca/~tzwang,tACpr20AAAAJ,1179.0,20.0,2011.0
Ke Wang,Simon Fraser University,http://www.cs.sfu.ca/~wangk,i6wFsEQAAAAJ,18405.0,66.0,1985.0
Pavol Hell,Simon Fraser University,http://www.cs.sfu.ca/~pavol,8KDwlbEAAAAJ,9694.0,49.0,1970.0
Fred Popowich,Simon Fraser University,https://www.sfu.ca/~popowich/public/Home.html,auCVNSUAAAAJ,2913.0,24.0,1983.0
M. Sheelagh T. Carpendale,Simon Fraser University,https://www.cs.sfu.ca/~sheelagh,43LLX2kAAAAJ,17386.0,73.0,1994.0
Eugenia Ternovska,Simon Fraser University,http://www.cs.sfu.ca/~ter,,,,
Wo-Shun Luk,Simon Fraser University,https://www.cs.sfu.ca/~woshun,,,,
Yagiz Aksoy,Simon Fraser University,https://www.cs.sfu.ca/~yagiz,AC445kUAAAAJ,526.0,10.0,2012.0
Qian-Ping Gu,Simon Fraser University,https://www.cs.sfu.ca/~qgu,,,,
Andrea Tagliasacchi,Simon Fraser University,https://taiya.github.io/,1RmD-YsAAAAJ,4547.0,28.0,2008.0
Anoop Sarkar,Simon Fraser University,http://www.cs.sfu.ca/~anoop,KhJJchQAAAAJ,4193.0,32.0,1993.0
KangKang Yin,Simon Fraser University,https://www.cs.sfu.ca/~kkyin,5P2jxPQAAAAJ,2746.0,21.0,2001.0
David G. Mitchell,Simon Fraser University,https://www.cs.sfu.ca/~mitchell,sSf5Fb4AAAAJ,14212.0,65.0,1969.0
Jiangchuan Liu,Simon Fraser University,http://www.cs.sfu.ca/~jcliu,VU2Jw1YAAAAJ,19309.0,64.0,2001.0
Ping Tan,Simon Fraser University,http://www.cs.sfu.ca/~pingtan,konovGYAAAAJ,8780.0,30.0,1997.0
Hao (Richard) Zhang,Simon Fraser University,http://www.cs.sfu.ca/~haoz,,,,
Arrvindh Shriraman,Simon Fraser University,http://www.cs.sfu.ca/~ashriram,ZuBFPTcAAAAJ,1739.0,19.0,2003.0
Mark S. Drew,Simon Fraser University,http://www.cs.sfu.ca/~mark,ZeJn22YAAAAJ,9248.0,40.0,1971.0
Uwe Glässer,Simon Fraser University,http://www.cs.sfu.ca/~glaesser,,,,
Saba Alimadadi,Simon Fraser University,http://www.ece.ubc.ca/~saba,zqiilhcAAAAJ,244.0,8.0,2010.0
Parmit K. Chilana,Simon Fraser University,http://www.cs.sfu.ca,wWhVnqkAAAAJ,1597.0,20.0,2004.0
Yasutaka Furukawa,Simon Fraser University,https://www.cs.sfu.ca/~furukawa,wCxzFrMAAAAJ,12081.0,37.0,1979.0
Ke Li,Simon Fraser University,https://www.math.ias.edu/~ke.li,vQc8tI4AAAAJ,1017.0,14.0,2013.0
Leonid Chindelevitch,Simon Fraser University,http://www.cs.sfu.ca/~leonid,hO01mTUAAAAJ,4328.0,20.0,2006.0
Brian V. Funt,Simon Fraser University,http://www.cs.sfu.ca/~funt,tXuVUYMAAAAJ,10605.0,45.0,1973.0
Ze-Nian Li,Simon Fraser University,http://www.cs.sfu.ca/~li,,,,
Martin Ester,Simon Fraser University,http://www.cs.sfu.ca/~ester,ZYwC_CQAAAAJ,49660.0,68.0,1985.0
Zhenman Fang,Simon Fraser University,http://www.sfu.ca/~zhenman,v_FAgbgAAAAJ,1429.0,16.0,2011.0
Ghassan Hamarneh,Simon Fraser University,http://www.cs.sfu.ca/~hamarneh,61DdlkAAAAAJ,9858.0,50.0,1996.0
Nick Sumner,Simon Fraser University,http://http://www.cs.sfu.ca/~wsumner,,,,
Robert D. Cameron,Simon Fraser University,http://www.cs.sfu.ca/~cameron,,,,
Richard T. Vaughan,Simon Fraser University,http://www.cs.sfu.ca/~vaughan,rPCzqN4AAAAJ,6398.0,34.0,1997.0
Ryan C. N. D'Arcy,Simon Fraser University,http://www.sfu.ca/engineering/people/faculty/ryan_darcy.html,APPBnh4AAAAJ,2805.0,32.0,1941.0
Ryan Shea,Simon Fraser University,http://www.sfu.ca/~rws1,rOPt1L4AAAAJ,1299.0,17.0,2012.0
James P. Delgrande,Simon Fraser University,http://www.cs.sfu.ca/~jim,,,,
Joseph G. Peters,Simon Fraser University,http://www.sfu.ca/computing/people/faculty/JosephPeters.html,1CskssoAAAAJ,31805.0,92.0,1983.0
Manolis Savva,Simon Fraser University,https://msavva.github.io,4D2vsdYAAAAJ,10598.0,36.0,2010.0
Binay Bhattacharya,Simon Fraser University,http://www.cs.sfu.ca/~anoop,WZoAh-gAAAAJ,2351.0,25.0,1974.0
Jian Pei,Simon Fraser University,http://www.cs.sfu.ca/~jpei,zIMEVKsAAAAJ,112017.0,98.0,1986.0
Valentine Kabanets,Simon Fraser University,http://www.cs.sfu.ca/~kabanets,,,,
Keval Vora,Simon Fraser University,http://www.cs.sfu.ca/~keval,l40B-WYAAAAJ,847.0,14.0,2011.0
Andrei A. Bulatov,Simon Fraser University,http://www.cs.sfu.ca/~abulatov,81iwpTgAAAAJ,4979.0,36.0,1993.0
Angel X. Chang,Simon Fraser University,http://www.sfu.ca/computing/people/faculty/angelchang11111111.html,8gfs8XIAAAAJ,11553.0,35.0,2000.0
