name,affiliation,homepage,scholar_id,citations,h-index,earliest_paper
Shan Lin,Stony Brook University,http://www.ece.sunysb.edu/~slin,llOUqhkAAAAJ,4973.0,27.0,2005.0
Radu Sion,Stony Brook University,https://www.cs.stonybrook.edu/people/faculty/RaduSion,cn-X2AIAAAAJ,5504.0,35.0,2000.0
R. Sekar,Stony Brook University,http://seclab.cs.sunysb.edu/sekar,FBIbhGoAAAAJ,11142.0,52.0,1988.0
Dominik Kempa,Stony Brook University,https://sites.google.com/view/dkempa,r0Kn9IUAAAAJ,827.0,17.0,2011.0
Joel H. Saltz,Stony Brook University,https://bmi.stonybrookmedicine.edu/people/joel_saltz,_0dkufgAAAAJ,27251.0,79.0,1983.0
Zhenhua Liu,Stony Brook University,https://www.cs.stonybrook.edu/people/faculty/ZhenhuaLiu,SnU_Ih0AAAAJ,3038.0,17.0,2007.0
Aruna Balasubramanian,Stony Brook University,https://www.cs.stonybrook.edu/people/faculty/ArunaBalasubramanian,qtfHsnoAAAAJ,9251.0,24.0,2005.0
Wei Zhu,Stony Brook University,http://www.ams.stonybrook.edu/~zhu,UAMMV1wAAAAJ,13515.0,47.0,1995.0
Xiangmin Jiao,Stony Brook University,http://www.ams.sunysb.edu/~jiao,BuNo3NMAAAAJ,3015.0,29.0,1997.0
Shuai Mu,Stony Brook University,http://mpaxos.com,wcbyR5UAAAAJ,497.0,8.0,2012.0
Dongyoon Lee,Stony Brook University,https://www3.cs.stonybrook.edu/~dongyoon,eoRn6NkAAAAJ,1293.0,21.0,2009.0
Robert F. Kelly,Stony Brook University,https://www.cs.stonybrook.edu/people/faculty/RobertKelly,M6IXlpgAAAAJ,13424.0,66.0,
Nick Nikiforakis,Stony Brook University,https://www.cs.stonybrook.edu/people/faculty/NickNikiforakis,VgrmjeYAAAAJ,4510.0,34.0,2008.0
Tahsin M. Kurç,Stony Brook University,https://bmi.stonybrookmedicine.edu/people/tahsin_kurc,,,,
Roy Shilkrot,Stony Brook University,https://www.cs.stonybrook.edu/people/faculty/RoyShilkrot,WXV9HW4AAAAJ,1302.0,18.0,2010.0
Steven Skiena,Stony Brook University,http://www.cs.stonybrook.edu/~skiena,fnE2dSoAAAAJ,25655.0,63.0,1983.0
Xin Wang,Stony Brook University,https://www.cs.stonybrook.edu/people/faculty/XinWang,5asO0a8AAAAJ,11767.0,55.0,1962.0
Leo Bachmair,Stony Brook University,http://www3.cs.stonybrook.edu/~leo,UgKiJTsAAAAJ,5121.0,33.0,1980.0
Michael Kifer,Stony Brook University,http://www3.cs.stonybrook.edu/~kifer,HIOYWhYAAAAJ,13152.0,54.0,1984.0
Anita Wasilewska,Stony Brook University,http://www3.cs.stonybrook.edu/~anita,,,,
Anshul Gandhi,Stony Brook University,http://www3.cs.stonybrook.edu/~anshul,XNSodwIAAAAJ,3309.0,27.0,2006.0
Fan Ye,Stony Brook University,http://www.ece.stonybrook.edu/~fanye/index2.html,QryTRHAAAAAJ,14348.0,41.0,2001.0
Nima Honarmand,Stony Brook University,http://compas.cs.stonybrook.edu/~nhonarmand,Zg6T9tgAAAAJ,611.0,11.0,2006.0
Yifan Sun,Stony Brook University,https://www.cs.stonybrook.edu/people/faculty/YifanSun,o3fSb1YAAAAJ,820.0,12.0,2009.0
Peter A. Milder,Stony Brook University,https://www.stonybrook.edu/commcms/electrical/people/-core_faculty/milder_peter,tZ_do3gAAAAJ,2545.0,23.0,2005.0
Xiaojun Bi,Stony Brook University,https://www3.cs.stonybrook.edu/~xiaojun,V9VBMa8AAAAJ,2553.0,29.0,2005.0
Gregory J. Zelinsky,Stony Brook University,https://www.stonybrook.edu/commcms/psychology/faculty/faculty_profiles/gzelinsky,5uC1slsAAAAJ,7339.0,43.0,1990.0
Zhaozheng Yin,Stony Brook University,https://www3.cs.stonybrook.edu/~zyin,x-y92ksAAAAJ,3291.0,26.0,2002.0
Omkant Pandey,Stony Brook University,https://www.cs.stonybrook.edu/people/faculty/OmkantPandey,Av4MFGAAAAAJ,8630.0,24.0,2006.0
Yuanyuan Yang,Stony Brook University,https://www.cs.stonybrook.edu/people/faculty/YuanyuanYang,sPDAJ7MAAAAJ,11997.0,62.0,1985.0
Sangjin Hong,Stony Brook University,http://www.stonybrook.edu/commcms/electrical/people/Hong_Sangjin.html,,,,
Yanhong A. Liu,Stony Brook University,http://www3.cs.stonybrook.edu/~liu,pM_GZxcAAAAJ,2158.0,28.0,1993.0
M. S. Ryoo,Stony Brook University,http://michaelryoo.com,vcw0TJIAAAAJ,8163.0,38.0,2004.0
Michael Ferdman,Stony Brook University,http://compas.cs.stonybrook.edu/~mferdman,u9J1aE4AAAAJ,5447.0,26.0,2003.0
Jing Chen,Stony Brook University,http://www3.cs.stonybrook.edu/~jingchen,NLqcl5EAAAAJ,35080.0,93.0,1988.0
Rezaul Alam Chowdhury,Stony Brook University,http://www3.cs.stonybrook.edu/~rezaul,5nmElSoAAAAJ,1825.0,20.0,1998.0
Scott A. Smolka,Stony Brook University,http://www3.cs.stonybrook.edu/~sas,4q-QenMAAAAJ,10290.0,52.0,1977.0
Samir R. Das,Stony Brook University,http://www3.cs.stonybrook.edu/~samir,frOtmtAAAAAJ,51332.0,63.0,
Dimitris Samaras,Stony Brook University,http://www3.cs.stonybrook.edu/~samaras,BxbKTYkAAAAJ,10267.0,53.0,1998.0
Rong Zhao,Stony Brook University,http://www3.cs.stonybrook.edu/~rzhao,tCCC-kkAAAAJ,854.0,12.0,2000.0
Hong Qin,Stony Brook University,http://www3.cs.stonybrook.edu/~qin,Wpsc65EAAAAJ,27827.0,70.0,1986.0
Amir Rahmati,Stony Brook University,https://amir.rahmati.com,_Y_YRLAAAAAJ,3687.0,20.0,2012.0
Klaus Mueller,Stony Brook University,http://www3.cs.stonybrook.edu/~mueller,uya_Zb4AAAAJ,11777.0,56.0,1973.0
Shubham Jain,Stony Brook University,https://www3.cs.stonybrook.edu/~jain,P9Z011YAAAAJ,500.0,14.0,2013.0
Michalis Polychronakis,Stony Brook University,https://www3.cs.stonybrook.edu/~mikepo,JBPcwIEAAAAJ,6304.0,42.0,2002.0
Eugene W. Stark,Stony Brook University,http://bsd7.cs.sunysb.edu/~stark,a_JbJBwAAAAJ,8952.0,46.0,1975.0
Minh Hoai,Stony Brook University,http://www3.cs.stonybrook.edu/~minhhoai,hRV0tY4AAAAJ,4212.0,30.0,2003.0
Niranjan Balasubramanian,Stony Brook University,http://www3.cs.stonybrook.edu/~niranjan,X3JCGVIAAAAJ,2727.0,21.0,2005.0
Scott D. Stoller,Stony Brook University,http://www3.cs.stonybrook.edu/~stoller,9HNdszIAAAAJ,5772.0,45.0,1991.0
Allen R. Tannenbaum,Stony Brook University,http://www.iacs.stonybrook.edu/people/affiliates/allen-tannenbaum,w0Vl_lsAAAAJ,33124.0,81.0,1976.0
Arie E. Kaufman,Stony Brook University,http://www3.cs.stonybrook.edu/~ari,fDdcWBEAAAAJ,24088.0,85.0,1969.0
H. Andrew Schwartz,Stony Brook University,http://www3.cs.stonybrook.edu/~has,Na16PsUAAAAJ,7655.0,38.0,2006.0
Chao Chen,Stony Brook University,http://chaochen.github.io,J-iIIFAAAAAJ,1610.0,24.0,2006.0
Barbara M. Chapman,Stony Brook University,https://www.cs.stonybrook.edu/people/faculty/BarbaraChapman,2ZHGNCUAAAAJ,9919.0,37.0,1990.0
Haibin Ling,Stony Brook University,https://www3.cs.stonybrook.edu/~hling,,,,
Stanley Bak,Stony Brook University,http://stanleybak.com,IzNAqc8AAAAJ,2226.0,26.0,2009.0
Xianfeng David Gu,Stony Brook University,http://www3.cs.stonybrook.edu/~gu,Y063_CIAAAAJ,13196.0,55.0,1965.0
Fusheng Wang,Stony Brook University,https://www.cs.stonybrook.edu/people/faculty/FushengWang,VB6tZFEAAAAJ,6181.0,38.0,1995.0
C. R. Ramakrishnan,Stony Brook University,http://www3.cs.stonybrook.edu/~cram,YGDOoXAAAAAJ,3850.0,33.0,1992.0
Erez Zadok,Stony Brook University,http://www3.cs.stonybrook.edu/~ezk,,,,
I. V. Ramakrishnan,Stony Brook University,https://www.cs.stonybrook.edu/people/faculty/IVRamakrishnan,FgfwY_UAAAAJ,6184.0,42.0,1979.0
Himanshu Gupta,Stony Brook University,http://www3.cs.stonybrook.edu/~hgupta,3a-0dbMAAAAJ,7345.0,33.0,1995.0
Nilanjan Chakraborty,Stony Brook University,https://www.cs.stonybrook.edu/people/faculty/NilanjanChakraborty,Y4XkdPQAAAAJ,2272.0,25.0,2003.0
Michael A. Bender,Stony Brook University,http://www3.cs.stonybrook.edu/~bender,B1_1mR8AAAAJ,8405.0,48.0,1962.0
