name,affiliation,homepage,scholar_id,citations,h-index,earliest_paper
Liang Lin,Sun Yat-sen University,http://www.linliang.net,Nav8m8gAAAAJ,20911.0,73.0,2005.0
Yunong Zhang,Sun Yat-sen University,http://yss.sysu.edu.cn/node/376,o7Wj-9sAAAAJ,9338.0,51.0,1998.0
Xiaodan Liang,Sun Yat-sen University,https://www.cs.cmu.edu/~xiaodan1,voxznZAAAAAJ,14231.0,60.0,2013.0
Guanbin Li,Sun Yat-sen University,http://guanbinli.com,2A2Bx2UAAAAJ,5868.0,35.0,2009.0
Zibin Zheng,Sun Yat-sen University,http://sse.sysu.edu.cn/teacher/100,WPC6ED4AAAAJ,21979.0,69.0,2005.0
Xiaojun Quan,Sun Yat-sen University,http://cse.sysu.edu.cn/content/2953,dRpg4t8AAAAJ,1665.0,22.0,2008.0
Wei-Shi Zheng,Sun Yat-sen University,http://www.isee-ai.cn/~zhwshi,AwqDDGoAAAAJ,14033.0,55.0,1999.0
Xiaohua Xie,Sun Yat-sen University,http://sdcs.sysu.edu.cn/content/2478,5YZ3kvoAAAAJ,1379.0,16.0,2008.0
Yang Liu,Sun Yat-sen University,https://yangliu9208.github.io/home,l0z2QNQAAAAJ,139.0,5.0,2016.0
Qing Ling,Sun Yat-sen University,http://home.ustc.edu.cn/~qingling,u70vRDYAAAAJ,5632.0,32.0,2005.0
Keze Wang,Sun Yat-sen University,https://kezewang.com,Qirk2fYAAAAJ,1709.0,17.0,2014.0
Xu Chen,Sun Yat-sen University,https://sites.google.com/view/xcsysu/home,BmiiIaoAAAAJ,10335.0,45.0,2008.0
Chang-Dong Wang,Sun Yat-sen University,http://www.scholat.com/changdongwang.en,omqnB70AAAAJ,3639.0,31.0,2010.0
Jian-Huang Lai,Sun Yat-sen University,https://ieeexplore.ieee.org/author/37274695700,w3GjGqoAAAAJ,10634.0,55.0,1997.0
Hongyang Chao,Sun Yat-sen University,https://ieeexplore.ieee.org/author/37288624500,qnbpG6gAAAAJ,3297.0,25.0,1996.0
