name,affiliation,homepage,scholar_id,citations,h-index,earliest_paper
Pramod K. Varshney,Syracuse University,http://www.ecs.syr.edu/research/SensorFusionLab/People/varshney,-SJSv8oAAAAJ,37214.0,83.0,1974.0
Can Isik,Syracuse University,https://news.syr.edu/blog/2018/12/11/can-isik-named-interim-dean-of-the-college-of-engineering-and-computer-science,,,,
Garrett E. Katz,Syracuse University,http://web.ecs.syr.edu/~gkatz01,bHIqHwEAAAAJ,290.0,12.0,2011.0
Biao Chen,Syracuse University,http://comlab.ecs.syr.edu/people/bchen,653GqXUAAAAJ,6198.0,37.0,1997.0
Ferdinando Fioretto,Syracuse University,http://nandofioretto.com,ASf9Q04AAAAJ,1113.0,20.0,2011.0
Venkata Gandikota,Syracuse University,https://sites.google.com/view/gvenkata,4u-2hcwAAAAJ,161.0,6.0,2015.0
Asif Salekin,Syracuse University,https://asalekin.github.io,eJb_HTEAAAAJ,301.0,9.0,2011.0
Teresa A. Dahlberg,Syracuse University,https://chancellor.syr.edu/university-leadership-2/chancellors-council/teresa-dahlberg,,,,
Yuzhe Tang,Syracuse University,http://ecs.syr.edu/faculty/yuzhe,Svln274AAAAJ,971.0,20.0,2008.0
Andrew C. Lee,Syracuse University,http://eng-cs.syr.edu/our-departments/electrical-engineering-and-computer-science/people/faculty,,,,
Bryan S. Kim,Syracuse University,https://sites.google.com/view/bryansjkim,axFOJtEAAAAJ,269.0,6.0,2008.0
Fanxin Kong,Syracuse University,https://sites.google.com/site/fanxink,XeDepwwAAAAJ,1796.0,19.0,2008.0
Qinru Qiu,Syracuse University,http://hydrogen.syr.edu/~qqiu,DWv0xG0AAAAJ,5310.0,38.0,1996.0
Md. Endadul Hoque,Syracuse University,https://users.cs.fiu.edu/~ehoque,dSLXaKUAAAAJ,612.0,14.0,2008.0
Reza Zafarani,Syracuse University,http://ecs.syr.edu/faculty/reza,,,,
C. Y. Roger Chen,Syracuse University,https://eng-cs.syr.edu/our-departments/electrical-engineering-and-computer-science/people/?peopleid=2970,,,,
Vir V. Phoha,Syracuse University,https://news.syr.edu/faculty-experts/vir-v-phoha,,,,
Kishan G. Mehrotra,Syracuse University,http://eng-cs.syr.edu/directory,1PcW9N0AAAAJ,5768.0,31.0,1960.0
Mustafa Cenk Gursoy,Syracuse University,http://eng-cs.syr.edu/directory,qBxl76YAAAAJ,4689.0,35.0,1994.0
Edmund S. Yu,Syracuse University,http://eng-cs.syr.edu/our-departments/electrical-engineering-and-computer-science/people,0uelS_AAAAAJ,3603.0,16.0,1991.0
Senem Velipasalar,Syracuse University,http://eng-cs.syr.edu/our-departments/electrical-engineering-and-computer-science/people/faculty,HEAE9XsAAAAJ,3600.0,31.0,2000.0
Sucheta Soundarajan,Syracuse University,http://eng-cs.syr.edu/our-departments/electrical-engineering-and-computer-science/people/faculty,Li0F9VAAAAAJ,689.0,13.0,2010.0
Steve Chapin,Syracuse University,http://www.hpdc.syr.edu/~chapin,,,,
Mina Jung,Syracuse University,http://eng-cs.syr.edu/our-departments/electrical-engineering-and-computer-science/people/staff,,,,
Shiu-Kai Chin,Syracuse University,https://news.syr.edu/faculty-experts/shiu-kai-chin,,,,
Chilukuri K. Mohan,Syracuse University,http://www.cis.syr.edu/~mohan,41m5j04AAAAJ,7654.0,34.0,1980.0
Howard Blair,Syracuse University,https://experts.syr.edu/en/persons/howard-a-blair/network-organisations,,,,
Makan Fardad,Syracuse University,https://ecs.syr.edu/faculty/fardad/index.htm,jWb94BoAAAAJ,3049.0,26.0,2001.0
Wenliang Du,Syracuse University,http://www.cis.syr.edu/~wedu,1aMkcasAAAAJ,16763.0,56.0,1995.0
Susan Older,Syracuse University,http://www.cis.syr.edu/~sueo,,,,
Kristopher K. Micinski,Syracuse University,http://kmicinski.com,HpJLJWUAAAAJ,969.0,9.0,2012.0
James S. Royer,Syracuse University,http://www.cis.syr.edu/~royer,9oNh1Z0AAAAJ,3403.0,24.0,1984.0
Jian Tang,Syracuse University,http://www.ecs.syr.edu/faculty/tang,IirM9zMAAAAJ,11212.0,49.0,2004.0
