name,affiliation,homepage,scholar_id,citations,h-index,earliest_paper
Bugra Caskurlu,TOBB ETÜ,http://bugracaskurlu.etu.edu.tr,yLgnAu0AAAAJ,155.0,7.0,2006.0
Cagdas Evren Gerede,TOBB ETÜ,http://cegerede.etu.edu.tr,JMTNP1MAAAAJ,945.0,8.0,2004.0
Mehmet Aksit,TOBB ETÜ,https://people.utwente.nl/m.aksit,8lwFYb0AAAAJ,17252.0,35.0,1987.0
M. Fatih Demirci,TOBB ETÜ,http://mfdemirci.etu.edu.tr,qShOHtsAAAAJ,1262.0,17.0,2003.0
Toygar Akgün,TOBB ETÜ,https://www.etu.edu.tr/en/bolum/computer-engineering/akademik-kadro?l=1#toygar-akgun,zJskGBsAAAAJ,504.0,8.0,2004.0
Ali Aydin Selçuk,TOBB ETÜ,http://aselcuk.etu.edu.tr,gobiPJIAAAAJ,1700.0,16.0,1995.0
F. Betül Atalay,TOBB ETÜ,http://fatalay.etu.edu.tr,HRV3xMwAAAAJ,98.0,5.0,2002.0
Osman Abul,TOBB ETÜ,http://osmanabul.etu.edu.tr,fG9v1bwAAAAJ,1620.0,16.0,2000.0
A. Murat Ozbayoglu,TOBB ETÜ,http://mozbayoglu.etu.edu.tr,rNLLqKoAAAAJ,2805.0,26.0,1993.0
Mehmet Tan,TOBB ETÜ,http://mtan.etu.edu.tr,Ztz_N_gAAAAJ,246.0,9.0,2007.0
Mücahid Kutlu,TOBB ETÜ,https://www.etu.edu.tr/en/bolum/computer-engineering/akademik-kadro?l=1#mucahid-kutlu,9pxldM0AAAAJ,520.0,13.0,2008.0
Oguz Ergin,TOBB ETÜ,http://oergin.etu.edu.tr,NSuo6qgAAAAJ,1899.0,23.0,2002.0
Mehmet Burak Akgun,TOBB ETÜ,https://www.etu.edu.tr/en/bolum/computer-engineering/akademik-kadro?l=1#mehmet-burak-akgun,u3z2zsgAAAAJ,106.0,6.0,2010.0
