name,affiliation,homepage,scholar_id,citations,h-index,earliest_paper
Olaf Hellwich,TU Berlin,https://www.cv.tu-berlin.de/menue/mitarbeiter/olaf_hellwich,eNn_QXcAAAAJ,3163.0,31.0,1988.0
Axel Küpper,TU Berlin,https://www.snet.tu-berlin.de/menue/team/prof_dr_axel_kuepper,,,,
Sahin Albayrak,TU Berlin,https://www.eecs.tu-berlin.de/menue/einrichtungen/professuren/professorinnen/albayrak,K7BOZUAAAAAJ,8272.0,41.0,1990.0
Marc Alexa,TU Berlin,https://www.cg.tu-berlin.de/team/prof-dr-marc-alexa,KNwXLLsAAAAJ,17451.0,51.0,1996.0
Bettina Berendt,TU Berlin,https://www.eecs.tu-berlin.de/menue/einrichtungen/professuren/professorinnen/berendt/parameter/en/,,,,
Rolf Niedermeier,TU Berlin,https://www.akt.tu-berlin.de/index.php?id=110570,,,,
Markus Brill,TU Berlin,https://www.algo.tu-berlin.de/menue/people/markus_brill,LeFkVsYAAAAJ,1472.0,21.0,2009.0
Falko Dressler,TU Berlin,https://www2.tkn.tu-berlin.de/team/dressler/,sK8213AAAAAJ,14402.0,57.0,2000.0
Jens Lambrecht,TU Berlin,https://www.ignc.tu-berlin.de/menue/ueber_uns/team/parameter/de,LirFG6EAAAAJ,297.0,8.0,2011.0
Ben H. H. Juurlink,TU Berlin,https://www.aes.tu-berlin.de/menue/mitarbeiterinnen/prof_dr_ben_juurlink,i27KRcYAAAAJ,3802.0,32.0,1993.0
David Bermbach,TU Berlin,https://www.mcc.tu-berlin.de/menue/team/prof_dr_ing_david_bermbach/parameter/de,dCCezIUAAAAJ,1721.0,22.0,2011.0
Uwe Nestmann,TU Berlin,https://www.mtv.tu-berlin.de/nestmann,8zjcWf0AAAAJ,1369.0,20.0,1992.0
Ingo M. Weber,TU Berlin,https://www.sbe.tu-berlin.de/menue/team/prof_dr_ingo_weber/parameter/en/,uZP6cXwAAAAJ,7502.0,40.0,2005.0
Manfred Hauswirth,TU Berlin,https://www.ods.tu-berlin.de/menue/chair_for_open_distributed_systems/about_us/professor,WwjTJ3YAAAAJ,13032.0,56.0,1995.0
Klaus-Robert Müller,TU Berlin,https://www.ml.tu-berlin.de/menue/mitglieder/klaus-robert_mueller,jplQac8AAAAJ,105571.0,141.0,
Klaus Obermayer,TU Berlin,https://www.ni.tu-berlin.de/menue/mitarbeiter/leiter_der_forschungsgruppe/obermayer_klaus/parameter/de,pGKzaMMAAAAJ,12682.0,52.0,1983.0
