name,affiliation,homepage,scholar_id,citations,h-index,earliest_paper
Alexander Schill,TU Dresden,http://www.rn.inf.tu-dresden.de,TABb2iQAAAAJ,4662.0,31.0,1959.0
Raimund Dachselt,TU Dresden,https://mt.inf.tu-dresden.de/~dachselt,4SXviVAAAAAJ,5068.0,39.0,1999.0
Horst Lazarek,TU Dresden,http://forschungsinfo.tu-dresden.de/detail/professur/266,,,,
Bjoern Andres,TU Dresden,https://mlcv.inf.tu-dresden.de,3Bfgs9cAAAAJ,5881.0,29.0,2007.0
Thorsten Strufe,TU Dresden,https://tu-dresden.de/die_tu_dresden/fakultaeten/fakultaet_informatik/sysa/ps/beschaeftigte/mitarbeiter/tst_de,,,,
Klaus Kabitzsch,TU Dresden,https://tu-dresden.de/cdd/leitung_und_beteiligte/mitglieder/bereich-mathematik/Kabitzsch,,,,
Jerónimo Castrillón,TU Dresden,https://cfaed.tu-dresden.de/ccc-about,Vez2G1kAAAAJ,1683.0,21.0,2003.0
Christel Baier,TU Dresden,https://wwwtcs.inf.tu-dresden.de/~baier,p8sX7r0AAAAJ,15316.0,52.0,1991.0
Uwe Petersohn,TU Dresden,https://www.inf.tu-dresden.de/content/institutes/ki/awv/Personen/petersohn.de.html,,,,
Christof Fetzer,TU Dresden,https://tu-dresden.de/die_tu_dresden/fakultaeten/fakultaet_informatik/sysa/se/team/people/c_fetzer,H7v4UbgAAAAJ,10673.0,52.0,1994.0
Hermann Haertig,TU Dresden,http://os.inf.tu-dresden.de/~haertig,,,,
Wolfgang Lehner,TU Dresden,https://wwwdb.inf.tu-dresden.de/team/head/wolfgang-lehner,YYzvyMQAAAAJ,9380.0,46.0,1996.0
Heiko Vogler,TU Dresden,http://www.inf.tu-dresden.de/?node_id=1567,,,,
Steffen Friedrich,TU Dresden,https://tu-dresden.de/ing/informatik/smt/das-institut/professuren,,,,
Rainer G. Spallek,TU Dresden,http://forschungsinfo.tu-dresden.de/detail/professur/249,,,,
Franz Baader,TU Dresden,https://lat.inf.tu-dresden.de/~baader,dIVc_FYAAAAJ,34638.0,63.0,1985.0
Uwe Assmann,TU Dresden,http://www1.inf.tu-dresden.de/~ua1,KiiBpMgAAAAJ,3985.0,32.0,1994.0
Ivo F. Sbalzarini,TU Dresden,http://mosaic.mpi-cbg.de/?q=people/ivo_sbalzarini,KPdbUktu0hkC,6731.0,38.0,2000.0
Wolfgang E. Nagel,TU Dresden,https://tu-dresden.de/die_tu_dresden/zentrale_einrichtungen/zih/wir_ueber_uns/mitarbeiter/nagel,,,,
Gerhard Weber,TU Dresden,https://tu-dresden.de/ing/informatik/institut-fuer-angewandte-informatik/mci,eoQw-CMAAAAJ,2625.0,25.0,1987.0
Klaus Meißner,TU Dresden,https://mmt.inf.tu-dresden.de/Team/mitarbeiter.xhtml?id=66,,,,
Steffen Hölldobler,TU Dresden,http://www.computational-logic.org/~sh,,,,
Horst Reichel,TU Dresden,https://wwwtcs.inf.tu-dresden.de/~reichel,,,,
Akash Kumar,TU Dresden,https://www.cfaed.tu-dresden.de/pd-about,XcwvWcUAAAAJ,4450.0,31.0,1955.0
Rainer Groh,TU Dresden,https://tu-dresden.de/ing/informatik/smt/mg/die-professur/mitarbeiter/prof-dr-ing-habil-rainer-groh,1OaQa1kAAAAJ,1099.0,19.0,2013.0
Stefan Gumhold,TU Dresden,https://tu-dresden.de/ing/informatik/smt/cgv,YH2WqxcAAAAJ,5303.0,28.0,1996.0
Johann Sebastian Rudolph,TU Dresden,https://iccl.inf.tu-dresden.de/web/Sebastian_Rudolph/en,b3qVb6IAAAAJ,8197.0,40.0,2001.0
Martin Wollschlaeger,TU Dresden,https://tu-dresden.de/ing/informatik/institut-fuer-angewandte-informatik/professur-fuer-prozesskommunikation/die-professur/inhaber?set_language=en,FNwyHZ4AAAAJ,15.0,2.0,2003.0
