name,affiliation,homepage,scholar_id,citations,h-index,earliest_paper
Karsten Berns,TU Kaiserslautern,https://agrosy.informatik.uni-kl.de/lehrstuhl/lehrstuhl-leiter,KFlzbrUAAAAJ,5441.0,34.0,1991.0
Ralf Hinze,TU Kaiserslautern,https://pl.cs.uni-kl.de/homepage/de/staff/RalfHinze,SGND_ocAAAAJ,4298.0,37.0,1989.0
H. Dieter Rombach,TU Kaiserslautern,http://wwwagse.informatik.uni-kl.de/staff/rombach,T_618nIAAAAJ,12792.0,41.0,1980.0
Stefan Dessloch,TU Kaiserslautern,http://wwwlgis.informatik.uni-kl.de/cms/his/staff/dessloch,XJ7AvACBkB8C,1476.0,18.0,1989.0
Andreas Dengel,TU Kaiserslautern,https://agd.informatik.uni-kl.de/en/team/teaching/prof-dr-prof-hc-andreas-dengel,p3YP0DMAAAAJ,12254.0,52.0,1987.0
Wolfgang Kunz,TU Kaiserslautern,https://www.eit.uni-kl.de/eis/people/kunz,,,,
Achim Ebert,TU Kaiserslautern,https://hci.uni-kl.de/people/achim-ebert,tnoNj9gAAAAJ,1390.0,19.0,1997.0
Norbert Wehn,TU Kaiserslautern,https://ems.eit.uni-kl.de/mitarbeiter/norbert-wehn,sJ9btGAAAAAJ,7378.0,47.0,1986.0
Marius Kloft,TU Kaiserslautern,https://ml.informatik.uni-kl.de,l-BJCdAAAAAJ,5511.0,33.0,
Christoph Grimm,TU Kaiserslautern,https://cps.cs.uni-kl.de/mitarbeiter/christoph-grimm-prof-dr,,,,
Sebastian Michel,TU Kaiserslautern,https://dbis.informatik.uni-kl.de/index.php/en/people/michel,5_e2f04AAAAJ,2879.0,29.0,2000.0
Hans Hagen,TU Kaiserslautern,https://hci.uni-kl.de/people/hans-hagen,g0dxfJMAAAAJ,9367.0,52.0,1972.0
Didier Stricker,TU Kaiserslautern,https://av.dfki.de/members/stricker,ImhXfxgAAAAJ,9564.0,46.0,1997.0
Anthony W. Lin,TU Kaiserslautern,https://anthonywlin.github.io,__5nnYUAAAAJ,1074.0,19.0,2008.0
Marc Herrlich,TU Kaiserslautern,https://sge.eit.uni-kl.de/startseite,eVYyNUMAAAAJ,887.0,15.0,2004.0
Arnd Poetzsch-Heffter,TU Kaiserslautern,https://softech.cs.uni-kl.de/homepage/de/staff/PoetzschHeffter,284TJ1IAAAAJ,2370.0,23.0,
Jens B. Schmitt,TU Kaiserslautern,https://disco.cs.uni-kl.de/index.php/people/jens-schmitt,lmEldBwAAAAJ,4919.0,39.0,1996.0
Nicolas R. Gauger,TU Kaiserslautern,https://www.scicomp.uni-kl.de/team/gauger,RUZ-k4YAAAAJ,2222.0,26.0,2000.0
Paul Lukowicz,TU Kaiserslautern,http://ei.informatik.uni-kl.de,1FIyc9kAAAAJ,15922.0,65.0,1990.0
Pascal Schweitzer,TU Kaiserslautern,http://alg.informatik.uni-kl.de/team/schweitzer,,,,
Heike Jänicke,TU Kaiserslautern,https://via.cs.uni-kl.de/mitarbeiter/prof-dr-heike-leitte,DuiWf98AAAAJ,1811.0,23.0,2006.0
Klaus Schneider,TU Kaiserslautern,https://es.cs.uni-kl.de/people/schneider,,,,
Reinhard Gotzhein,TU Kaiserslautern,https://vs.informatik.uni-kl.de/people/gotzhein,,,,
Christoph Garth,TU Kaiserslautern,https://vis.uni-kl.de/people/garth,IkKWoSIAAAAJ,3839.0,32.0,1989.0
Gerhard Fohler,TU Kaiserslautern,https://rts.eit.uni-kl.de/index.php?id=18&people_action=detail&people_id=3,,,,
Peter Liggesmeyer,TU Kaiserslautern,https://seda.informatik.uni-kl.de/staff-members/prof-liggesmeyer,mztSTlYAAAAJ,2383.0,19.0,1988.0
Katharina Anna Lehmann,TU Kaiserslautern,http://aalab.cs.uni-kl.de/en/gruppe/zweig,UyG7biIAAAAJ,2932.0,24.0,2002.0
