name,affiliation,homepage,scholar_id,citations,h-index,earliest_paper
Thomas A. Runkler,TU Munich,https://www7.in.tum.de/~runkler,9ulZrB8AAAAJ,6744.0,33.0,1993.0
Nils Thuerey,TU Munich,https://wwwcg.in.tum.de/group/persons/thuerey.html,GEehwv8AAAAJ,5899.0,43.0,2002.0
Uwe Baumgarten,TU Munich,http://www.os.in.tum.de/personen/baumgarten,,,,
Rüdiger Westermann,TU Munich,https://wwwcg.in.tum.de/group/persons/westermann.html,a8YUuWwAAAAJ,11409.0,54.0,1990.0
Jorge Curiel-Esparza,TU Munich,https://www7.in.tum.de/~esparza,iyM7fFgAAAAJ,877.0,17.0,1997.0
P. Patrick van der Smagt,TU Munich,https://brml.org/people/smagt,5ybzvbsAAAAJ,13063.0,43.0,1990.0
Reinhard Heckel,TU Munich,http://reinhardheckel.com,ZWV0I7cAAAAJ,2631.0,26.0,2009.0
Daniel Cremers,TU Munich,http://vision.in.tum.de/members/cremers,cXQciMEAAAAJ,53984.0,109.0,1999.0
August-Wilhelm Scheer,TU Munich,http://www.tum-ias.de/people/members/tum-august-wilhelm-scheer-visiting-professors.html,JeUi9iEAAAAJ,22191.0,51.0,1959.0
Helmut Seidl,TU Munich,http://www2.in.tum.de/~seidl,cWGEU94AAAAJ,4893.0,40.0,1985.0
Florian Matthes,TU Munich,https://wwwmatthes.in.tum.de/pages/88bkmvw6y7gx/Prof.-Dr.-Florian-Matthes,3zjU5eIAAAAJ,6959.0,41.0,1988.0
Stephan Günnemann,TU Munich,http://www.kdd.in.tum.de/en/team/guennemann,npqoAWwAAAAJ,7259.0,40.0,2009.0
Javier Esparza,TU Munich,https://www7.in.tum.de/people/detail/index.php?id=people.detail&arg=33,c9qgPSYAAAAJ,11939.0,53.0,1989.0
Hans-Arno Jacobsen,TU Munich,https://www.professoren.tum.de/en/jacobsen-hans-arno,85bt-X0AAAAJ,13089.0,52.0,1987.0
Alfons Kemper,TU Munich,https://db.in.tum.de/~kemper,5n3YivwAAAAJ,13951.0,60.0,1983.0
Jan Kretinsky,TU Munich,https://www7.in.tum.de/~kretinsk,,,,
Alin Albu-Schäffer,TU Munich,https://www.professoren.tum.de/en/albu-schaeffer-alin,yP_zL3gAAAAJ,21665.0,73.0,1996.0
Jana Giceva,TU Munich,https://db.in.tum.de/~giceva,O7xc9uEAAAAJ,585.0,10.0,2008.0
