name,affiliation,homepage,scholar_id,citations,h-index,earliest_paper
Gerti Kappel,TU Wien,https://www.big.tuwien.ac.at/people/gkappel,Rdz0vc8AAAAJ,6995.0,48.0,
Dieter Merkl,TU Wien,http://www.ifs.tuwien.ac.at/~dieter,iWaenYYAAAAJ,3.0,1.0,1994.0
Christian Huemer,TU Wien,https://www.big.tuwien.ac.at/people/chuemer,jJ7BjEoAAAAJ,1693.0,19.0,1993.0
Martina Lindorfer,TU Wien,https://secpriv.tuwien.ac.at/team/martina,9JCtsecAAAAJ,2583.0,20.0,2011.0
Matteo Maffei,TU Wien,https://secpriv.tuwien.ac.at/team/univ_prof_matteo_maffei,WWM2IcAAAAAJ,3646.0,34.0,2003.0
Andreas Rauber,TU Wien,http://www.ifs.tuwien.ac.at/~andi,ZF9JHnUAAAAJ,9196.0,47.0,1990.0
Johann Blieberger,TU Wien,https://www.auto.tuwien.ac.at/index.php/projectsites/185-johann-blieberger,,,,
Hilda Tellioglu,TU Wien,http://hildatellioglu.com,,,,
Georg Fuchsbauer,TU Wien,http://www.di.ens.fr/~fuchsbau,CxHsVWwAAAAJ,2885.0,29.0,2006.0
Thomas Gärtner,TU Wien,https://informatics.tuwien.ac.at/people/thomas-gaertner,sOI8QyoAAAAJ,5248.0,24.0,2001.0
Muhammad Shafique,TU Wien,https://ti.tuwien.ac.at/ecs/people/shafique,xSR276UAAAAJ,8818.0,45.0,1977.0
Michael Wimmer,TU Wien,https://www.cg.tuwien.ac.at/staff/MichaelWimmer.html,pPLc_DoAAAAJ,6621.0,40.0,1998.0
Thomas Grechenig,TU Wien,https://www.big.tuwien.ac.at/people/tgrechenig,,,,
A Min Tjoa,TU Wien,http://www.ifs.tuwien.ac.at/tjoa,x8qCMhcAAAAJ,6069.0,40.0,1976.0
Walter G. Kropatsch,TU Wien,https://www.prip.tuwien.ac.at/people/krw/more/index.php,,,,
Werner Purgathofer,TU Wien,https://www.cg.tuwien.ac.at/staff/WernerPurgathofer.html,,,,
Geraldine Fitzpatrick,TU Wien,http://igw.tuwien.ac.at/hci/people/gfitzpatrick,aUPpNvEAAAAJ,9722.0,53.0,1994.0
Jürgen Cito,TU Wien,http://people.csail.mit.edu/jcito,fj5MiWsAAAAJ,1293.0,16.0,2014.0
Christian Breiteneder,TU Wien,https://www.ims.tuwien.ac.at/people/christian-breiteneder,AvNBy7MAAAAJ,1898.0,22.0,1990.0
Ezio Bartocci,TU Wien,http://www.eziobartocci.com,EeK43rAAAAAJ,3967.0,36.0,2003.0
Schahram Dustdar,TU Wien,https://dsg.tuwien.ac.at/team/sd,0n5S6uUAAAAJ,40576.0,84.0,
