name,affiliation,homepage,scholar_id,citations,h-index,earliest_paper
Ramprasad Saptharishi,Tata Inst. of Fundamental Research,http://www.tcs.tifr.res.in/~ramprasad,Sy-zJGIAAAAJ,1121.0,18.0,2008.0
Pranab Sen,Tata Inst. of Fundamental Research,http://www.tcs.tifr.res.in/~pgdsen,Ka5re30AAAAJ,1260.0,19.0,2000.0
N. Raja,Tata Inst. of Fundamental Research,http://www.tcs.tifr.res.in/~raja,VOKcfrcAAAAJ,37642.0,86.0,1967.0
Jaikumar Radhakrishnan,Tata Inst. of Fundamental Research,http://www.tcs.tifr.res.in/~jaikumar,R-Iyl4gAAAAJ,3561.0,30.0,1990.0
Prahladh Harsha,Tata Inst. of Fundamental Research,http://www.tcs.tifr.res.in/~prahladh,PTv2p1AAAAAJ,1486.0,17.0,1993.0
Piyush Srivastava,Tata Inst. of Fundamental Research,http://www.tifr.res.in/~piyush.srivastava,FiMu254AAAAJ,55.0,5.0,2014.0
Umang Bhaskar,Tata Inst. of Fundamental Research,http://www.tcs.tifr.res.in/~umang,,,,
Vinod M. Prabhakaran,Tata Inst. of Fundamental Research,http://www.tcs.tifr.res.in/~vinodmp,,,,
Hariharan Narayanan,Tata Inst. of Fundamental Research,http://www.tifr.res.in/~hariharan.narayanan,,,,
Arkadev Chattopadhyay,Tata Inst. of Fundamental Research,http://www.tcs.tifr.res.in/~arkadev,CHn1c0IAAAAJ,770.0,15.0,2003.0
Paritosh K. Pandya,Tata Inst. of Fundamental Research,http://www.tcs.tifr.res.in/~pandya,M_FgkWsAAAAJ,3158.0,22.0,1986.0
Telikepalli Kavitha,Tata Inst. of Fundamental Research,http://www.tcs.tifr.res.in/~kavitha,,,,
Sandeep Juneja,Tata Inst. of Fundamental Research,http://www.tcs.tifr.res.in/~sandeepj,Tfgv6VgAAAAJ,2583.0,25.0,1992.0
Rahul Vaze,Tata Inst. of Fundamental Research,http://www.tcs.tifr.res.in/~vaze,,,,
