name,affiliation,homepage,scholar_id,citations,h-index,earliest_paper
David Malah,Technion,http://webee.technion.ac.il/people/DavidMalah,g7CIMSQAAAAJ,11556.0,31.0,1970.0
Itai Arieli,Technion,https://web.iem.technion.ac.il/en/people/userprofile/iarieli.html,NVteqa8AAAAJ,453.0,12.0,2005.0
Nahum Shimkin,Technion,http://webee.technion.ac.il/Sites/People/shimkin,YPptH48AAAAJ,4501.0,32.0,1987.0
Dov Dori,Technion,https://web.iem.technion.ac.il/en/people/userprofile/dori.html,6qOGkHQAAAAJ,7652.0,44.0,1982.0
Erez Karpas,Technion,https://karpase.net.technion.ac.il,Dya6lhgAAAAJ,1333.0,18.0,2009.0
Rann Smorodinsky,Technion,https://web.iem.technion.ac.il/en/people/rann.html,ZAwAVJkAAAAJ,1347.0,17.0,1995.0
Idit Keidar,Technion,http://webee.technion.ac.il/~idish,dH_bwg8AAAAJ,6996.0,43.0,1995.0
Chagit Attiya,Technion,http://hagit.net.technion.ac.il,eoMK92MAAAAJ,9384.0,46.0,1984.0
Kfir Y. Levy,Technion,https://kfiryehud.wixsite.com/kfir-y-levy,dG7KSW0AAAAJ,1107.0,19.0,2011.0
Ariel Orda,Technion,http://webee.technion.ac.il/Sites/People/ArielOrda,HaNGX5gAAAAJ,10483.0,42.0,1985.0
Shahar Kvatinsky,Technion,http://webee.technion.ac.il/people/skva,6KHkduEAAAAJ,5146.0,30.0,2010.0
Ido Tal,Technion,http://webee.technion.ac.il/people/idotal,PgfGXw4AAAAJ,3781.0,17.0,2003.0
Yoav Etsion,Technion,https://yoav.net.technion.ac.il,NxHFDlAAAAAJ,2666.0,26.0,1999.0
Daniel Soudry,Technion,https://sites.google.com/site/danielsoudry,AEBWEm8AAAAJ,10807.0,32.0,2010.0
Shay Kutten,Technion,https://web.iem.technion.ac.il/en/people/userprofile/kutten.html,80P45ZMAAAAJ,9332.0,46.0,1983.0
Ittay Eyal,Technion,http://webee.technion.ac.il/people/ittay,1oUGY7cAAAAJ,6903.0,21.0,2009.0
Uri C. Weiser,Technion,http://webee.technion.ac.il/people/weiser,ctN8BtoAAAAJ,6224.0,30.0,1976.0
Koby Crammer,Technion,http://webee.technion.ac.il/people/koby,,,,
Neri Merhav,Technion,http://webee.technion.ac.il/people/merhav,5CCpiAYAAAAJ,9547.0,50.0,1989.0
Isaac Keslassy,Technion,http://webee.technion.ac.il/~isaac,FEe2JTEAAAAJ,4057.0,28.0,2001.0
Adrian Segall,Technion,http://webee.technion.ac.il/people/segall,dwJenMwAAAAJ,5065.0,34.0,1973.0
Nir Ailon,Technion,http://nailon.net.technion.ac.il,,,,
Yoav Y. Schechner,Technion,http://webee.technion.ac.il/people/yoav,IOkk2uAAAAAJ,10054.0,45.0,1996.0
Yoram Moses,Technion,http://moses.eew.technion.ac.il,X90c-SYAAAAJ,13191.0,33.0,1984.0
Marius Ungarish,Technion,http://www.cs.technion.ac.il/people/unga,,,,
Mirela Ben-Chen,Technion,http://mirela.net.technion.ac.il,19AaowkAAAAJ,3139.0,30.0,2003.0
Ofer Shtrichman,Technion,https://web.iem.technion.ac.il/en/people/userprofile/ofers.html,h0R3z64AAAAJ,6253.0,36.0,1997.0
Oded Shmueli,Technion,http://www.cs.technion.ac.il/people/oshmu,,,,
Michael Kaminski,Technion,http://www.cs.technion.ac.il/people/kaminski,DJDlGv4AAAAJ,13677.0,50.0,1996.0
Irad Yavneh,Technion,http://www.cs.technion.ac.il/people/irad,,,,
