name,affiliation,homepage,scholar_id,citations,h-index,earliest_paper
Sing-Hoi Sze,Texas A&M University,http://faculty.cs.tamu.edu/shsze,wwkGLrcAAAAJ,4275.0,26.0,1995.0
Dezhen Song,Texas A&M University,http://faculty.cs.tamu.edu/dzsong,jdSlREMAAAAJ,2943.0,27.0,1975.0
Guofei Gu,Texas A&M University,http://faculty.cs.tamu.edu/guofei,SRC3O-4AAAAJ,17010.0,54.0,2003.0
Thomas R. Ioerger,Texas A&M University,http://faculty.cs.tamu.edu/ioerger,OfcXtoIAAAAJ,16664.0,59.0,1990.0
John Keyser,Texas A&M University,http://faculty.cs.tamu.edu/keyser,K4o-D-cAAAAJ,3621.0,30.0,1955.0
Tracy Anne Hammond,Texas A&M University,http://srl.tamu.edu,wlp2c0IAAAAJ,4287.0,32.0,2000.0
Chia-che Tsai,Texas A&M University,https://chiachetsai.com,laqfZ-4AAAAJ,988.0,9.0,2010.0
Paul Gratz,Texas A&M University,https://cesg.tamu.edu/faculty/paul-gratz,O9teRZsAAAAJ,3379.0,27.0,2004.0
Jianer Chen,Texas A&M University,http://faculty.cs.tamu.edu/chen,0zVOVQ0AAAAJ,9167.0,49.0,1989.0
Nitesh Saxena,Texas A&M University,https://nsaxena.engr.tamu.edu,_x5BEjoAAAAJ,4824.0,38.0,1975.0
Dylan A. Shell,Texas A&M University,http://robotics.cs.tamu.edu,Qt-JcygAAAAJ,2046.0,23.0,2001.0
Andreas Klappenecker,Texas A&M University,http://faculty.cs.tamu.edu/klappi,QKzwvNgAAAAJ,3116.0,26.0,1994.0
James Caverlee,Texas A&M University,http://faculty.cs.tamu.edu/caverlee,LB1dq_sAAAAJ,8985.0,41.0,2003.0
J. Maurice Rojas,Texas A&M University,http://www.math.tamu.edu/~rojas,gValByUAAAAJ,1367.0,20.0,1991.0
Rabi N. Mahapatra,Texas A&M University,http://codesign.cs.tamu.edu/people/director,PHGvd5cAAAAJ,2576.0,25.0,1988.0
Vivek Sarin,Texas A&M University,http://faculty.cs.tamu.edu/sarin,4vLOo4wAAAAJ,951.0,15.0,1995.0
Scott Schaefer,Texas A&M University,http://faculty.cs.tamu.edu/schaefer,tIgxLTUAAAAJ,6003.0,34.0,2002.0
Catherine C. Marshall,Texas A&M University,https://engineering.tamu.edu/cse/profiles/marshall-catherine.html,n0pDnzwAAAAJ,10302.0,57.0,1987.0
Riccardo Bettati,Texas A&M University,http://faculty.cs.tamu.edu/bettati,LiAGLcwAAAAJ,3625.0,32.0,1990.0
Theodora Chaspari,Texas A&M University,https://engineering.tamu.edu/cse/profiles/chaspari-theodora.html,po1Qa-MAAAAJ,858.0,16.0,2011.0
Valerie E. Taylor,Texas A&M University,https://engineering.tamu.edu/cse/people/vtaylor,UUWrt60AAAAJ,4493.0,31.0,1979.0
Juan A. Garay,Texas A&M University,https://engineering.tamu.edu/cse/profiles/garay-juan.html,pOCh6eAAAAAJ,16141.0,50.0,
Ruihong Huang,Texas A&M University,https://engineering.tamu.edu/cse/people/huang-ruihong,NU2aHWUAAAAJ,1689.0,21.0,2006.0
