name,affiliation,homepage,scholar_id,citations,h-index,earliest_paper
Dan E. Tamir,Texas State University,http://www.cs.txstate.edu/~dt19,zcdcbaIAAAAJ,997.0,18.0,1988.0
Mina Guirguis,Texas State University,http://www.cs.txstate.edu/~mg65,EmKNVr8AAAAJ,985.0,14.0,2003.0
Qijun Gu,Texas State University,http://www.cs.txstate.edu/~qg11,aN3QQRIAAAAJ,877.0,17.0,2002.0
Wuxu Peng,Texas State University,http://keystone.cs.txstate.edu/personal,,,,
Apan Qasem,Texas State University,http://www.cs.txstate.edu/~aq10,CxAVF0YAAAAJ,532.0,11.0,2000.0
Martin Burtscher,Texas State University,http://www.cs.txstate.edu/~mb92,0-AkVWwAAAAJ,5984.0,37.0,1998.0
Anne H. H. Ngu,Texas State University,http://www.cs.txstate.edu/~hn12,cJtgkAUAAAAJ,10528.0,34.0,1989.0
Hongchi Shi,Texas State University,http://www.cs.txstate.edu/~hs15,7JCvYpwAAAAJ,2445.0,25.0,1992.0
Moonis Ali,Texas State University,http://www.cs.txstate.edu/~ma04,,,,
Xiao Chen,Texas State University,http://www.cs.txstate.edu/~xc10,akJJCpEAAAAJ,728.0,15.0,1999.0
Ziliang Zong,Texas State University,http://cs.txstate.edu/~zz11,oQifbU0AAAAJ,2536.0,23.0,2004.0
Vangelis Metsis,Texas State University,http://cs.txstate.edu/~v_m137,7hDSfoQAAAAJ,2404.0,17.0,2006.0
C. Jinshong Hwang,Texas State University,https://cs.txstate.edu/accounts/profiles/ch01,,,,
John Durrett,Texas State University,https://cs.txstate.edu/accounts/profiles/hd01,,,,
Byron J. Gao,Texas State University,http://cs.txstate.edu/~jg66,HwB09lAAAAAJ,1056.0,20.0,2004.0
Oleg Komogortsev,Texas State University,http://cs.txstate.edu/~ok11,i96gkYMAAAAJ,3293.0,30.0,2001.0
Kecheng Yang,Texas State University,http://cs.txstate.edu/~k_y47,lfM6otYAAAAJ,420.0,12.0,2014.0
Tanzima Z. Islam,Texas State University,https://www.tanzimaislam.com,q56uneAAAAAJ,529.0,10.0,2006.0
Chul-Ho Lee,Texas State University,https://sites.google.com/site/chulholeesite,hxzrx3kAAAAJ,573.0,13.0,2004.0
Rodion M. Podorozhny,Texas State University,http://www.cs.txstate.edu/~rp31,,,,
Jelena Tesic,Texas State University,http://cs.txstate.edu/~j_t463,jRLy9uoAAAAJ,2900.0,22.0,1997.0
