name,affiliation,homepage,scholar_id,citations,h-index,earliest_paper
Michael Gelfond,Texas Tech University,http://redwood.cs.ttu.edu/~mgelfond,IcXx2DkAAAAJ,12453.0,43.0,1985.0
Sunho Lim,Texas Tech University,http://www.depts.ttu.edu/cs/faculty/faculty.php?name=Sunho%20Lim,FoKKBqAAAAAJ,1018.0,19.0,2001.0
Michael E. Shin,Texas Tech University,https://www.depts.ttu.edu/cs/faculty/michael_eonsuk_shin/index.php,,,,
Mahshid Mojtabavi Naeini,Texas Tech University,https://www.depts.ttu.edu/provost/facultybios/2014/m-rahnamay-naeini.php,NOSCHOLARPAGE,,,
Abdul Serwadda,Texas Tech University,http://www.depts.ttu.edu/CS/faculty/faculty.php?name=Abdul%20Serwadda,0YfFzzUAAAAJ,1025.0,16.0,2010.0
Susan A. Mengel,Texas Tech University,http://www.depts.ttu.edu/CS/faculty/faculty.php?name=Susan%20A.%20Mengel,,,,
Richard Watson,Texas Tech University,http://www.depts.ttu.edu/cs/faculty/faculty.php?name=Richard%20Watson,,,,
Yu Zhuang,Texas Tech University,http://www.depts.ttu.edu/cs/faculty/faculty.php?name=Yu%20Zhuang,,,,
Dang Tuan Nhon,Texas Tech University,http://www.myweb.ttu.edu/tnhondan,jobGGfEAAAAJ,1079.0,18.0,2009.0
Nahid Farhady Ghalaty,Texas Tech University,http://www.depts.ttu.edu/cs/department/seminars.php,XvZws6sAAAAJ,537.0,11.0,2011.0
Rattikorn Hewett,Texas Tech University,http://www.depts.ttu.edu/cs/faculty/faculty.php?name=Rattikorn%20Hewett,,,,
Yuanlin Zhang,Texas Tech University,http://www.depts.ttu.edu/cs/faculty/faculty.php?name=Yuanlin%20Zhang,1W7pOqkAAAAJ,1606.0,18.0,1998.0
J. Nelson Rushton,Texas Tech University,http://www.depts.ttu.edu/cs/department/seminars.php,,,,
Yong Chen,Texas Tech University,http://www.myweb.ttu.edu/yonchen,PHVKUhEAAAAJ,2544.0,25.0,2004.0
Sepideh Ghanavati,Texas Tech University,https://www.depts.ttu.edu/provost/facultybios/2016/sepideh-ghanavati.php,cZL5a0gAAAAJ,1556.0,18.0,2007.0
