name,affiliation,homepage,scholar_id,citations,h-index,earliest_paper
H. Harry Zhou,Towson University,https://www.towson.edu/fcsm/departments/computerinfosci/facultystaff/hzhou.html,,,,
Charles Dierbach,Towson University,https://www.towson.edu/fcsm/departments/computerinfosci/facultystaff/cdierbach.html,,,,
Josh Dehlinger,Towson University,https://www.towson.edu/fcsm/departments/computerinfosci/facultystaff/jdehlinger.html,cT_f9fkAAAAJ,1014.0,17.0,2004.0
Alexander L. Wijesinha,Towson University,https://www.towson.edu/fcsm/departments/computerinfosci/facultystaff/awijesinha.html,,,,
Joyram Chakraborty,Towson University,https://www.towson.edu/fcsm/departments/computerinfosci/facultystaff/jchakraborty.html,f2xPyYoAAAAJ,355.0,8.0,2005.0
Michael McGuire,Towson University,https://www.towson.edu/fcsm/departments/computerinfosci/facultystaff/mmcguire.html,,,,
Nadim W. Alkharouf,Towson University,https://www.towson.edu/fcsm/departments/computerinfosci/facultystaff/nalkharouf.html,xVUBtLkAAAAJ,3323.0,31.0,2003.0
Nam Nguyen,Towson University,https://www.towson.edu/fcsm/departments/computerinfosci/facultystaff/nnguyen.html,aJcBWkgAAAAJ,1735.0,18.0,2008.0
Robert J. Hammell,Towson University,https://www.towson.edu/fcsm/departments/computerinfosci/facultystaff/rhammell.html,,,,
Suranjan Chakraborty,Towson University,https://www.towson.edu/fcsm/departments/computerinfosci/facultystaff/schakraborty.html,IoDHDz8AAAAJ,1080.0,14.0,2005.0
Marius Zimand,Towson University,https://www.towson.edu/fcsm/departments/computerinfosci/facultystaff/mzimand.html,_7Mz5cQAAAAJ,697.0,16.0,1983.0
Ramesh K. Karne,Towson University,http://orion.towson.edu/~karne,,,,
Subrata Acharya,Towson University,https://www.towson.edu/fcsm/departments/computerinfosci/facultystaff/sacharya.html,,,,
Sandro Fouché,Towson University,https://www.towson.edu/fcsm/departments/computerinfosci/facultystaff/sfouche.html,,,,
Wei Yu,Towson University,https://www.towson.edu/fcsm/departments/computerinfosci/facultystaff/wyu.html,wwupv28AAAAJ,354.0,12.0,2005.0
Sung-Chul Hong,Towson University,https://www.towson.edu/fcsm/departments/computerinfosci/facultystaff/shong.html,,,,
Shiva Azadegan,Towson University,http://cis1.towson.edu/~cisweb/dev/?staff=azadegan-shiva,,,,
Gabriele Meiselwitz,Towson University,https://www.towson.edu/fcsm/departments/computerinfosci/facultystaff/gmeiselwitz.html,,,,
Darush Davani,Towson University,https://www.towson.edu/fcsm/departments/computerinfosci/facultystaff/ddavani.html,,,,
Yeong-Tae Song,Towson University,https://www.towson.edu/fcsm/departments/computerinfosci/facultystaff/ysong.html,,,,
Yanggon Kim,Towson University,https://www.towson.edu/fcsm/departments/computerinfosci/facultystaff/ykim.html,,,,
Chao Lu,Towson University,https://www.towson.edu/fcsm/departments/computerinfosci/facultystaff/clu.html,,,,
Siddharth Kaza,Towson University,https://www.towson.edu/fcsm/departments/computerinfosci/facultystaff/skaza.html,xj0-4yQAAAAJ,882.0,16.0,2004.0
Mike O'Leary,Towson University,https://www.towson.edu/fcsm/departments/mathematics/facultystaff/moleary.html,GFenUwUAAAAJ,562.0,13.0,1993.0
