name,affiliation,homepage,scholar_id,citations,h-index,earliest_paper
Anselm Blumer,Tufts University,http://www.cs.tufts.edu/~ablumer,4esyQS4AAAAJ,5278.0,13.0,1982.0
Bert C. Huang,Tufts University,http://berthuang.com,TrqegZIAAAAJ,4200.0,31.0,2007.0
Diane L. Souvaine,Tufts University,http://provost.tufts.edu/about/about-the-office/diane-souvaine,QTRDjTUAAAAJ,2093.0,25.0,1985.0
Lenore Cowen,Tufts University,http://www.cs.tufts.edu/~cowen,TarR6_8AAAAJ,3715.0,29.0,1986.0
Elaine Schaertl Short,Tufts University,https://engineering.tufts.edu/people/faculty/elaine-schaertl-short,J1awhoMAAAAJ,708.0,13.0,2009.0
Jeffrey S. Foster,Tufts University,http://www.cs.umd.edu/~jfoster,QWPwfsgAAAAJ,8989.0,44.0,1956.0
Alva L. Couch,Tufts University,http://www.cs.tufts.edu/~couch,7oJoP0IAAAAJ,1254.0,19.0,1960.0
Michael C. Hughes,Tufts University,https://www.michaelchughes.com,ugSmcnoAAAAJ,1307.0,16.0,2012.0
Matthias Scheutz,Tufts University,http://www.cs.tufts.edu/Faculty/matthias-scheutz.html,5yT3GScAAAAJ,9874.0,51.0,1995.0
Samuel Z. Guyer,Tufts University,http://www.cs.tufts.edu/~sguyer,3X9nW80AAAAJ,3478.0,22.0,1999.0
Jan P. de Ruiter,Tufts University,http://www.uni-bielefeld.de/lili/personen/jruiter,,,,
Fahad R. Dogar,Tufts University,http://www.cs.tufts.edu/Faculty/fahad-dogar.html,KPjFQ4AAAAAJ,1485.0,13.0,2004.0
Remco Chang,Tufts University,http://www.cs.tufts.edu/~remco,Q29WmWwAAAAJ,4922.0,38.0,2001.0
Robert J. K. Jacob,Tufts University,http://www.cs.tufts.edu/~jacob,FWjqglcAAAAJ,15183.0,52.0,1976.0
Soha Hassoun,Tufts University,http://www.cs.tufts.edu/~soha,tR5MNfkAAAAJ,2789.0,23.0,1987.0
Daniel Votipka,Tufts University,https://www.eecs.tufts.edu/~dvotipka,1LmUdRkAAAAJ,608.0,10.0,2011.0
Li-Ping Liu,Tufts University,https://www.eecs.tufts.edu/~liulp,aFaGunAAAAAJ,470.0,10.0,2008.0
Norman Ramsey,Tufts University,http://www.cs.tufts.edu/~nr,7QTGa98AAAAJ,2553.0,24.0,1950.0
Donna K. Slonim,Tufts University,http://www.cs.tufts.edu/~slonim,i3pEsbgAAAAJ,28867.0,38.0,1991.0
