name,affiliation,homepage,scholar_id,citations,h-index,earliest_paper
Aron Culotta,Tulane University,http://www.cs.tulane.edu/~aculotta,481oUzkAAAAJ,6419.0,33.0,2003.0
Brian Summa,Tulane University,http://www.cs.tulane.edu/~bsumma,QKJVjcIAAAAJ,492.0,13.0,2009.0
Michael W. Mislove,Tulane University,http://www.cs.tulane.edu/~mwm,tMa-iJ8AAAAJ,6014.0,20.0,1969.0
Jihun Hamm,Tulane University,http://www.cs.tulane.edu/~jhamm3,DdRsMKsAAAAJ,3366.0,23.0,2001.0
Carola Wenk,Tulane University,http://www.cs.tulane.edu/~carola,JLWWzugAAAAJ,3898.0,29.0,1997.0
K. Brent Venable,Tulane University,http://www2.tulane.edu/sse/cs/faculty/k-brent-venable.cfm,iqkTonoAAAAJ,2600.0,29.0,2001.0
Zizhan Zheng,Tulane University,http://www2.tulane.edu/sse/cs/faculty/zizhan-zheng.cfm,B1v2AUYAAAAJ,1398.0,17.0,2003.0
Ramgopal Mettu,Tulane University,http://www2.tulane.edu/sse/cs/faculty/ramgopal-mettu.cfm,gHZTKpkAAAAJ,964.0,15.0,1999.0
Nicholas Mattei,Tulane University,http://www2.tulane.edu/sse/cs/faculty/nicholas-mattei.cfm,bUAYDkIAAAAJ,2489.0,28.0,2008.0
Zhengming Ding,Tulane University,https://sse.tulane.edu/cs/faculty/Ding,TKbyRRsAAAAJ,3930.0,38.0,2012.0
