name,affiliation,homepage,scholar_id,citations,h-index,earliest_paper
Terrance E. Boult,UCCS,http://www.cs.uccs.edu/~tboult,fF1B7mAAAAAJ,14259.0,59.0,1984.0
Qing Yi,UCCS,http://www.cs.uccs.edu/~qyi,jDXlUyQAAAAJ,41165.0,99.0,1993.0
Jugal K. Kalita,UCCS,http://www.cs.uccs.edu/~kalita,dXITneMAAAAJ,9854.0,43.0,1984.0
C. Edward Chow,UCCS,http://www.cs.uccs.edu/~chow,xLIQ4PYAAAAJ,1283.0,16.0,
Xiaobo Zhou,UCCS,http://cs.uccs.edu/~zbo,cQz8z1gAAAAJ,15817.0,62.0,1982.0
Sudhanshu Kumar Semwal,UCCS,http://cs.uccs.edu/~semwal/semwal.html,zZ_Cns8AAAAJ,516.0,11.0,1984.0
Sang-Yoon Chang,UCCS,https://academics.uccs.edu/~schang2,m9j4C0gAAAAJ,508.0,12.0,2009.0
Rory A. Lewis,UCCS,https://www.rorylewis.com,MclvcTIAAAAJ,620.0,12.0,2005.0
Philip N. Brown,UCCS,http://cs.uccs.edu/~pbrown2/index.html,3vqqlMwAAAAJ,257.0,8.0,2005.0
Jonathan D. Ventura,UCCS,http://jventura.net,k0E68OgAAAAJ,2174.0,19.0,
Shouhuai Xu,UCCS,https://xu-lab.org,XBj4HWoAAAAJ,8264.0,47.0,
Kristen Walcott-Justice,UCCS,http://cs.uccs.edu/~kjustice,5QcR0JYAAAAJ,985.0,11.0,2004.0
A. T. Chamillard,UCCS,http://www.uccs.edu/cs/about/faculty/tim-chamillard.html,,,,
Gedare Bloom,UCCS,https://gedare.github.io,8ZBnSl4AAAAJ,725.0,13.0,2009.0
Yanyan Zhuang,UCCS,http://www.cs.uccs.edu/~yzhuang,jIgMxhEAAAAJ,1094.0,18.0,2007.0
