name,affiliation,homepage,scholar_id,citations,h-index,earliest_paper
Marcelo Henriques de Carvalho,UFMS,https://www.facom.ufms.br/~mhc,Q_F5v5wAAAAJ,369.0,11.0,1995.0
Fábio Viduani Martinez,UFMS,https://www.facom.ufms.br/~fhvm,Z1BcD-UAAAAJ,178.0,6.0,2005.0
Paulo A. Pagliosa,UFMS,https://www.facom.ufms.br/~pagliosa,lNUJYtwAAAAJ,508.0,14.0,1994.0
Nalvo F. de Almeida Jr,UFMS,https://www.facom.ufms.br/~nalvo,kU9d-GIAAAAJ,5858.0,26.0,1982.0
Nahri Moreano,UFMS,https://www.facom.ufms.br/~nahri,,,,
Ricardo Santos,UFMS,https://www.facom.ufms.br/~ricardo,,,,
Bruno M. Nogueira,UFMS,https://www.facom.ufms.br/~bruno,Its8CZUAAAAJ,261.0,10.0,2005.0
Ronaldo A. Ferreira,UFMS,https://www.facom.ufms.br/~raf,WlY9jd8AAAAJ,568.0,12.0,2003.0
Bruno B. P. Cafeo,UFMS,https://www.facom.ufms.br/~cafeo,FRfEKzcAAAAJ,232.0,7.0,2010.0
E. N. Cáceres,UFMS,https://www.facom.ufms.br/~edson,,,,
Edson Takashi Matsubara,UFMS,https://www.facom.ufms.br/~edsontm,,,,
