name,affiliation,homepage,scholar_id,citations,h-index,earliest_paper
Elaine R. Faria,UFU,http://www.facom.ufu.br/~elaine,,,,
Denise Guliato,UFU,http://www.facom.ufu.br/~guliato,,,,
André R. Backes,UFU,http://www.facom.ufu.br/~backes,cLea7iUAAAAJ,1991.0,22.0,2005.0
Rita Maria da Silva Julia,UFU,http://www.ppgco.facom.ufu.br/pt-br/pessoas/rita-maria-da-silva-julia,r6n8sIQAAAAJ,168.0,8.0,1995.0
Humberto Luiz Razente,UFU,http://www.facom.ufu.br/~humberto,t2SVE_UAAAAJ,579.0,12.0,2002.0
Pedro Frosi Rosa,UFU,http://www.facom.ufu.br/~frosi,iRbluD4AAAAJ,713.0,14.0,1980.0
Fabiano A. Dorça,UFU,http://www.facom.ufu.br/~fabiano,dKPrOQIAAAAJ,885.0,14.0,2002.0
Márcia A. Fernandes,UFU,http://www.ppgco.facom.ufu.br/pt-br/pessoas/marcia-aparecida-fernandes,U_SI5mwAAAAJ,639.0,13.0,2002.0
Rodrigo Sanches Miani,UFU,http://www.facom.ufu.br/~miani,nQF_Pk8AAAAJ,1052.0,11.0,2008.0
João Henrique de Souza Pereira,UFU,http://www.portal.facom.ufu.br/node/420,EggKHjwAAAAJ,204.0,7.0,2004.0
Carlos Eduardo R. Lopes,UFU,http://www.facom.ufu.br/~crlopes,,,,
Jose Gustavo Paiva,UFU,http://www.facom.ufu.br/~jgustavo,k0MT90YAAAAJ,326.0,8.0,2006.0
Maria Camila Nardini Barioni,UFU,http://www.facom.ufu.br/~camila,f0ib3vMAAAAJ,600.0,12.0,2001.0
Shigueo Nomura,UFU,http://www.ppgco.facom.ufu.br/pt-br/pessoas/shigueo-nomura,,,,
Flávio Oliveira Silva,UFU,http://www.facom.ufu.br/~flavio,SW_VMq4AAAAJ,398.0,11.0,2004.0
Marcelo de Almeida Maia,UFU,http://www.facom.ufu.br/~marcmaia,AkhgR1AAAAAJ,901.0,16.0,1995.0
Rafael Pasquini,UFU,http://www.facom.ufu.br/~pasquini,Qt7oyS0AAAAJ,847.0,12.0,2005.0
Autran Macedo,UFU,http://www.facom.ufu.br/~autran,4dU3acUAAAAJ,275.0,9.0,1993.0
Bruno A. N. Travençolo,UFU,http://www.ppgco.facom.ufu.br/pt-br/pessoas/bruno-augusto-nassif-travencolo,EK0RFxgAAAAJ,733.0,13.0,2005.0
Jefferson R. Souza,UFU,http://www.ppgco.facom.ufu.br/pt-br/pessoas/jefferson-rodrigo-de-souza,AmdqjLsAAAAJ,554.0,13.0,2009.0
Lásaro J. Camargos,UFU,http://www.ppgco.facom.ufu.br/pt-br/pessoas/lasaro-jonas-camargos,ZTKP1OwAAAAJ,246.0,7.0,2003.0
Luiz G. A. Martins,UFU,http://www.facom.ufu.br/~gustavo,2p2GbVYAAAAJ,293.0,9.0,2006.0
Renan G. Cattelan,UFU,http://www.facom.ufu.br/~renan,c4ncSUUAAAAJ,1083.0,18.0,2002.0
Rivalino Matias,UFU,http://www.facom.ufu.br/~rivalino,ldNItkAAAAAJ,1590.0,20.0,2006.0
Laurence Rodrigues do Amaral,UFU,http://www.ppgco.facom.ufu.br/pt-br/pessoas/laurence-rodrigues-amaral,vT0a-8sAAAAJ,899.0,13.0,2001.0
Marcelo Zanchetta do Nascimento,UFU,http://www.facom.ufu.br/~nascimento,qCLjRUFiICAC,949.0,16.0,2000.0
Marcelo Keese Albertini,UFU,http://www.facom.ufu.br/~albertini,,,,
Paulo Henrique Ribeiro Gabriel,UFU,http://www.facom.ufu.br/~phrg,,,,
Stéphane Julia,UFU,http://www.ppgco.facom.ufu.br/pt-br/pessoas/stephane-julia,,,,
Célia A. Z. Barcelos,UFU,http://www.ppgco.facom.ufu.br/en/pessoas/celia-aparecida-zorzo-barcelos,f9fPNbsAAAAJ,883.0,13.0,1990.0
Gina M. B. Oliveira,UFU,http://www.facom.ufu.br/posgrad/prof/gina,26rmXXIAAAAJ,1082.0,19.0,1999.0
