name,affiliation,homepage,scholar_id,citations,h-index,earliest_paper
Dazhao Cheng,UNC - Charlotte,https://webpages.uncc.edu/dcheng3,rRsraIwAAAAJ,867.0,15.0,2013.0
Wenwen Dou,UNC - Charlotte,https://cci.uncc.edu/directory/wenwen-dou,,,,
Aidong Lu,UNC - Charlotte,https://webpages.uncc.edu/alu1,,,,
Kalpathi R. Subramanian,UNC - Charlotte,https://cci.uncc.edu/computer-science/45/5,dKJr2vwAAAAJ,1400.0,17.0,1987.0
Dong Dai,UNC - Charlotte,https://webpages.charlotte.edu/ddai,wGF_4JsAAAAJ,398.0,12.0,2011.0
Bojan Cukic,UNC - Charlotte,https://cci.uncc.edu/directory/bojan-cukic,B7N812UAAAAJ,8851.0,38.0,1993.0
Wlodek Zadrozny,UNC - Charlotte,https://cci.uncc.edu/directory/wlodek-zadrozny,PwdKImsAAAAJ,8904.0,48.0,1976.0
Min Shin,UNC - Charlotte,https://viscenter.uncc.edu/min-shin,,,,
Erik Saule,UNC - Charlotte,https://webpages.uncc.edu/~esaule/public-website/welcome.html,,,,
Zachary Wartell,UNC - Charlotte,https://cci.uncc.edu/directory/zachary-wartell,,,,
Ashit Talukder,UNC - Charlotte,https://analyticsfrontiers.uncc.edu/speakers/ashit-talukder-phd,,,,
Samira Shaikh,UNC - Charlotte,https://analyticsfrontiers.uncc.edu/speakers/samira-shaikh,,,,
Shaoting Zhang,UNC - Charlotte,https://webpages.uncc.edu/~szhang16,oiBMWK4AAAAJ,11087.0,52.0,2005.0
Zbigniew W. Ras,UNC - Charlotte,https://webpages.uncc.edu/ras,2ihGAJkAAAAJ,3821.0,30.0,1976.0
Razvan C. Bunescu,UNC - Charlotte,https://webpages.uncc.edu/rbunescu,fi4HWW8AAAAJ,11631.0,34.0,2000.0
Jing Yang,UNC - Charlotte,https://webpages.uncc.edu/jyang13,r1jAycQAAAAJ,3002.0,29.0,2002.0
Srinivas Akella,UNC - Charlotte,https://webpages.uncc.edu/sakella,,,,
Amirmohammad Rooshenas,UNC - Charlotte,https://rooshenas.github.io,ncHbkrQAAAAJ,412.0,6.0,2010.0
Keh-Hsun Chen,UNC - Charlotte,https://webpages.uncc.edu/chen,,,,
