name,affiliation,homepage,scholar_id,citations,h-index,earliest_paper
Onofre Trindade Júnior,USP-ICMC,http://icmc.usp.br/pessoas?id=170745,,,,
Elaine P. M. de Sousa,USP-ICMC,http://icmc.usp.br/pessoas?id=907405,uUuZoD4AAAAJ,436.0,11.0,2000.0
Sandra M. Aluísio,USP-ICMC,http://icmc.usp.br/pessoas?id=109687,9mDOHngAAAAJ,3432.0,31.0,1989.0
Eduardo Marques,USP-ICMC,http://icmc.usp.br/pessoas?id=178099,,,,
Eduardo R. Hruschka,USP-ICMC,http://icmc.usp.br/pessoas?id=11216567,KGgOhbAAAAAJ,5781.0,34.0,1970.0
Ricardo J. G. B. Campello,USP-ICMC,http://icmc.usp.br/pessoas?id=11548141,jh1yfPIAAAAJ,7473.0,35.0,1997.0
Maria Cristina Ferreira de Oliveira,USP-ICMC,http://icmc.usp.br/pessoas?id=176869,vhRUZogAAAAJ,3796.0,29.0,1990.0
Maria G. C. Pimentel,USP-ICMC,http://conteudo.icmc.usp.br/pessoas/mgp,2z--uNYAAAAJ,2469.0,22.0,1989.0
Paulo S. L. Souza,USP-ICMC,http://icmc.usp.br/pessoas?id=3258655,vyS6TH4AAAAJ,808.0,16.0,1996.0
Moacir A. Ponti,USP-ICMC,http://www.icmc.usp.br/pessoas/moacir,ZxQDyNcAAAAJ,1604.0,22.0,2004.0
Adenilso Simão,USP-ICMC,http://icmc.usp.br/pessoas?id=6078529,gdT5wnMAAAAJ,1712.0,23.0,2000.0
Agma J. M. Traina,USP-ICMC,http://icmc.usp.br/pessoas?id=4170385,v2-C4i4AAAAJ,6558.0,36.0,1987.0
Roseli A. F. Romero,USP-ICMC,http://conteudo.icmc.usp.br/pessoas/rafrance,pdtTa-8AAAAJ,2262.0,21.0,
Diego R. Amancio,USP-ICMC,http://icmc.usp.br/pessoas?id=10793181,WHdCNq0AAAAJ,2547.0,32.0,2008.0
Rosane Minghim,USP-ICMC,http://www.lcad.icmc.usp.br/~rosane,TodwpSwAAAAJ,4413.0,29.0,1991.0
Sarita Mazzini Bruschi,USP-ICMC,http://icmc.usp.br/pessoas?id=3768967,WC0YcfkAAAAJ,283.0,10.0,1997.0
Cristina Dutra de Aguiar Ciferri,USP-ICMC,http://icmc.usp.br/pessoas?id=10715527,bFhMDLMAAAAJ,759.0,15.0,1997.0
Ellen F. Barbosa,USP-ICMC,http://www.labes.icmc.usp.br/site/content/ellen-francine-barbosa-profa-dra,rWEar9sAAAAJ,2155.0,25.0,1997.0
Rudinei Goularte,USP-ICMC,http://icmc.usp.br/pessoas?id=4325947,6lc68RgAAAAJ,834.0,15.0,1997.0
André C. P. L. F. Carvalho,USP-ICMC,http://www.cemeai.icmc.usp.br/andre,,,,
Simone R. S. Souza,USP-ICMC,http://icmc.usp.br/pessoas?id=3685313,EhrqxfYAAAAJ,1265.0,18.0,1995.0
Seiji Isotani,USP-ICMC,http://icmc.usp.br/pessoas?id=6064889,GKphfGsAAAAJ,5686.0,37.0,1979.0
Alexandre C. B. Delbem,USP-ICMC,http://icmc.usp.br/pessoas?id=470689,LYsCAa4AAAAJ,3138.0,27.0,1993.0
Júlio Cezar Estrella,USP-ICMC,http://icmc.usp.br/pessoas?id=10112875,uDdnClUAAAAJ,1336.0,16.0,2005.0
Vanderlei Bonato,USP-ICMC,http://lcr.icmc.usp.br/web/members/vanderlei-bonato/index.html,zpk7tC0AAAAJ,655.0,11.0,2003.0
Alneu de Andrade Lopes,USP-ICMC,http://conteudo.icmc.usp.br/pessoas/alneu,3ejEglwAAAAJ,1645.0,21.0,1995.0
Solange O. Rezende,USP-ICMC,http://icmc.usp.br/pessoas?id=130627,e2GNtdIAAAAJ,3343.0,24.0,1970.0
João Luís Garcia Rosa,USP-ICMC,http://conteudo.icmc.usp.br/pessoas/joaoluis,YsO1rOUAAAAJ,809.0,15.0,1993.0
Márcio E. Delamaro,USP-ICMC,http://conteudo.icmc.usp.br/pessoas/delamaro,htqWT0IAAAAJ,3935.0,31.0,1993.0
Gustavo E. A. P. A. Batista,USP-ICMC,http://conteudo.icmc.usp.br/pessoas/gbatista,takZ6KIAAAAJ,11900.0,40.0,1997.0
Thiago A. S. Pardo,USP-ICMC,http://conteudo.icmc.usp.br/pessoas/taspardo,J4kg7ZYAAAAJ,3495.0,32.0,1996.0
Fernando Santos Osório,USP-ICMC,http://conteudo.icmc.usp.br/pessoas/fosorio/fosorio-usp.html,RHVtgb0AAAAJ,2966.0,24.0,1990.0
Edson dos Santos Moreira,USP-ICMC,http://conteudo.icmc.usp.br/pessoas/edson,QisD2NoAAAAJ,1033.0,15.0,1987.0
Elisa Yumi Nakagawa,USP-ICMC,http://conteudo.icmc.usp.br/pessoas/elisa,Yy5b_ZQAAAAJ,2996.0,29.0,1997.0
Rosana T. V. Braga,USP-ICMC,http://conteudo.icmc.usp.br/pessoas/rtvb,hib1SKYAAAAJ,999.0,15.0,1998.0
Jo Ueyama,USP-ICMC,http://conteudo.icmc.usp.br/pessoas/joueyama,OXlxfi4AAAAJ,3037.0,25.0,2001.0
Dilvan A. Moreira,USP-ICMC,http://conteudo.icmc.usp.br/pessoas/dilvan,y15S2JcAAAAJ,713.0,13.0,1991.0
Denis F. Wolf,USP-ICMC,http://conteudo.icmc.usp.br/pessoas/denis,ncy_2xUAAAAJ,3904.0,31.0,1987.0
Francisco José Monaco,USP-ICMC,http://icmc.usp.br/pessoas?id=1678183,EXey2yQAAAAJ,237.0,7.0,1995.0
Caetano Traina,USP-ICMC,http://conteudo.icmc.usp.br/pessoas/caetano,h2ivd3AAAAAJ,5380.0,33.0,1986.0
Renata P. M. Fortes,USP-ICMC,http://conteudo.icmc.usp.br/pessoas/renata,ktrb610AAAAJ,3089.0,27.0,1991.0
Marcelo G. Manzato,USP-ICMC,http://icmc.usp.br/pessoas?id=10111721,enmhJywAAAAJ,507.0,13.0,2005.0
Claudio Fabiano Motta Toledo,USP-ICMC,http://icmc.usp.br/pessoas?id=14662391,oiW7E1IAAAAJ,1327.0,18.0,2002.0
José F. Rodrigues Jr.,USP-ICMC,http://conteudo.icmc.usp.br/pessoas/junio/Site/index.htm,2ekgPGkAAAAJ,1106.0,16.0,1975.0
Kalinka Branco,USP-ICMC,http://conteudo.icmc.usp.br/pessoas/kalinka,XMwzMF8AAAAJ,1018.0,17.0,2000.0
João Porto de Albuquerque,USP-ICMC,http://icmc.usp.br/pessoas?id=12735561,O0p2PRoAAAAJ,3761.0,32.0,1992.0
Eduardo do Valle Simões,USP-ICMC,http://conteudo.icmc.usp.br/pessoas/simoes,acJCV0AAAAAJ,458.0,13.0,1994.0
João Batista Neto,USP-ICMC,http://conteudo.icmc.usp.br/pessoas/jbatista,,,,
Rodrigo Fernandes de Mello,USP-ICMC,http://conteudo.icmc.usp.br/pessoas/mello,DYjyZjgAAAAJ,1659.0,21.0,
