name,affiliation,homepage,scholar_id,citations,h-index,earliest_paper
Ligang Liu,USTC,http://staff.ustc.edu.cn/~lgliu,1U9U_cYAAAAJ,7895.0,47.0,1998.0
Xiang-Yang Li,USTC,http://staff.ustc.edu.cn/~xiangyangli,JURtNb0AAAAJ,26522.0,84.0,1998.0
Nikolaos M. Freris,USTC,http://staff.ustc.edu.cn/~nfr,j38QfhkAAAAJ,1309.0,17.0,2005.0
Linli Xu,USTC,http://staff.ustc.edu.cn/~linlixu/index.html,,,,
Kai Xing,USTC,http://staff.ustc.edu.cn/~kxing,Z-UCpSoAAAAJ,3319.0,26.0,2005.0
Hu Ding,USTC,http://staff.ustc.edu.cn/~huding/index.html,D1-liJEAAAAJ,496.0,12.0,2011.0
Lan Zhang,USTC,http://cs.ustc.edu.cn/2016/0923/c3050a23918/page.htm,83QxmA8AAAAJ,1685.0,23.0,2010.0
Wei Gong,USTC,http://staff.ustc.edu.cn/~weigong,CtbzNl8AAAAJ,1561.0,25.0,2009.0
Defu Lian,USTC,http://staff.ustc.edu.cn/~liandefu,QW0ad4sAAAAJ,4154.0,31.0,2008.0
Naijie Gu,USTC,http://dsxt.ustc.edu.cn/zj_ywjs.asp?zzid=745,,,,
Xuehai Zhou,USTC,http://staff.ustc.edu.cn/~xhzhou,,,,
Huanhuan Chen,USTC,http://staff.ustc.edu.cn/~hchen,,,,
Xiangnan He,USTC,http://staff.ustc.edu.cn/~hexn,X45Go24AAAAJ,18811.0,58.0,2010.0
Qi Liu,USTC,http://staff.ustc.edu.cn/~qiliuql,5EoHAFwAAAAJ,6758.0,41.0,1983.0
Yinlong Xu,USTC,http://en.nhpcc.ustc.edu.cn/Peoples_9/201107/t20110701_115017.html,,,,
Yan Xiong,USTC,http://dsxt.ustc.edu.cn/zj_ywjs.asp?zzid=709,X08c_CQAAAAJ,4329.0,24.0,2002.0
Yinxing Xue,USTC,http://dsxt.ustc.edu.cn/zj_js.asp?zzid=6495,,,,
Guangzhong Sun,USTC,http://staff.ustc.edu.cn/~gzsun,sm_uYE8AAAAJ,5573.0,24.0,2001.0
Xiaoping Chen,USTC,http://dsxt.ustc.edu.cn/zj_ywjs.asp?zzid=471,7_dDukkAAAAJ,3217.0,19.0,1991.0
Panlong Yang,USTC,http://cs.ustc.edu.cn/szdw/bdjs/201707/t20170705_279933.html,sst3cxoAAAAJ,3412.0,33.0,1984.0
Xike Xie,USTC,http://staff.ustc.edu.cn/~xkxie,,,,
Hong An,USTC,http://acsa.ustc.edu.cn/contact,tEcLDxAAAAAJ,76870.0,142.0,1992.0
Hongli Xu,USTC,http://staff.ustc.edu.cn/~xuhongli,zGmKnqMAAAAJ,2388.0,25.0,2005.0
Yanyong Zhang,USTC,http://staff.ustc.edu.cn/~yanyongz,qfbPQ1YAAAAJ,12158.0,50.0,
Shangfei Wang,USTC,http://staff.ustc.edu.cn/~sfwang,PmDOUfQAAAAJ,3400.0,27.0,1998.0
Tong Xu,USTC,http://staff.ustc.edu.cn/~tongxu,2pYJyYUAAAAJ,1643.0,23.0,2012.0
Xin Ming Zhang,USTC,http://en.nhpcc.ustc.edu.cn/Peoples_9/201107/t20110702_115038.html,R9bOP30AAAAJ,10536.0,32.0,1999.0
En-Hong Chen,USTC,http://staff.ustc.edu.cn/~cheneh,Q9h02J0AAAAJ,17678.0,64.0,2002.0
Lihua Yue,USTC,http://www.jucs.org/jucs_articles_by_author/Yue_Lihua,,,,
Liusheng Huang,USTC,http://dsxt.ustc.edu.cn/zj_ywjs.asp?zzid=36,1XHpROsAAAAJ,8593.0,41.0,1998.0
