name,affiliation,homepage,scholar_id,citations,h-index,earliest_paper
Avesta Sasan,Univ. of California - Davis,https://www.ece.ucdavis.edu/~avesta/index.html,BMmfOCEAAAAJ,2012.0,25.0,2006.0
Venkatesh Akella,Univ. of California - Davis,https://www.ece.ucdavis.edu/~akella,onJXki0AAAAJ,3556.0,34.0,1988.0
Mohammad Sadoghi,Univ. of California - Davis,https://faculty.engineering.ucdavis.edu/sadoghi,Lx9fbJoAAAAJ,2366.0,27.0,2007.0
Josh McCoy,Univ. of California - Davis,https://faculty.engineering.ucdavis.edu/mccoy,pdSgBVQAAAAJ,748.0,12.0,1983.0
Nelson L. Max,Univ. of California - Davis,http://faculty.engineering.ucdavis.edu/max,XXoJ5n4AAAAJ,6803.0,28.0,1989.0
Harry H. Cheng,Univ. of California - Davis,https://faculty.engineering.ucdavis.edu/cheng,,,,
Jesus De Loera,Univ. of California - Davis,https://www.math.ucdavis.edu/~deloera,1S0o7WwAAAAJ,3956.0,35.0,1995.0
Luis Rademacher,Univ. of California - Davis,https://www.math.ucdavis.edu/~lrademac,wNqCOAEAAAAJ,1011.0,13.0,2005.0
Shyhtsun Felix Wu,Univ. of California - Davis,http://www.cs.ucdavis.edu/~wu,vth4SIcAAAAJ,7540.0,46.0,1985.0
Chen-Nee Chuah,Univ. of California - Davis,https://www.ece.ucdavis.edu/~chuah/rubinet/people/chuah/bio.html,bZNRLNAAAAAJ,12379.0,49.0,1995.0
Jason Lowe-Power,Univ. of California - Davis,https://faculty.engineering.ucdavis.edu/lowepower,7m7TYQsAAAAJ,903.0,11.0,2013.0
Houman Homayoun,Univ. of California - Davis,https://www.ece.ucdavis.edu/~hhomayou,wL7FTE8AAAAJ,4288.0,34.0,1998.0
Aditya Thakur,Univ. of California - Davis,http://thakur.cs.ucdavis.edu,x8952qgAAAAJ,1156.0,16.0,2008.0
Julian Panetta,Univ. of California - Davis,https://julianpanetta.com,1rQ_OTEAAAAJ,654.0,9.0,2008.0
M. Zubair Shafiq,Univ. of California - Davis,https://www.cs.ucdavis.edu/~zubair,Q3FvLzUAAAAJ,4748.0,34.0,2006.0
Christopher J. Nitta,Univ. of California - Davis,https://csiflabs.cs.ucdavis.edu/~cjnitta,vEPWWu0AAAAJ,822.0,14.0,2003.0
François Gygi,Univ. of California - Davis,http://faculty.engineering.ucdavis.edu/gygi,,,,
Karl N. Levitt,Univ. of California - Davis,http://faculty.engineering.ucdavis.edu/levitt,,,,
Phillip Rogaway,Univ. of California - Davis,http://www.cs.ucdavis.edu/~rogaway,gUEkPQEAAAAJ,38785.0,80.0,1987.0
Greg Kuperberg,Univ. of California - Davis,https://www.math.ucdavis.edu/~greg,OrKdXCgAAAAJ,4920.0,35.0,1990.0
Shiqian Ma,Univ. of California - Davis,https://www.math.ucdavis.edu/~sqma,kkzUrUgAAAAJ,5370.0,35.0,2005.0
Hamed Pirsiavash,Univ. of California - Davis,https://web.cs.ucdavis.edu/~hpirsiav,c9XXy4MAAAAJ,7379.0,30.0,2005.0
Dipak Ghosal,Univ. of California - Davis,http://faculty.engineering.ucdavis.edu/ghosal,Pjjq5SQAAAAJ,14613.0,38.0,1986.0
Norm Matloff,Univ. of California - Davis,http://faculty.engineering.ucdavis.edu/matloff,,,,
John D. Owens,Univ. of California - Davis,https://www.ece.ucdavis.edu/~jowens,uIpPgJEAAAAJ,20579.0,59.0,1998.0
Jiawei Zhang,Univ. of California - Davis, http://jiaweizhang.net,7AkZSJsAAAAJ,4410.0,30.0,2013.0
