name,affiliation,homepage,scholar_id,citations,h-index,earliest_paper
Alexander V. Veidenbaum,Univ. of California - Irvine,http://www.ics.uci.edu/~alexv,,,,
Bonnie A. Nardi,Univ. of California - Irvine,http://www.artifex.org/~bonnie,hwc6A1MAAAAJ,33543.0,68.0,1981.0
Chen Li,Univ. of California - Irvine,https://chenli.ics.uci.edu,,,,
Sangeetha Abdu Jyothi,Univ. of California - Irvine,https://www.ics.uci.edu/~sabdujyo,MFZC4EgAAAAJ,616.0,8.0,2012.0
Faisal Nawab,Univ. of California - Irvine,http://nawab.me,oMHn13QAAAAJ,799.0,14.0,2011.0
Roy Fox,Univ. of California - Irvine,https://roydfox.com,FH9nKOAAAAAJ,1384.0,13.0,2007.0
Sharad Mehrotra,Univ. of California - Irvine,https://www.ics.uci.edu/~sharad,MTZaRW4AAAAJ,25640.0,65.0,1990.0
Daniel A. Epstein,Univ. of California - Irvine,https://www.depstein.net,2kpYWtEAAAAJ,1968.0,17.0,2012.0
Sandy Irani,Univ. of California - Irvine,https://www.ics.uci.edu/~irani,,,,
Nalini Venkatasubramanian,Univ. of California - Irvine,https://www.ics.uci.edu/~nalini,qfCah3sAAAAJ,7756.0,45.0,1987.0
Melissa Mazmanian,Univ. of California - Irvine,http://www.ics.uci.edu/~mmazmani,rmEQ_KwAAAAJ,3064.0,25.0,1999.0
Marco Levorato,Univ. of California - Irvine,http://www.ics.uci.edu/~mlevorat,Lf2KB6cAAAAJ,2655.0,26.0,2005.0
Alfred Kobsa,Univ. of California - Irvine,https://www.ics.uci.edu/~kobsa,0nBysEcAAAAJ,13099.0,57.0,1982.0
Alex Nicolau,Univ. of California - Irvine,http://www.ics.uci.edu/~nicolau,oD0ISLcAAAAJ,13903.0,63.0,1981.0
Iftekhar Ahmed,Univ. of California - Irvine,https://www.ics.uci.edu/~iftekha,bS1KOIQAAAAJ,694.0,15.0,2014.0
Mohsen Imani,Univ. of California - Irvine,http://moimani.weebly.com,9UZz_qcAAAAJ,3446.0,34.0,2010.0
Michael T. Goodrich,Univ. of California - Irvine,https://www.ics.uci.edu/~goodrich,sSS9gSoAAAAJ,16375.0,71.0,1985.0
