name,affiliation,homepage,scholar_id,citations,h-index,earliest_paper
Changqing Li,Univ. of California - Merced,https://www.ucmerced.edu/content/changqing-li,hBTddCdYvMUC,2709.0,25.0,1999.0
Marcelo Kallmann,Univ. of California - Merced,http://graphics.ucmerced.edu/~mkallmann,XHHdaL4AAAAJ,3541.0,32.0,1997.0
Yang-Quan Chen,Univ. of California - Merced,https://sites.ucmerced.edu/yqchen,RDEIRbcAAAAJ,44673.0,91.0,
Alberto Cerpa,Univ. of California - Merced,http://www.andes.ucmerced.edu/~acerpa,,,,
Ahmed Sabbir Arif,Univ. of California - Merced,http://www.asarif.com,l9kbH78AAAAJ,799.0,15.0,2005.0
Hua Huang,Univ. of California - Merced,https://sites.ucmerced.edu/huahuang,MymQmUcAAAAJ,381.0,8.0,2013.0
Stefano Carpin,Univ. of California - Merced,https://sites.ucmerced.edu/scarpin,ootP9OgAAAAJ,4682.0,33.0,2000.0
Paul Maglio,Univ. of California - Merced,http://mist.ucmerced.edu/pmaglio,xXlMjAMAAAAJ,25226.0,62.0,1982.0
Shijia Pan,Univ. of California - Merced,http://www.andrew.cmu.edu/user/shijiapa,oauqR3wAAAAJ,1452.0,22.0,2011.0
Mukesh Singhal,Univ. of California - Merced,http://cloudlab.ucmerced.edu/people/~mukesh,If8AWhgAAAAJ,12163.0,55.0,1983.0
Wan Du,Univ. of California - Merced,https://faculty.ucmerced.edu/wdu,5AIv8YoAAAAJ,1575.0,21.0,2010.0
Angelo Kyrilov,Univ. of California - Merced,https://www.ucmerced.edu/content/angelo-kyrilov,,,,
Sungjin Im,Univ. of California - Merced,https://faculty.ucmerced.edu/sim3,muR7xmMAAAAJ,1321.0,20.0,2009.0
Ming-Hsuan Yang,Univ. of California - Merced,https://faculty.ucmerced.edu/mhyang,p9-ohHsAAAAJ,91656.0,135.0,
Florin Rusu,Univ. of California - Merced,https://faculty.ucmerced.edu/frusu,8PfpzuEAAAAJ,4227.0,20.0,2003.0
Dong Li,Univ. of California - Merced,https://faculty.ucmerced.edu/dong-li,mGfEQ9wAAAAJ,2855.0,26.0,2006.0
Miguel Á. Carreira-Perpiñán,Univ. of California - Merced,https://faculty.ucmerced.edu/mcarreira-perpinan,SYdYhxgAAAAJ,7554.0,35.0,1995.0
Xiaoyi Lu,Univ. of California - Merced,http://faculty.ucmerced.edu/luxi,BeYVNhIAAAAJ,2358.0,26.0,2008.0
David C. Noelle,Univ. of California - Merced,https://eecs.ucmerced.edu/content/david-noelle,,,,
Pengfei Su,Univ. of California - Merced,https://pengfei-su.github.io,,,,
Hyeran Jeon,Univ. of California - Merced,https://www.mocalab.org,WyJcBncAAAAJ,981.0,17.0,2009.0
Shawn D. Newsam,Univ. of California - Merced,https://faculty.ucmerced.edu/snewsam/index.html,pQZX0mEAAAAJ,6114.0,32.0,1999.0
