name,affiliation,homepage,scholar_id,citations,h-index,earliest_paper
Wim van Dam,Univ. of California - Santa Barbara,https://www.cs.ucsb.edu/~vandam,w_zbNmoAAAAJ,11746.0,57.0,1992.0
Yuan-Fang Wang,Univ. of California - Santa Barbara,http://www.cs.ucsb.edu/~yfwang,9177npMAAAAJ,6845.0,43.0,1972.0
Rich Wolski,Univ. of California - Santa Barbara,https://www.cs.ucsb.edu/~rich,,,,
Xifeng Yan,Univ. of California - Santa Barbara,http://www.cs.ucsb.edu/~xyan,XZV2eogAAAAJ,23879.0,67.0,1999.0
Tao Yang,Univ. of California - Santa Barbara,http://www.cs.ucsb.edu/~tyang,,,,
Jianwen Su,Univ. of California - Santa Barbara,http://www.cs.ucsb.edu/~su,JpC9bmEAAAAJ,9046.0,52.0,1985.0
Jennifer Jacobs,Univ. of California - Santa Barbara,http://jenniferjacobs.mat.ucsb.edu,LrK3n0QAAAAJ,16.0,2.0,2021.0
Tim Sherwood,Univ. of California - Santa Barbara,https://www.cs.ucsb.edu/~sherwood,nLuHfy4AAAAJ,11856.0,48.0,1997.0
B. S. Manjunath,Univ. of California - Santa Barbara,https://vision.ece.ucsb.edu/people/bs-manjunath,wRYM4qgAAAAJ,39727.0,77.0,1988.0
William Yang Wang,Univ. of California - Santa Barbara,http://www.cs.ucsb.edu/~william,gf8Ms_8AAAAJ,7986.0,46.0,2010.0
Elizabeth M. Belding,Univ. of California - Santa Barbara,http://people.cs.ucsb.edu/ebelding/front-page,3G79TTEAAAAJ,56195.0,61.0,1999.0
Arpit Gupta,Univ. of California - Santa Barbara,https://sites.cs.ucsb.edu/~arpitgupta,lc3R9-wAAAAJ,1457.0,13.0,2008.0
Yu-Xiang Wang,Univ. of California - Santa Barbara,https://www.cs.ucsb.edu/~yuxiangw,HGNZ1fkAAAAJ,4188.0,34.0,2012.0
Pradeep Sen,Univ. of California - Santa Barbara,https://www.ece.ucsb.edu/~psen,9_H57VkAAAAJ,4263.0,30.0,1998.0
Prabhanjan Ananth,Univ. of California - Santa Barbara,https://sites.google.com/site/prabhanjanva,xS_vRnYAAAAJ,1484.0,20.0,2011.0
Frédéric Gibou,Univ. of California - Santa Barbara,https://engineering.ucsb.edu/~fgibou,KKUAx0sAAAAJ,5939.0,38.0,2000.0
Linda Petzold,Univ. of California - Santa Barbara,https://cse.cs.ucsb.edu,6IxWYR0AAAAJ,32640.0,80.0,1965.0
Shumo Chu,Univ. of California - Santa Barbara,https://shumochu.com,eqZ2234AAAAJ,1218.0,12.0,2011.0
