name,affiliation,homepage,scholar_id,citations,h-index,earliest_paper
Talia Ringer,Univ. of Illinois at Urbana-Champaign,https://dependenttyp.es,JCJzlXsAAAAJ,147.0,6.0,2012.0
Sayan Mitra,Univ. of Illinois at Urbana-Champaign,http://mitras.ece.illinois.edu,dXUl8ewAAAAJ,3509.0,31.0,2003.0
Donna Cox,Univ. of Illinois at Urbana-Champaign,http://avl.ncsa.illinois.edu/who-we-are/team/donna-cox-director,,,,
Darko Marinov,Univ. of Illinois at Urbana-Champaign,http://mir.cs.illinois.edu,x6OIBq4AAAAJ,11414.0,52.0,1998.0
Wen-Mei Hwu,Univ. of Illinois at Urbana-Champaign,https://www.ece.illinois.edu/directory/profile/w-hwu,ohjQPx8AAAAJ,26137.0,76.0,1982.0
Saugata Ghose,Univ. of Illinois at Urbana-Champaign,https://ghose.web.illinois.edu,vdlcErkAAAAJ,4666.0,38.0,2008.0
Svetlana Lazebnik,Univ. of Illinois at Urbana-Champaign,http://slazebni.cs.illinois.edu,xKOEaRoAAAAJ,31693.0,52.0,2001.0
Bo Li,Univ. of Illinois at Urbana-Champaign,http://boli.cs.illinois.edu,K8vJkTcAAAAJ,12786.0,50.0,
Yongjoo Park,Univ. of Illinois at Urbana-Champaign,https://yongjoopark.com,Pd7IdigAAAAJ,544.0,8.0,2013.0
Ling Ren,Univ. of Illinois at Urbana-Champaign,https://sites.google.com/view/renling,0uB26_QAAAAJ,3368.0,28.0,2011.0
Alexander G. Schwing,Univ. of Illinois at Urbana-Champaign,http://www.alexander-schwing.de,3B2c31wAAAAJ,8830.0,51.0,2007.0
Kirill Levchenko,Univ. of Illinois at Urbana-Champaign,http://klevchen.ece.illinois.edu,,,,
Michael A. Forbes,Univ. of Illinois at Urbana-Champaign,http://miforbes.cs.illinois.edu,wPpyBHEAAAAJ,1949.0,26.0,2000.0
