name,affiliation,homepage,scholar_id,citations,h-index,earliest_paper
Juan A. Fraire,Universidad Nacional de Córdoba,https://depend.cs.uni-saarland.de/~jfraire,YXq56tgAAAAJ,840.0,15.0,2013.0
Damián Barsotti,Universidad Nacional de Córdoba,https://cs.famaf.unc.edu.ar/~damian,,,,
Carlos Areces,Universidad Nacional de Córdoba,https://cs.famaf.unc.edu.ar/~careces,Ku5jaRkAAAAJ,2704.0,23.0,1995.0
Beta Ziliani,Universidad Nacional de Córdoba,https://people.mpi-sws.org/~beta,zPeBksEAAAAJ,294.0,9.0,2011.0
Diego Vaggione,Universidad Nacional de Córdoba,http://ual.famaf.unc.edu.ar/index.php/home/diego-vaggione,,,,
Franco M. Luque,Universidad Nacional de Córdoba,https://cs.famaf.unc.edu.ar/~francolq,edh9Nv4AAAAJ,314.0,10.0,2009.0
Nicolás Wolovick,Universidad Nacional de Córdoba,https://cs.famaf.unc.edu.ar/~nicolasw,v9TbZAEAAAAJ,489.0,11.0,2001.0
Pedro Sánchez Terraf,Universidad Nacional de Córdoba,https://cs.famaf.unc.edu.ar/~pedro,pgrAV_MAAAAJ,177.0,7.0,2004.0
Hector Gramaglia,Universidad Nacional de Córdoba,https://www.famaf.unc.edu.ar/~ciem/personas/gramaglia.html,,,,
Raul Fervari,Universidad Nacional de Córdoba,http://cs.famaf.unc.edu.ar/~rfervari,3dg1ASwAAAAJ,395.0,11.0,2012.0
Martín Ariel Domínguez,Universidad Nacional de Córdoba,https://cs.famaf.unc.edu.ar/~mdoming,ExBxMa4AAAAJ,97.0,5.0,2003.0
Miguel Pagano,Universidad Nacional de Córdoba,http://cs.famaf.unc.edu.ar/~mpagano,RYvj54kAAAAJ,99.0,6.0,2009.0
Laura Brandán Briones,Universidad Nacional de Córdoba,https://www.famaf.unc.edu.ar/archivo/perfiles/lbrandan,,,,
Silvia María Ojeda,Universidad Nacional de Córdoba,https://www.famaf.unc.edu.ar/~ojeda,,,,
Miguel Campercholi,Universidad Nacional de Córdoba,http://ual.famaf.unc.edu.ar/index.php/home/miguel-campercholi,,,,
Daniel Penazzi,Universidad Nacional de Córdoba,https://www.famaf.unc.edu.ar/~penazzi,,,,
Jorge A. Sánchez,Universidad Nacional de Córdoba,https://www.famaf.unc.edu.ar/~jsanchez,XV4_wlwAAAAJ,8528.0,16.0,2006.0
Damián A. Knopoff,Universidad Nacional de Córdoba,https://www.famaf.unc.edu.ar/~knopoff,e_iNL4IAAAAJ,827.0,13.0,2013.0
Daniel Fridlender,Universidad Nacional de Córdoba,https://www.famaf.unc.edu.ar/archivo/perfiles/fridlend,,,,
Paula Estrella,Universidad Nacional de Córdoba,https://www.famaf.unc.edu.ar/~pestrella,Mo7TUaQAAAAJ,167.0,7.0,2005.0
Luciana Benotti,Universidad Nacional de Córdoba,https://cs.famaf.unc.edu.ar/~luciana,,,,
Laura Alonso Alemany,Universidad Nacional de Córdoba,https://cs.famaf.unc.edu.ar/~laura,ZhbejRkAAAAJ,401.0,11.0,2001.0
Pedro R. D'Argenio,Universidad Nacional de Córdoba,https://cs.famaf.unc.edu.ar/~dargenio,Z7i2nckAAAAJ,3664.0,29.0,1994.0
