name,affiliation,homepage,scholar_id,citations,h-index,earliest_paper
Rafael Capilla,Universidad Rey Juan Carlos,https://www.researchgate.net/profile/Rafael_Capilla,IXswbY8AAAAJ,3343.0,29.0,1987.0
Jesús M. González-Barahona,Universidad Rey Juan Carlos,https://gsyc.urjc.es/jgb,vYIPWB0AAAAJ,5287.0,43.0,1996.0
Miguel A. Otaduy,Universidad Rey Juan Carlos,http://mslab.es/otaduy,PhHt3mIAAAAJ,6020.0,41.0,2000.0
José Luis Rojo-Álvarez,Universidad Rey Juan Carlos,https://gestion2.urjc.es/pdi/ver/joseluis.rojo,KaBeaJwAAAAJ,8118.0,43.0,
Gregorio Robles,Universidad Rey Juan Carlos,http://gsyc.urjc.es/~grex,BhVjp-UAAAAJ,8428.0,53.0,2001.0
J. Ángel Velázquez-Iturbide,Universidad Rey Juan Carlos,http:/www.lite.etsii.urjc.es/angel.velazquez,JfWXVVgAAAAJ,3689.0,26.0,1986.0
Sascha Ossowski,Universidad Rey Juan Carlos,http://www.ia.urjc.es/~sossowski,UYvMqW8AAAAJ,4118.0,33.0,1995.0
Antonio G. Marques,Universidad Rey Juan Carlos,http://www.tsc.urjc.es/~amarques,d05JMMkAAAAJ,3447.0,28.0,2003.0
Andres Martinez-Fernandez,Universidad Rey Juan Carlos,http://www.tsc.urjc.es/profiles/andres_martinez.html,T8fmqcAAAAAJ,1927.0,21.0,1959.0
Abraham Duarte,Universidad Rey Juan Carlos,http://grafo.etsii.urjc.es/group-member/abrahamduarte,wsBEPbYAAAAJ,4134.0,39.0,1989.0
