name,affiliation,homepage,scholar_id,citations,h-index,earliest_paper
Pablo Barceló,Universidad de Chile,https://users.dcc.uchile.cl/~pbarcelo,iVGrHpgAAAAJ,11787.0,51.0,1972.0
Jorge Pérez,Universidad de Chile,https://users.dcc.uchile.cl/~jperez,a6lUuiwAAAAJ,4869.0,25.0,2004.0
Aidan Hogan,Universidad de Chile,http://aidanhogan.com,,,,
Alexandre Bergel,Universidad de Chile,https://www.dcc.uchile.cl/alexandre_bergel,5pG4GQ8AAAAJ,2154.0,24.0,1993.0
Barbara Poblete,Universidad de Chile,https://www.dcc.uchile.cl/barbara_poblete,eZBFWGEAAAAJ,5841.0,22.0,2003.0
Nancy Hitschfeld,Universidad de Chile,https://www.dcc.uchile.cl/nancy,,,,
María Cecilia Rivara,Universidad de Chile,https://www.dcc.uchile.cl/~mcrivara,NYyo2yQAAAAJ,2993.0,25.0,1984.0
Patricio V. Poblete,Universidad de Chile,http://www.dcc.uchile.cl/~ppoblete,AZuHYCQAAAAJ,813.0,14.0,1982.0
Claudio Gutierrez,Universidad de Chile,https://www.dcc.uchile.cl/cgutierr,jzeqUi4AAAAJ,8692.0,36.0,1961.0
Jocelyn Simmonds,Universidad de Chile,http://www.dcc.uchile.cl/~jsimmond,QTdKy5gAAAAJ,1277.0,19.0,2002.0
Alejandro Hevia,Universidad de Chile,https://www.dcc.uchile.cl/~ahevia,klAKNOcAAAAJ,908.0,16.0,1998.0
Benjamin Bustos,Universidad de Chile,http://www.uchile.cl/portafolio-academico/impresion.jsf?username=bustos,,,,
Nelson-Antranig Baloian Tataryan,Universidad de Chile,http://www.uchile.cl/portafolio-academico/impresion.jsf?username=nbaloian,,,,
Jérémy Barbay,Universidad de Chile,http://www.dcc.uchile.cl/~jbarbay,x7L1W0rvHwsC,1184.0,13.0,2001.0
Sergio F. Ochoa,Universidad de Chile,https://www.dcc.uchile.cl/sochoa,aUtukf4AAAAJ,4727.0,33.0,1999.0
