name,affiliation,homepage,scholar_id,citations,h-index,earliest_paper
Jorge Duitama,Universidad de los Andes,https://profesores.virtual.uniandes.edu.co/jaduitama/es/inicio,hQq44SkAAAAJ,1848.0,23.0,2002.0
Kelly Garcés,Universidad de los Andes,https://profesores.virtual.uniandes.edu.co/kjgarces971/es/inicio,5p7oedgAAAAJ,604.0,12.0,2007.0
Rodrigo Cardoso,Universidad de los Andes,https://profesores.virtual.uniandes.edu.co/rcardoso/es/inicio,,,,
Jorge Alejandro Villalobos,Universidad de los Andes,https://profesores.virtual.uniandes.edu.co/jvillalo/es/inicio,6pj6oSUAAAAJ,880.0,16.0,1991.0
Oscar González,Universidad de los Andes,https://sistemasacademico.uniandes.edu.co/~o-gonza1,RPqeGp0AAAAJ,425.0,10.0,2006.0
Fernando De la Rosa,Universidad de los Andes,https://sistemasacademico.uniandes.edu.co/~fde,UB6e9ywAAAAJ,205.0,7.0,1989.0
Claudia Jiménez-Guarín,Universidad de los Andes,https://profesores.virtual.uniandes.edu.co/cjimenez/es/inicio,EAFoxGQAAAAJ,182.0,8.0,2008.0
Andrea Herrera,Universidad de los Andes,https://profesores.virtual.uniandes.edu.co/aherrer/es/inicio,BvuaquwAAAAJ,181.0,7.0,2001.0
Harold Castro,Universidad de los Andes,https://profesores.virtual.uniandes.edu.co/hcastro/es/inicio,,,,
Germán Bravo,Universidad de los Andes,https://sistemasacademico.uniandes.edu.co/~gbravo/dokuwiki/doku.php,MnWyaMQAAAAJ,89.0,5.0,1996.0
María del Pilar Villamil Giraldo,Universidad de los Andes,https://profesores.virtual.uniandes.edu.co/mavillam/es/inicio,YCevcDEAAAAJ,223.0,8.0,2004.0
Sandra Julieta Rueda,Universidad de los Andes,http://profesores.virtual.uniandes.edu.co/sarueda,picn4ngAAAAJ,612.0,13.0,1994.0
Darío Correal,Universidad de los Andes,https://profesores.virtual.uniandes.edu.co/dcorreal/es/inicio,Bo4lXDAtq9QC,525.0,13.0,2005.0
Oscar Avila,Universidad de los Andes,http://profesores.virtual.uniandes.edu.co/oj.avila,sBulnrkAAAAJ,257.0,9.0,2008.0
Nicolás Cardozo,Universidad de los Andes,https://profesores.virtual.uniandes.edu.co/ncardozo,3iTzjQsAAAAJ,704.0,15.0,2009.0
José T. Hernández,Universidad de los Andes,http://imagine.uniandes.edu.co,9nnSYmMAAAAJ,1632.0,18.0,1978.0
Pablo Alejandro Figueroa,Universidad de los Andes,https://profesores.virtual.uniandes.edu.co/pfiguero/es/inicio,1pVmx_4AAAAJ,632.0,11.0,1957.0
Olga Mariño,Universidad de los Andes,https://sistemasacademico.uniandes.edu.co/~olmarino/dokuwiki/doku.php,TRujnBQAAAAJ,944.0,16.0,1988.0
Mario Linares Vásquez,Universidad de los Andes,https://profesores.virtual.uniandes.edu.co/mlinaresv,55fmMcoAAAAJ,4813.0,38.0,2008.0
Yezid Donoso,Universidad de los Andes,https://profesores.virtual.uniandes.edu.co/ydonoso/es/inicio,Razvs2MAAAAJ,1697.0,20.0,1957.0
Rubby Casallas,Universidad de los Andes,https://profesores.virtual.uniandes.edu.co/rcasalla/es/inicio,WVzxlbUAAAAJ,2385.0,21.0,1993.0
Silvia Takahashi,Universidad de los Andes,https://profesores.virtual.uniandes.edu.co/stakahas/es/inicio,x7gjZ04AAAAJ,113.0,5.0,1993.0
Mario E. Sánchez,Universidad de los Andes,http://profesores.virtual.uniandes.edu.co/mar-san1,M1CE-nIAAAAJ,481.0,13.0,2007.0
Marcela Hernández Hoyos,Universidad de los Andes,http://profesores.virtual.uniandes.edu.co/marc-her,9nnSYmMAAAAJ,1598.0,19.0,1978.0
