name,affiliation,homepage,scholar_id,citations,h-index,earliest_paper
Sean Edward Russell,University College Dublin,https://people.ucd.ie/sean.russell,SmKCcJQAAAAJ,84.0,6.0,2011.0
Ruihai Dong,University College Dublin,https://people.ucd.ie/ruihai.dong,icGRQ68AAAAJ,835.0,14.0,2012.0
Pavel Gladyshev,University College Dublin,https://people.ucd.ie/pavel.gladyshev,Gd8AvzoAAAAJ,935.0,17.0,1995.0
Nima Afraz,University College Dublin,https://people.ucd.ie/nima.afraz,Ps84vZkAAAAJ,129.0,8.0,2011.0
Michela Bertolotto,University College Dublin,https://people.ucd.ie/michela.bertolotto,ONyrJuwAAAAJ,4458.0,29.0,1993.0
Madhusanka Liyanage,University College Dublin,https://people.ucd.ie/madhusanka,p1n0ioUAAAAJ,4930.0,35.0,2010.0
Mark Matthews,University College Dublin,https://people.ucd.ie/mark.matthews,rhv5sLgAAAAJ,2478.0,25.0,2003.0
Mark Scanlon,University College Dublin,https://people.ucd.ie/mark.scanlon,85qShC8AAAAJ,1126.0,17.0,2009.0
Shen Wang,University College Dublin,https://people.ucd.ie/shen.wang,rPAOzIwAAAAJ,311.0,6.0,2009.0
Brian Mac Namee,University College Dublin,https://people.ucd.ie/brian.macnamee,rZ3_vb0AAAAJ,2832.0,26.0,2001.0
Padraig Cunningham,University College Dublin,https://people.ucd.ie/padraig.cunningham,HqGgUVAAAAAJ,15579.0,67.0,1987.0
Mark T. Keane,University College Dublin,https://people.ucd.ie/mark.keane,bBozfc4AAAAJ,14260.0,51.0,1967.0
Liam Murphy,University College Dublin,https://people.ucd.ie/liam.murphy,h4bGPQQAAAAJ,3849.0,29.0,1990.0
Mel Ó Cinnéide,University College Dublin,https://people.ucd.ie/mel.ocinneide,Cr8S0BwAAAAJ,2617.0,27.0,1996.0
Anthony Ventresque,University College Dublin,https://people.ucd.ie/anthony.ventresque,I16yTcgAAAAJ,855.0,17.0,2004.0
Andrew Hines,University College Dublin,https://people.ucd.ie/andrew.hines,IJ_bu7gAAAAJ,1194.0,17.0,2009.0
Anca D. Jurcut,University College Dublin,https://people.ucd.ie/anca.jurcut,rzHu7gYAAAAJ,681.0,16.0,
Aonghus Lawlor,University College Dublin,https://people.ucd.ie/aonghus.lawlor,kyrXm8EAAAAJ,1167.0,18.0,2002.0
Alexey L. Lastovetsky,University College Dublin,https://people.ucd.ie/alexey.lastovetsky,28VrkNcAAAAJ,3392.0,31.0,1982.0
Abraham G. Campbell,University College Dublin,https://people.ucd.ie/abey.campbell,TWRYXGMAAAAJ,486.0,11.0,2004.0
Derek Greene,University College Dublin,https://people.ucd.ie/derek.greene,htlibRwAAAAJ,5262.0,31.0,1967.0
Nhien-An Le-Khac,University College Dublin,https://people.ucd.ie/an.lekhac,e6nKl6kAAAAJ,2773.0,29.0,2005.0
Barry Smyth,University College Dublin,https://people.ucd.ie/barry.smyth,UxqudeoAAAAJ,23433.0,79.0,1946.0
Brett A. Becker,University College Dublin,https://people.ucd.ie/brett.becker,GlnJXAwAAAAJ,1665.0,22.0,2006.0
Lorraine McGinty,University College Dublin,https://people.ucd.ie/lorraine.mcginty,ArXHFdYAAAAJ,2899.0,26.0,2000.0
Rem W. Collier,University College Dublin,https://people.ucd.ie/rem.collier,P6Qta-8AAAAJ,1973.0,22.0,1995.0
Deepak Ajwani,University College Dublin,https://people.ucd.ie/deepak.ajwani,3B9ZJUIAAAAJ,746.0,14.0,1994.0
John Murphy,University College Dublin,https://people.ucd.ie/j.murphy,hRzqMboAAAAJ,4651.0,35.0,1993.0
Catherine Mooney,University College Dublin,https://people.ucd.ie/catherine.mooney,_OdojvIAAAAJ,2235.0,26.0,2006.0
David Coyle,University College Dublin,https://people.ucd.ie/d.coyle,9d9bOOUAAAAJ,3653.0,29.0,2003.0
Georgiana Ifrim,University College Dublin,https://people.ucd.ie/georgiana.ifrim,MHs3X9YAAAAJ,1822.0,19.0,2005.0
Fred Cummins,University College Dublin,https://people.ucd.ie/fred.cummins,E-vg2zQAAAAJ,8827.0,31.0,1990.0
Fintan Costello,University College Dublin,https://people.ucd.ie/fintan.costello,3z-gY18AAAAJ,1911.0,18.0,1992.0
Eleni E. Mangina,University College Dublin,https://people.ucd.ie/eleni.mangina,50-QeIUAAAAJ,1599.0,21.0,1999.0
Colm Ryan,University College Dublin,https://people.ucd.ie/colm.ryan,,,,
David Lillis,University College Dublin,https://people.ucd.ie/david.lillis,AoVi6qkAAAAJ,728.0,13.0,2005.0
Gianluca Pollastri,University College Dublin,https://people.ucd.ie/gianluca.pollastri,YFUQzzokG40C,6220.0,37.0,1997.0
Fatemeh Golpayegani,University College Dublin,https://people.ucd.ie/fatemeh.golpayegani,TW6apHcAAAAJ,230.0,9.0,2013.0
Gregory M. P. O'Hare,University College Dublin,https://people.ucd.ie/gregory.ohare,egeLiWkAAAAJ,10591.0,44.0,1985.0
Gavin McArdle,University College Dublin,https://people.ucd.ie/gavin.mcardle,07pHQ-IAAAAJ,2819.0,21.0,2003.0
Joe Carthy,University College Dublin,https://people.ucd.ie/joe.carthy,,,,
Tony Veale,University College Dublin,https://people.ucd.ie/tony.veale,i8nJh5YAAAAJ,6202.0,38.0,1991.0
Chris J. Bleakley,University College Dublin,https://people.ucd.ie/chris.bleakley,pr1c99UAAAAJ,2065.0,24.0,1995.0
Soumyabrata Dev,University College Dublin,https://people.ucd.ie/soumyabrata.dev,_akXw8IAAAAJ,1146.0,20.0,2009.0
Vivek Nallur,University College Dublin,https://people.ucd.ie/vivek.nallur,TeqJsjcAAAAJ,470.0,10.0,2009.0
M. Tahar Kechadi,University College Dublin,https://people.ucd.ie/tahar.kechadi,,,,
Guénolé C. Silvestre,University College Dublin,https://ieeexplore.ieee.org/author/37281610100,,,,
Simon Caton,University College Dublin,https://people.ucd.ie/simon.caton,yr8skEQAAAAJ,1745.0,17.0,2005.0
Liliana Pasquale,University College Dublin,https://people.ucd.ie/liliana.pasquale,N8uPjssAAAAJ,1884.0,23.0,2007.0
Julie Carson-Berndsen,University College Dublin,https://people.ucd.ie/julie.berndsen,,,,
Neil Hurley,University College Dublin,https://people.ucd.ie/neil.hurley,Xy75cgsW65QC,5005.0,32.0,1991.0
John Dunnion,University College Dublin,https://www.researchgate.net/profile/John-Dunnion,,,,
