name,affiliation,homepage,scholar_id,citations,h-index,earliest_paper
Peter A. Bloniarz,University at Albany - SUNY,https://www.albany.edu/news/experts/22213.php,,,,
Jeong-Hyon Hwang,University at Albany - SUNY,https://www.albany.edu/ceas/jeong-hyon-hwang.php,uurRDOwAAAAJ,4216.0,22.0,2003.0
Pradeep K. Atrey,University at Albany - SUNY,http://www.cs.albany.edu/~patrey,2s3sftgAAAAJ,3833.0,28.0,2002.0
Charalampos Chelmis,University at Albany - SUNY,https://www.albany.edu/ceas/73411.php,-NTZR-kAAAAJ,1218.0,19.0,2009.0
Chinwe Ekenna,University at Albany - SUNY,https://www.albany.edu/ceas/73412.php,NzCRi2EAAAAJ,189.0,7.0,2010.0
Neil V. Murray,University at Albany - SUNY,https://www.albany.edu/news/experts/8046.php,Uo5asF8AAAAJ,1159.0,17.0,1979.0
Amirreza Masoumzadeh,University at Albany - SUNY,https://www.albany.edu/ceas/amirreza-masoumzadeh.php,Ld-xtdcAAAAJ,513.0,13.0,2005.0
Shaghayegh (Sherry) Sahebi,University at Albany - SUNY,https://www.albany.edu/ceas/73414.php,qxHat3oAAAAJ,620.0,12.0,2008.0
Dan E. Willard,University at Albany - SUNY,https://www.albany.edu/ceas/dan-willard.php,,,,
Mei-Hwa Chen,University at Albany - SUNY,https://www.albany.edu/ceas/mei-hwa-chen.php,P1s523UAAAAJ,2591.0,23.0,1991.0
George Berg,University at Albany - SUNY,https://www.albany.edu/ceas/george-berg.php,,,,
Mariya Zheleva,University at Albany - SUNY,https://www.albany.edu/ceas/mariya-zheleva.php,eEqTPcwAAAAJ,371.0,11.0,2010.0
Petko Bogdanov,University at Albany - SUNY,https://www.albany.edu/ceas/petko-bogdanov.php,UBpC3u0AAAAJ,1514.0,17.0,2008.0
Paliath Narendran,University at Albany - SUNY,https://www.albany.edu/ceas/paliath-narendran.php,xZhymAYAAAAJ,3722.0,33.0,1984.0
