name,affiliation,homepage,scholar_id,citations,h-index,earliest_paper
Ehud Reiter,University of Aberdeen,https://www.abdn.ac.uk/people/e.reiter,Ns0YuP0AAAAJ,12529.0,54.0,1987.0
Ernesto Compatangelo,University of Aberdeen,https://www.abdn.ac.uk/people/e.compatangelo,,,,
Georgios Leontidis,University of Aberdeen,https://www.abdn.ac.uk/people/georgios.leontidis,,,,
Bruce A. Scharlau,University of Aberdeen,https://www.abdn.ac.uk/people/b.scharlau,LvjQQdAAAAAJ,35.0,3.0,1992.0
Jeff Z. Pan,University of Aberdeen,https://www.abdn.ac.uk/people/jeff.z.pan,zLDAY8QAAAAJ,8190.0,51.0,2001.0
Bruno Yun,University of Aberdeen,https://www.abdn.ac.uk/people/bruno.yun,QrOqsP4AAAAJ,160.0,8.0,2016.0
Judith Masthoff,University of Aberdeen,https://www.abdn.ac.uk/people/j.masthoff,6-pMnb0AAAAJ,6667.0,35.0,1993.0
Nigel A. Beacham,University of Aberdeen,https://www.abdn.ac.uk/people/n.beacham,,,,
Martin J. Kollingbaum,University of Aberdeen,https://www.abdn.ac.uk/people/m.j.kollingbaum,a1wFt7wAAAAJ,1829.0,23.0,1996.0
George M. Coghill,University of Aberdeen,https://www.abdn.ac.uk/people/g.coghill,p4iYVDgAAAAJ,1267.0,20.0,1970.0
Nir Oren,University of Aberdeen,https://www.abdn.ac.uk/people/n.oren,dBcYZecAAAAJ,2879.0,26.0,2000.0
Peter Edwards,University of Aberdeen,https://www.abdn.ac.uk/people/p.edwards,xiDYSukAAAAJ,2743.0,24.0,1986.0
Wamberto Vasconcelos,University of Aberdeen,https://www.abdn.ac.uk/people/w.w.vasconcelos,wAhC4McAAAAJ,2925.0,28.0,1992.0
Matthew Collinson,University of Aberdeen,https://www.abdn.ac.uk/people/matthew.collinson,BxjRc9QAAAAJ,428.0,11.0,1999.0
