name,affiliation,homepage,scholar_id,citations,h-index,earliest_paper
Ian D. Watson,University of Auckland,https://www.cs.auckland.ac.nz/~ian,ojJQencAAAAJ,4713.0,31.0,1975.0
Ewan D. Tempero,University of Auckland,https://www.cs.auckland.ac.nz/~ewan,ciAtQzgAAAAJ,4373.0,33.0,1989.0
Robert W. Doran,University of Auckland,https://www.cs.auckland.ac.nz/~bob,NwTYDFwAAAAJ,2099.0,26.0,2001.0
Cristian Calude,University of Auckland,https://www.cs.auckland.ac.nz/~cristian,6-ioCW8AAAAJ,6681.0,38.0,1973.0
Burkhard C. Wünsche,University of Auckland,https://www.cs.auckland.ac.nz/~burkhard,pgBZIHYAAAAJ,2992.0,26.0,1996.0
Sebastian Link,University of Auckland,https://www.cs.auckland.ac.nz/people/s-link,_goLCI4AAAAJ,2410.0,27.0,2000.0
Bakh Khoussainov,University of Auckland,https://www.cs.auckland.ac.nz/~bmk,qQv6KckAAAAJ,2987.0,28.0,1986.0
Clark D. Thomborson,University of Auckland,https://www.cs.auckland.ac.nz/~cthombor,bSpUhd0AAAAJ,12400.0,39.0,1975.0
Robert Amor,University of Auckland,https://www.cs.auckland.ac.nz/~trebor,WqqlB5oAAAAJ,3134.0,28.0,1987.0
James R. Warren,University of Auckland,https://www.cs.auckland.ac.nz/~jim,67P38dMAAAAJ,9953.0,44.0,1970.0
Michael J. Dinneen,University of Auckland,https://www.cs.auckland.ac.nz/~mjd,NspX1ZIAAAAJ,1894.0,24.0,1991.0
André Nies,University of Auckland,https://www.cs.auckland.ac.nz/~nies,zVPfH-QAAAAJ,4670.0,32.0,1992.0
Patricia J. Riddle,University of Auckland,https://www.cs.auckland.ac.nz/~pat,rih68CwAAAAJ,1329.0,19.0,1986.0
Paul Denny,University of Auckland,https://www.cs.auckland.ac.nz/~paul,bIyrsAcAAAAJ,5450.0,45.0,1980.0
Giovanni Russello,University of Auckland,https://www.cs.auckland.ac.nz/~russello,sXvrlqgAAAAJ,2964.0,23.0,2002.0
Muhammad Rizwan Asghar,University of Auckland,https://www.cs.auckland.ac.nz/~asghar,Oe5b51kAAAAJ,1398.0,20.0,2011.0
Kelly Blincoe,University of Auckland,https://kblincoe.github.io,lqL9DsoAAAAJ,2003.0,17.0,2010.0
Valerio Terragni,University of Auckland,https://valerio-terragni.github.io,ifF-jLQAAAAJ,415.0,10.0,2015.0
Andrew Luxton-Reilly,University of Auckland,https://www.cs.auckland.ac.nz/~andrew-l,3nuHa7IAAAAJ,3959.0,31.0,2005.0
Jing Sun,University of Auckland,https://www.cs.auckland.ac.nz/~jingsun,GUXAGAYAAAAJ,17827.0,53.0,1988.0
Gerald Weber,University of Auckland,https://www.cs.auckland.ac.nz/~gerald,mBgJMaUAAAAJ,1695.0,23.0,1993.0
Yun Sing Koh,University of Auckland,https://www.cs.auckland.ac.nz/~yunsing,0L38IrAAAAAJ,2358.0,25.0,2005.0
David Welch,University of Auckland,https://www.cs.auckland.ac.nz/~davidw,V7sqis8AAAAJ,2906.0,17.0,2005.0
Ulrich Günther,University of Auckland,http://www.tcs.auckland.ac.nz/~ulrich,,,,
Radu Nicolescu,University of Auckland,https://unidirectory.auckland.ac.nz/profile/r-nicolescu,,,,
Jiamou Liu,University of Auckland,https://unidirectory.auckland.ac.nz/profile/jiamou-liu,zrGdI2oAAAAJ,1059.0,12.0,2006.0
Yu-Cheng Tu,University of Auckland,https://unidirectory.auckland.ac.nz/profile/ytu001,163V6g0AAAAJ,97.0,5.0,2008.0
Xinfeng Ye,University of Auckland,https://unidirectory.auckland.ac.nz/profile/x-ye,1BooF3oAAAAJ,488.0,12.0,1990.0
Aniket Mahanti,University of Auckland,https://www.cs.auckland.ac.nz/~amahanti,n-Ch9JQAAAAJ,1002.0,16.0,2005.0
Simone Linz,University of Auckland,https://unidirectory.auckland.ac.nz/profile/slin498,9lCabZsAAAAJ,824.0,14.0,2003.0
Georgy L. Gimel'farb,University of Auckland,http://www.tcs.auckland.ac.nz/~georgy,EsFtvHUAAAAJ,8771.0,49.0,1967.0
Alexei Drummond,University of Auckland,https://www.compevol.auckland.ac.nz/dr-alexei-drummond,qh4gZBMAAAAJ,100700.0,80.0,2000.0
Adriana Ferraro,University of Auckland,https://www.cs.auckland.ac.nz/people/a-ferraro,f5QpDogAAAAJ,662.0,10.0,1994.0
Robert Sheehan,University of Auckland,https://www.cs.auckland.ac.nz/people/r-sheehan,h44VIt4AAAAJ,225.0,9.0,1991.0
Sathiamoorthy Manoharan,University of Auckland,https://unidirectory.auckland.ac.nz/profile/s-manoharan,2h0XFe8AAAAJ,1010.0,13.0,1990.0
Gillian Dobbie,University of Auckland,https://www.cs.auckland.ac.nz/people/g-dobbie,v19BUHIAAAAJ,2943.0,30.0,1988.0
Ian Warren,University of Auckland,https://www.cs.auckland.ac.nz/people/i-warren,X12wTvkAAAAJ,810.0,16.0,1982.0
Michael W. Barley,University of Auckland,https://www.cs.auckland.ac.nz/people/m-barley,QwAxKoEAAAAJ,487.0,12.0,1989.0
Mark Gahegan,University of Auckland,https://www.cs.auckland.ac.nz/people/mark-gahegan,zEqatoMAAAAJ,6879.0,42.0,1986.0
Nevil Brownlee,University of Auckland,https://www.cs.auckland.ac.nz/people/n-brownlee,t7vOIzMAAAAJ,4666.0,35.0,1994.0
Patrice Delmas,University of Auckland,https://www.cs.auckland.ac.nz/people/p-delmas,BIPP6L4AAAAJ,1252.0,17.0,1999.0
S. Manoharan,University of Auckland,https://unidirectory.auckland.ac.nz/profile/s-manoharan,55FwvisAAAAJ,5606.0,40.0,1972.0
Beryl Plimmer,University of Auckland,https://www.cs.auckland.ac.nz/people/b-plimmer,16CrO58AAAAJ,2243.0,24.0,1998.0
Damir Azhar,University of Auckland,https://www.cs.auckland.ac.nz/people/damir-azhar,,,,
Matthew D. Egbert,University of Auckland,https://unidirectory.auckland.ac.nz/people/profile/m-egbert,ab0bc-sAAAAJ,512.0,12.0,2008.0
