name,affiliation,homepage,scholar_id,citations,h-index,earliest_paper
Johannes Schilp,University of Augsburg,https://www.uni-augsburg.de/de/fakultaet/fai/informatik/prof/pi/lehrstuhl/mitarbeiter/schilp,,,,
Bernhard Bauer,University of Augsburg,https://www.uni-augsburg.de/de/fakultaet/fai/informatik/prof/swtpvs/team/bernhard-bauer,d9b5tgMAAAAJ,5398.0,27.0,1992.0
Elisabeth André,University of Augsburg,https://www.uni-augsburg.de/de/fakultaet/fai/informatik/prof/hcm/team/andre,5gnr0JUAAAAJ,18310.0,63.0,
Alexander Knapp,University of Augsburg,https://www.uni-augsburg.de/de/fakultaet/fai/informatik/prof/swtsse/mitarbeiter,r5d4ZJsAAAAJ,4076.0,32.0,1996.0
Sabine Timpf,University of Augsburg,https://www.uni-augsburg.de/en/fakultaet/fai/geo/prof/geoinf/geoinf-team/s-timpf,LT_XljUAAAAJ,2620.0,23.0,1991.0
Theo Ungerer,University of Augsburg,https://www.uni-augsburg.de/de/fakultaet/fai/informatik/prof/embsys/team/prof-dr-theo-ungerer,,,,
Wolfgang Reif,University of Augsburg,https://www.uni-augsburg.de/de/fakultaet/fai/isse/prof/swtse/team/reif,,,,
Sebastian Altmeyer,University of Augsburg,https://www.uni-augsburg.de/de/fakultaet/fai/informatik/prof/embsys/team/prof-dr-sebastian-altmeyer,O5JtLZsAAAAJ,2098.0,25.0,2006.0
Peter M. Fischer,University of Augsburg,https://www.uni-augsburg.de/de/fakultaet/fai/informatik/prof/dbis/team/fischer,n2w2PW8AAAAJ,2356.0,23.0,1963.0
Lars Mikelsons,University of Augsburg,https://www.informatik.uni-augsburg.de/lehrstuehle/imech/Team,,,,
Walter Vogler,University of Augsburg,https://www.uni-augsburg.de/de/fakultaet/fai/informatik/prof/swtti/team/walter-vogler,,,,
Robert Lorenz,University of Augsburg,https://www.informatik.uni-augsburg.de/lehrstuehle/inf/mitarbeiter/lorenz,5otllo8AAAAJ,1129.0,18.0,1968.0
Torben Hagerup,University of Augsburg,https://thiserver.informatik.uni-augsburg.de/personen/hagerup.html,,,,
Christoph Ament,University of Augsburg,https://www.informatik.uni-augsburg.de/lehrstuehle/rt/mitarbeiter/ament,4aVqJJMAAAAJ,1143.0,15.0,1977.0
Rudi Knorr,University of Augsburg,https://www.informatik.uni-augsburg.de/lehrstuehle/lks/mitarbeiter/knorr,,,,
Rainer Lienhart,University of Augsburg,https://www.uni-augsburg.de/de/fakultaet/fai/informatik/prof/mmc/team/lienhart,eKQPhGgAAAAJ,16729.0,50.0,1995.0
Jukka Matthias Krisp,University of Augsburg,https://www.uni-augsburg.de/en/fakultaet/fai/geo/prof/geoagi/geoagi-team/j-krisp,KnEUPRcAAAAJ,1165.0,16.0,2002.0
Jörg Hähner,University of Augsburg,https://www.uni-augsburg.de/de/fakultaet/fai/informatik/prof/oc/team/haehner,DOIec3gAAAAJ,3049.0,27.0,2001.0
Frank Kramer,University of Augsburg,https://www.uni-augsburg.de/de/fakultaet/fai/informatik/prof/misit/mitarbeiter,FhSgvXsAAAAJ,1504.0,21.0,2010.0
