name,affiliation,homepage,scholar_id,citations,h-index,earliest_paper
Kai Fischbach,University of Bamberg,https://www.uni-bamberg.de/sna/team/prof-dr-kai-fischbach,PRhJB5EAAAAJ,3212.0,31.0,2002.0
Gerald Lüttgen,University of Bamberg,https://www.uni-bamberg.de/swt/team/prof-dr-gerald-luettgen,,,,
Udo R. Krieger,University of Bamberg,https://www.uni-bamberg.de/ktr/mitarbeiter/krieger,,,,
Daniela Nicklas,University of Bamberg,https://www.uni-bamberg.de/mobi/team/daniela-nicklas,BpfYffYAAAAJ,3448.0,21.0,1998.0
Dominik Herrmann,University of Bamberg,https://www.uni-bamberg.de/psi/team/dominik-herrmann,w-eFigUAAAAJ,1135.0,15.0,2006.0
Andreas Henrich,University of Bamberg,https://www.uni-bamberg.de/minf/team/henrich,WImTL5AAAAAJ,1830.0,19.0,1989.0
Christoph Schlieder,University of Bamberg,https://www.uni-bamberg.de/kinf/mitarbeiter/schlieder-christoph,,,,
Daniel Beimborn,University of Bamberg,https://www.uni-bamberg.de/ism/team/prof-dr-daniel-beimborn,cp7sLKQAAAAJ,3269.0,28.0,1993.0
Sven Overhage,University of Bamberg,https://www.uni-bamberg.de/iis/mitarbeiter/overhage,acWDaTQAAAAJ,1462.0,21.0,2000.0
Tim Weitzel,University of Bamberg,https://www.uni-bamberg.de/isdl/team/weitzel-prof-dr-tim,C9geoz8AAAAJ,8344.0,45.0,1998.0
Tom Gross,University of Bamberg,https://www.uni-bamberg.de/hci/team/tom-gross,YcxiFvMAAAAJ,2434.0,23.0,1987.0
Thorsten Staake,University of Bamberg,https://www.uni-bamberg.de/eesys/team/prof-dr-thorsten-staake,js-mvgoAAAAJ,5735.0,34.0,2003.0
Guido Wirtz,University of Bamberg,https://www.uni-bamberg.de/?id=5188,VVmF0ZcAAAAJ,2066.0,25.0,1986.0
Michael Mendler,University of Bamberg,https://www.uni-bamberg.de/gdi/team/michael-mendler,,,,
Diedrich Wolter,University of Bamberg,https://www.uni-bamberg.de/en/sme/team/diedrich-wolter,pxX08x8AAAAJ,1400.0,21.0,2000.0
Ute Schmid,University of Bamberg,https://www.uni-bamberg.de/en/cogsys/schmid,fJXIVKsAAAAJ,2696.0,26.0,1986.0
