name,affiliation,homepage,scholar_id,citations,h-index,earliest_paper
Christof Lutteroth,University of Bath,https://www.cs.auckland.ac.nz/~lutteroth,unjdcoYAAAAJ,2136.0,27.0,2003.0
Willem B. Heijltjes,University of Bath,http://www.cs.bath.ac.uk/~wbh22,TzO85XoAAAAJ,207.0,8.0,2007.0
James David Laird,University of Bath,http://www.bath.ac.uk/comp-sci/contacts/academics/james_laird,_Gi9Hl4AAAAJ,1565.0,22.0,1994.0
A. John Power,University of Bath,http://www.bath.ac.uk/comp-sci/contacts/academics/john_power,mCvZPDn8heUC,22147.0,65.0,1982.0
Stephen J. Payne,University of Bath,http://www.bath.ac.uk/comp-sci/contacts/academics/stephen_payne,i6teB6AAAAAJ,5922.0,42.0,1981.0
Peter Hall,University of Bath,http://www.cs.bath.ac.uk/~pmh/start/home.html,,,,
Neill D. F. Campbell,University of Bath,http://cs.bath.ac.uk/~nc537,dRC_mIAAAAAJ,1504.0,14.0,2007.0
Darren Cosker,University of Bath,http://www.cs.bath.ac.uk/~dpc,n0rYM4kAAAAJ,2647.0,24.0,2001.0
Marina De Vos,University of Bath,http://www.bath.ac.uk/comp-sci/contacts/academics/marina_de_vos,_Bxa0oAAAAAJ,1573.0,21.0,1999.0
Peter Johnson,University of Bath,http://www.bath.ac.uk/comp-sci/contacts/academics/peter_johnson,GnF3a4UAAAAJ,12990.0,35.0,1980.0
Russell J. Bradford,University of Bath,http://www.bath.ac.uk/comp-sci/contacts/academics/russell_bradford,82dRKOQAAAAJ,1935.0,22.0,1996.0
Christian Richardt,University of Bath,http://richardt.name,AZH_wV0AAAAJ,2723.0,22.0,2008.0
Joanna Bryson,University of Bath,http://www.cs.bath.ac.uk/~jjb,QOU1RTUAAAAJ,6793.0,34.0,1992.0
Julian A. Padget,University of Bath,http://www.bath.ac.uk/comp-sci/contacts/academics/julian_padget,4rR5aQEAAAAJ,4968.0,31.0,1945.0
Simon L. Jones,University of Bath,http://people.bath.ac.uk/cs3sj,OHeUPTQAAAAJ,814.0,13.0,2007.0
Guy McCusker,University of Bath,http://www.cs.bath.ac.uk/~gam23,kCbGWC4AAAAJ,1925.0,17.0,1994.0
Tom S. F. Haines,University of Bath,http://thaines.com,jg2HJ7QAAAAJ,499.0,10.0,2005.0
Rachid Hourizi,University of Bath,http://www.bath.ac.uk/cdas/people/associates/rachid-hourizi/index.html,,,,
Alessio Guglielmi,University of Bath,http://alessio.guglielmi.name,1fq1YrMAAAAJ,1246.0,16.0,1994.0
Jason Alexander,University of Bath,http://www.jasonalexander.kiwi,gxT8_4EAAAAJ,3644.0,36.0,2001.0
Nicolai N. Vorobjov Jr.,University of Bath,http://people.bath.ac.uk/masnnv,xydcz6MAAAAJ,1389.0,18.0,1984.0
James H. Davenport,University of Bath,http://people.bath.ac.uk/masjhd,dy5hIhAAAAAJ,19161.0,37.0,
Michael A. E. Wright,University of Bath,http://bath.academia.edu/MichaelWright,2dTrwzAAAAAJ,4851.0,32.0,1974.0
Fabio Nemetz,University of Bath,http://www.bath.ac.uk/comp-sci/contacts,,,,
Alan Hayes,University of Bath,http://www.bath.ac.uk/comp-sci/contacts/academics/alan_hayes,,,,
Michael E. Tipping,University of Bath,http://www.miketipping.com,k8Rs4JcAAAAJ,20401.0,25.0,1992.0
Eamonn O'Neill,University of Bath,http://www.bath.ac.uk/comp-sci/contacts/academics/eamonn_oneill,1m173DEAAAAJ,3023.0,32.0,1996.0
Mike C. Fraser,University of Bath,https://researchportal.bath.ac.uk/en/persons/mike-fraser,qxnHlVYAAAAJ,3780.0,30.0,1998.0
Yong-Liang Yang,University of Bath,http://www.yongliangyang.net,v2etATwAAAAJ,2671.0,22.0,2006.0
Leon A. Watts,University of Bath,http://www.cs.bath.ac.uk/Leon,zhwMZx4AAAAJ,1777.0,22.0,1995.0
